Wetland,Location,Date,Watertemp_c,Waterlevel,ppm_NOTcorrected,Flux_mean,Flux_stdev,Time_Baro,AirPress_kpa,AirTemp_C,AirPress_hpa,CO2_ppm,AirPress_atm,VaporPressure_atm,TotalAir_atm,Total_air_MolperL,CO2_air_MolesPerLiter,CO2_air_gCO2asCPerLiter,Watertemp_K,KH_mol.L.atm,CO2_water_gCO2asCPerLiter,deltaCO2_gCO2asCperM3,Flux_gCO2asCperM2perDay,k_m.d,Sc,K600,Average Wind veolcity per day,Solar radiation (W/m^2),Average wetland wind,Average wetland solar radiation ,average wetland water temp ,average wetland air  temp ,Average wetland of flux ,average area ,average precip,average_co2,Wetland
1,1,7/7/2022,5.037,0.4256698,NA,0.036666667,0.023380904,10:07,61.64864,3.662639,616.4864,NA,0.608424792,0.007938352,0.600486441,0.026436242,1.08E-05,0.000130066,278.187,0.062364668,NA,NA,0.038016,NA,1398.499142,NA,5.289925778,182.097222,2.893635736,579.0093427,6.060666667,9.912019667,0.041481482,,0.8,539.6013681,1
1,2,7/7/2022,5.037,0.4256698,NA,0.036666667,0.023380904,10:07,61.64864,3.662639,616.4864,NA,0.608424792,0.007938352,0.600486441,0.026436242,1.08E-05,0.000130066,278.187,0.062364668,NA,NA,0.038016,NA,1398.499142,NA,5.289925778,182.097222,2.893635736,579.0093427,6.2664,10.86863633,0.019828042,5617.874988,0.8,429.4732989,2
1,3,7/7/2022,5.037,0.4256698,238.8136,0.036666667,0.023380904,10:07,61.64864,3.662639,616.4864,358.0439634,0.608424792,0.007938352,0.600486441,0.026436242,1.08E-05,0.000130066,278.187,0.062364668,0.000267952,0.008599165,0.038016,4.42089438,1398.499142,6.749406979,5.289925778,182.097222,2.893635736,579.0093427,5.722933333,10.97870033,0.048428571,819.2624512,0.8,609.7450994,3
1,1,7/14/2022,6.268,0.6307873,376.8703,0.037777778,0.031135903,10:01,61.89142,10.88116,618.9142,565.9512668,0.610820845,0.013013308,0.597807536,0.025649436,1.05E-05,0.000126195,279.418,0.060038776,0.000407748,0.016904099,0.039168,2.317071076,1296.260289,3.405727052,1.634740033,126.711806,2.308590138,1359.764,6.604133333,11.54451333,0.095404762,596.6123263,1.566666667,830.006253,4
1,2,7/14/2022,6.268,0.6307873,343.4576,0.037777778,0.031135903,10:01,61.89142,10.88116,618.9142,515.7749598,0.610820845,0.013013308,0.597807536,0.025649436,1.05E-05,0.000126195,279.418,0.060038776,0.000371598,0.01473368,0.039168,2.658398919,1296.260289,3.907424855,1.634740033,126.711806,2.934070995,487.8680557,7.505333333,13.34114133,0.047333334,723.5687435,4.333333333,1014.646143,5
1,3,7/14/2022,6.268,0.6307873,328.0339,0.037777778,0.031135903,10:01,61.89142,10.88116,618.9142,492.6129792,0.610820845,0.013013308,0.597807536,0.025649436,1.05E-05,0.000126195,279.418,0.060038776,0.000354911,0.013731789,0.039168,2.852359569,1296.260289,4.192516253,1.634740033,126.711806,3.104381392,142.7395837,6.292933333,9.13989,0.063611111,284.1703491,2.333333333,624.8642218,6
1,1,7/25/2022,6.877,0.3856632,461.8475,0.05,0.03380617,9:56,61.83665,15.19226,618.3665,695.264075,0.610280307,0.0172515,0.593028806,0.025063973,1.03E-05,0.000123315,280.027,0.058927669,0.000491643,0.021704754,0.05184,2.388416811,1248.707813,3.445600395,1.756241397,1428.219,3.104381392,142.7395837,6.232466667,13.914258,0.058148148,612.8781988,2.333333333,644.6138562,7
1,2,7/25/2022,6.877,0.3856632,381.339,0.05,0.03380617,9:56,61.83665,15.19226,618.3665,574.0667799,0.610280307,0.0172515,0.593028806,0.025063973,1.03E-05,0.000123315,280.027,0.058927669,0.000405941,0.016654506,0.05184,3.112671053,1248.707813,4.490430884,1.756241397,1428.219,4.220003686,84.4487845,7.25455,7.224542333,1.1725,240.0730512,9.65,9731.521706,8
1,3,7/25/2022,6.877,0.3856632,382.2881,0.05,0.03380617,9:56,61.83665,15.19226,618.3665,575.4955526,0.610280307,0.0172515,0.593028806,0.025063973,1.03E-05,0.000123315,280.027,0.058927669,0.000406951,0.016714043,0.05184,3.101583528,1248.707813,4.474435693,1.756241397,1428.219,4.220003686,84.4487845,7.4774625,8.457836333,0.404928571,26.36976179,9.65,5039.57878,9
2,1,7/7/2022,4.5814,0.6275017,227.2034,0.0125,0.022519833,12:07,61.7099,8.465256,617.099,339.9460102,0.609029382,0.01106437,0.597965011,0.025876291,1.06E-05,0.000127311,277.7314,0.063253559,0.000258034,0.008268644,0.01296,1.567367087,1438.487014,2.426878702,5.289925778,182.097222,4.220003686,84.4487845,7.756,8.600968667,0.36031746,,9.65,3029.172696,10
