Nombre Dispositivo:;;OM-CP-VOLT101A
Descripción del dispositivo:;;Registrador de Voltaje
Número de Serie:;;Q98069
ID Dispositivo:;;Stn01
;;
;;Canal 1
Fecha ;Tiempo;Voltaje (ppm)
12 oct 2022;15:00:45;0
12 oct 2022;15:15:45;11755
12 oct 2022;15:30:45;11790
12 oct 2022;15:45:45;11780
12 oct 2022;16:00:45;11760
12 oct 2022;16:15:45;11805
12 oct 2022;16:30:45;11770
12 oct 2022;16:45:45;11760
12 oct 2022;17:00:45;11885
12 oct 2022;17:15:45;11875
12 oct 2022;17:30:45;11850
12 oct 2022;17:45:45;11870
12 oct 2022;18:00:45;11865
12 oct 2022;18:15:45;11910
12 oct 2022;18:30:45;11970
12 oct 2022;18:45:45;11905
12 oct 2022;19:00:45;11920
12 oct 2022;19:15:45;11900
12 oct 2022;19:30:45;11940
12 oct 2022;19:45:45;11940
12 oct 2022;20:00:45;11985
12 oct 2022;20:15:45;12005
12 oct 2022;20:30:45;11960
12 oct 2022;20:45:45;11895
12 oct 2022;21:00:45;11935
12 oct 2022;21:15:45;11910
12 oct 2022;21:30:45;11885
12 oct 2022;21:45:45;11950
12 oct 2022;22:00:45;11940
12 oct 2022;22:15:45;11970
12 oct 2022;22:30:45;11950
12 oct 2022;22:45:45;11965
12 oct 2022;23:00:45;11975
12 oct 2022;23:15:45;12000
12 oct 2022;23:30:45;11965
12 oct 2022;23:45:45;11985
13 oct 2022;0:00:45;11900
13 oct 2022;0:15:45;11915
13 oct 2022;0:30:45;11855
13 oct 2022;0:45:45;11900
13 oct 2022;1:00:45;11830
13 oct 2022;1:15:45;11850
13 oct 2022;1:30:45;11860
13 oct 2022;1:45:45;11835
13 oct 2022;2:00:45;11875
13 oct 2022;2:15:45;11870
13 oct 2022;2:30:45;11870
13 oct 2022;2:45:45;11870
13 oct 2022;3:00:45;11865
13 oct 2022;3:15:45;11860
13 oct 2022;3:30:45;11900
13 oct 2022;3:45:45;11925
13 oct 2022;4:00:45;11905
13 oct 2022;4:15:45;11915
13 oct 2022;4:30:45;11925
13 oct 2022;4:45:45;11915
13 oct 2022;5:00:45;11865
13 oct 2022;5:15:45;11920
13 oct 2022;5:30:45;11855
13 oct 2022;5:45:45;11860
13 oct 2022;6:00:45;11895
13 oct 2022;6:15:45;11920
13 oct 2022;6:30:45;11920
13 oct 2022;6:45:45;11875
13 oct 2022;7:00:45;11975
13 oct 2022;7:15:45;11900
13 oct 2022;7:30:45;11900
13 oct 2022;7:45:45;12020
13 oct 2022;8:00:45;12126
13 oct 2022;8:15:45;12101
13 oct 2022;8:30:45;12055
13 oct 2022;8:45:45;12055
13 oct 2022;9:00:45;12241
13 oct 2022;9:15:45;12231
13 oct 2022;9:30:45;12241
13 oct 2022;9:45:45;12331
13 oct 2022;10:00:45;12181
13 oct 2022;10:15:45;12286
13 oct 2022;10:30:45;12376
13 oct 2022;10:45:45;12416
13 oct 2022;11:00:45;12351
13 oct 2022;11:15:45;12492
13 oct 2022;11:30:45;12492
13 oct 2022;11:45:45;12492
13 oct 2022;12:00:45;12497
13 oct 2022;12:15:45;12492
13 oct 2022;12:30:45;12421
13 oct 2022;12:45:45;12492
13 oct 2022;13:00:45;12492
13 oct 2022;13:15:45;12492
13 oct 2022;13:30:45;12436
13 oct 2022;13:45:45;12436
13 oct 2022;14:00:45;12476
13 oct 2022;14:15:45;12492
13 oct 2022;14:30:45;12492
13 oct 2022;14:45:45;12492
13 oct 2022;15:00:45;12492
13 oct 2022;15:15:45;12492
13 oct 2022;15:30:45;12487
13 oct 2022;15:45:45;12492
13 oct 2022;16:00:45;12487
13 oct 2022;16:15:45;12487
13 oct 2022;16:30:45;12487
13 oct 2022;16:45:45;12487
13 oct 2022;17:00:45;12487
13 oct 2022;17:15:45;12487
13 oct 2022;17:30:45;12487
13 oct 2022;17:45:45;12487
13 oct 2022;18:00:45;12487
13 oct 2022;18:15:45;12487
13 oct 2022;18:30:45;12487
13 oct 2022;18:45:45;12487
13 oct 2022;19:00:45;12487
13 oct 2022;19:15:45;12487
13 oct 2022;19:30:45;12487
13 oct 2022;19:45:45;12487
13 oct 2022;20:00:45;12487
13 oct 2022;20:15:45;12487
13 oct 2022;20:30:45;12487
13 oct 2022;20:45:45;12487
13 oct 2022;21:00:45;12487
13 oct 2022;21:15:45;12487
13 oct 2022;21:30:45;12487
13 oct 2022;21:45:45;12487
13 oct 2022;22:00:45;12487
13 oct 2022;22:15:45;12487
13 oct 2022;22:30:45;12487
13 oct 2022;22:45:45;12487
13 oct 2022;23:00:45;12487
13 oct 2022;23:15:45;12487
13 oct 2022;23:30:45;12487
13 oct 2022;23:45:45;12487
14 oct 2022;0:00:45;12487
14 oct 2022;0:15:45;12487
14 oct 2022;0:30:45;12487
14 oct 2022;0:45:45;12487
14 oct 2022;1:00:45;12487
14 oct 2022;1:15:45;12487
14 oct 2022;1:30:45;12487
14 oct 2022;1:45:45;12487
14 oct 2022;2:00:45;12487
14 oct 2022;2:15:45;12487
14 oct 2022;2:30:45;12487
14 oct 2022;2:45:45;12487
14 oct 2022;3:00:45;12487
14 oct 2022;3:15:45;12487
14 oct 2022;3:30:45;12487
14 oct 2022;3:45:45;12487
14 oct 2022;4:00:45;12487
14 oct 2022;4:15:45;12487
14 oct 2022;4:30:45;12487
14 oct 2022;4:45:45;12487
14 oct 2022;5:00:45;12487
14 oct 2022;5:15:45;12487
14 oct 2022;5:30:45;12487
14 oct 2022;5:45:45;12487
14 oct 2022;6:00:45;12487
14 oct 2022;6:15:45;12487
14 oct 2022;6:30:45;12487
14 oct 2022;6:45:45;12487
14 oct 2022;7:00:45;12487
14 oct 2022;7:15:45;12487
14 oct 2022;7:30:45;12487
14 oct 2022;7:45:45;12487
14 oct 2022;8:00:45;12492
14 oct 2022;8:15:45;12492
14 oct 2022;8:30:45;12492
14 oct 2022;8:45:45;12492
14 oct 2022;9:00:45;12492
14 oct 2022;9:15:45;12492
14 oct 2022;9:30:45;12492
14 oct 2022;9:45:45;12492
14 oct 2022;10:00:45;12492
14 oct 2022;10:15:45;12492
14 oct 2022;10:30:45;12492
14 oct 2022;10:45:45;12492
14 oct 2022;11:00:45;12492
14 oct 2022;11:15:45;12492
14 oct 2022;11:30:45;12492
14 oct 2022;11:45:45;12492
14 oct 2022;12:00:45;12492
14 oct 2022;12:15:45;12492
14 oct 2022;12:30:45;12492
14 oct 2022;12:45:45;12492
14 oct 2022;13:00:45;12492
14 oct 2022;13:15:45;12492
14 oct 2022;13:30:45;12492
14 oct 2022;13:45:45;12492
14 oct 2022;14:00:45;12492
14 oct 2022;14:15:45;12492
14 oct 2022;14:30:45;12492
14 oct 2022;14:45:45;12492
14 oct 2022;15:00:45;12492
14 oct 2022;15:15:45;12492
14 oct 2022;15:30:45;12492
14 oct 2022;15:45:45;12492
14 oct 2022;16:00:45;12492
14 oct 2022;16:15:45;12492
14 oct 2022;16:30:45;12492
14 oct 2022;16:45:45;12492
14 oct 2022;17:00:45;12487
14 oct 2022;17:15:45;12487
14 oct 2022;17:30:45;12487
14 oct 2022;17:45:45;12487
14 oct 2022;18:00:45;12487
14 oct 2022;18:15:45;12487
14 oct 2022;18:30:45;12487
14 oct 2022;18:45:45;12487
14 oct 2022;19:00:45;12487
14 oct 2022;19:15:45;12487
14 oct 2022;19:30:45;12487
14 oct 2022;19:45:45;12487
14 oct 2022;20:00:45;12487
14 oct 2022;20:15:45;12487
14 oct 2022;20:30:45;12487
14 oct 2022;20:45:45;12306
14 oct 2022;21:00:45;12015
14 oct 2022;21:15:45;11845
14 oct 2022;21:30:45;11494
14 oct 2022;21:45:45;10837
14 oct 2022;22:00:45;10045
14 oct 2022;22:15:45;9679
14 oct 2022;22:30:45;9604
14 oct 2022;22:45:45;9549
14 oct 2022;23:00:45;9489
14 oct 2022;23:15:45;9449
14 oct 2022;23:30:45;9319
14 oct 2022;23:45:45;9133
15 oct 2022;0:00:45;8882
15 oct 2022;0:15:45;8647
15 oct 2022;0:30:45;8466
15 oct 2022;0:45:45;8301
15 oct 2022;1:00:45;8196
15 oct 2022;1:15:45;8151
15 oct 2022;1:30:45;8040
15 oct 2022;1:45:45;8060
15 oct 2022;2:00:45;8075
15 oct 2022;2:15:45;8100
15 oct 2022;2:30:45;8000
15 oct 2022;2:45:45;8025
15 oct 2022;3:00:45;7880
15 oct 2022;3:15:45;7830
15 oct 2022;3:30:45;7755
15 oct 2022;3:45:45;7684
15 oct 2022;4:00:45;7574
15 oct 2022;4:15:45;7464
15 oct 2022;4:30:45;7424
15 oct 2022;4:45:45;7263
15 oct 2022;5:00:45;7243
15 oct 2022;5:15:45;7203
15 oct 2022;5:30:45;7228
15 oct 2022;5:45:45;7253
15 oct 2022;6:00:45;7243
15 oct 2022;6:15:45;7223
15 oct 2022;6:30:45;7193
15 oct 2022;6:45:45;7188
15 oct 2022;7:00:45;7193
15 oct 2022;7:15:45;7178
15 oct 2022;7:30:45;7123
15 oct 2022;7:45:45;7133
15 oct 2022;8:00:45;7163
15 oct 2022;8:15:45;7038
15 oct 2022;8:30:45;6943
15 oct 2022;8:45:45;6892
15 oct 2022;9:00:45;6852
15 oct 2022;9:15:45;6852
15 oct 2022;9:30:45;6847
15 oct 2022;9:45:45;6787
15 oct 2022;10:00:45;6732
15 oct 2022;10:15:45;6672
15 oct 2022;10:30:45;6632
15 oct 2022;10:45:45;6536
15 oct 2022;11:00:45;6381
15 oct 2022;11:15:45;6261
15 oct 2022;11:30:45;6130
15 oct 2022;11:45:45;5950
15 oct 2022;12:00:45;5880
15 oct 2022;12:15:45;5795
