Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,Q98069
ID Dispositivo:,,Stn01
,,
,,Canal 1
Fecha ,Tiempo,Voltaje (ppm)
10/19/2022,16:40:04,4321
10/19/2022,16:55:04,4381
10/19/2022,17:10:04,4426
10/19/2022,17:25:04,4421
10/19/2022,17:40:04,4461
10/19/2022,17:55:04,4526
10/19/2022,18:10:04,4536
10/19/2022,18:25:04,4602
10/19/2022,18:40:04,4637
10/19/2022,18:55:04,4702
10/19/2022,19:10:04,4762
10/19/2022,19:25:04,4782
10/19/2022,19:40:04,4862
10/19/2022,19:55:04,4917
10/19/2022,20:10:04,4862
10/19/2022,20:25:04,4862
10/19/2022,20:40:04,4862
10/19/2022,20:55:04,4887
10/19/2022,21:10:04,4978
10/19/2022,21:25:04,4983
10/19/2022,21:40:04,5053
10/19/2022,21:55:04,5068
10/19/2022,22:10:04,5098
10/19/2022,22:25:04,5053
10/19/2022,22:40:04,5068
10/19/2022,22:55:04,5028
10/19/2022,23:10:04,5058
10/19/2022,23:25:04,5008
10/19/2022,23:40:04,4973
10/19/2022,23:55:04,4932
10/20/2022,0:10:04,4932
10/20/2022,0:25:04,4958
10/20/2022,0:40:04,4942
10/20/2022,0:55:04,4958
10/20/2022,1:10:04,5028
10/20/2022,1:25:04,4983
10/20/2022,1:40:04,4968
10/20/2022,1:55:04,4973
10/20/2022,2:10:04,4937
10/20/2022,2:25:04,5008
10/20/2022,2:40:04,5013
10/20/2022,2:55:04,5078
10/20/2022,3:10:04,5088
10/20/2022,3:25:04,5098
10/20/2022,3:40:04,5108
10/20/2022,3:55:04,5073
10/20/2022,4:10:04,5088
10/20/2022,4:25:04,5063
10/20/2022,4:40:04,5023
10/20/2022,4:55:04,5008
10/20/2022,5:10:04,5063
10/20/2022,5:25:04,5078
10/20/2022,5:40:04,5088
10/20/2022,5:55:04,5123
10/20/2022,6:10:04,5138
10/20/2022,6:25:04,5148
10/20/2022,6:40:04,5168
10/20/2022,6:55:04,5178
10/20/2022,7:10:04,5193
10/20/2022,7:25:04,5208
10/20/2022,7:40:04,5238
10/20/2022,7:55:04,5173
10/20/2022,8:10:04,5178
10/20/2022,8:25:04,5188
10/20/2022,8:40:04,5188
10/20/2022,8:55:04,5198
10/20/2022,9:10:04,5183
10/20/2022,9:25:04,5188
10/20/2022,9:40:04,5183
10/20/2022,9:55:04,5213
10/20/2022,10:10:04,5233
10/20/2022,10:25:04,5213
10/20/2022,10:40:04,5253
10/20/2022,10:55:04,5283
10/20/2022,11:10:04,5308
10/20/2022,11:25:04,5288
10/20/2022,11:40:04,5333
10/20/2022,11:55:04,5283
10/20/2022,12:10:04,5318
10/20/2022,12:25:04,5343
10/20/2022,12:40:04,5384
10/20/2022,12:55:04,5354
10/20/2022,13:10:04,5333
10/20/2022,13:25:04,5384
10/20/2022,13:40:04,5379
10/20/2022,13:55:04,5384
10/20/2022,14:10:04,5414
10/20/2022,14:25:04,5429
10/20/2022,14:40:04,5469
10/20/2022,14:55:04,5474
10/20/2022,15:10:04,5509
10/20/2022,15:25:04,5514
10/20/2022,15:40:04,5529
10/20/2022,15:55:04,5559
10/20/2022,16:10:04,5574
10/20/2022,16:25:04,5584
10/20/2022,16:40:04,5559
10/20/2022,16:55:04,5614
10/20/2022,17:10:04,5624
10/20/2022,17:25:04,5624
10/20/2022,17:40:04,5654
10/20/2022,17:55:04,5689
10/20/2022,18:10:04,5734
10/20/2022,18:25:04,5750
10/20/2022,18:40:04,5800
10/20/2022,18:55:04,5825
10/20/2022,19:10:04,5855
10/20/2022,19:25:04,5850
10/20/2022,19:40:04,5890
10/20/2022,19:55:04,5885
10/20/2022,20:10:04,5955
10/20/2022,20:25:04,5965
10/20/2022,20:40:04,5965
10/20/2022,20:55:04,6020
10/20/2022,21:10:04,6035
10/20/2022,21:25:04,6055
10/20/2022,21:40:04,6095
10/20/2022,21:55:04,6095
10/20/2022,22:10:04,6146
10/20/2022,22:25:04,6105
10/20/2022,22:40:04,6090
10/20/2022,22:55:04,6140
10/20/2022,23:10:04,6110
10/20/2022,23:25:04,6156
10/20/2022,23:40:04,6181
10/20/2022,23:55:04,6186
10/21/2022,0:10:04,6226
10/21/2022,0:25:04,6246
10/21/2022,0:40:04,6266
10/21/2022,0:55:04,6271
10/21/2022,1:10:04,6321
10/21/2022,1:25:04,6346
10/21/2022,1:40:04,6346
10/21/2022,1:55:04,6386
10/21/2022,2:10:04,6376
10/21/2022,2:25:04,6371
10/21/2022,2:40:04,6396
10/21/2022,2:55:04,6391
10/21/2022,3:10:04,6401
10/21/2022,3:25:04,6436
10/21/2022,3:40:04,6476
10/21/2022,3:55:04,6441
10/21/2022,4:10:04,6491
10/21/2022,4:25:04,6476
10/21/2022,4:40:04,6506
10/21/2022,4:55:04,6506
10/21/2022,5:10:04,6496
10/21/2022,5:25:04,6557
10/21/2022,5:40:04,6582
10/21/2022,5:55:04,6577
10/21/2022,6:10:04,6592
10/21/2022,6:25:04,6612
10/21/2022,6:40:04,6582
10/21/2022,6:55:04,6602
10/21/2022,7:10:04,6597
10/21/2022,7:25:04,6617
10/21/2022,7:40:04,6647
10/21/2022,7:55:04,6612
10/21/2022,8:10:04,6637
10/21/2022,8:25:04,6722
10/21/2022,8:40:04,6752
10/21/2022,8:55:04,6787
10/21/2022,9:10:04,6737
10/21/2022,9:25:04,6717
10/21/2022,9:40:04,6707
10/21/2022,9:55:04,6707
10/21/2022,10:10:04,6712
10/21/2022,10:25:04,6712
10/21/2022,10:40:04,6757
10/21/2022,10:55:04,6767
10/21/2022,11:10:04,6817
10/21/2022,11:25:04,6817
10/21/2022,11:40:04,6882
10/21/2022,11:55:04,6922
10/21/2022,12:10:04,6927
10/21/2022,12:25:04,6973
10/21/2022,12:40:04,6983
10/21/2022,12:55:04,7023
10/21/2022,13:10:04,7043
10/21/2022,13:25:04,7058
10/21/2022,13:40:04,7028
10/21/2022,13:55:04,7053
10/21/2022,14:10:04,7093
10/21/2022,14:25:04,7108
10/21/2022,14:40:04,7143
10/21/2022,14:55:04,7178
10/21/2022,15:10:04,7128
10/21/2022,15:25:04,7158
10/21/2022,15:40:04,7143
10/21/2022,15:55:04,7188
10/21/2022,16:10:04,7233
10/21/2022,16:25:04,7278
10/21/2022,16:40:04,7298
10/21/2022,16:55:04,7298
10/21/2022,17:10:04,7278
10/21/2022,17:25:04,7328
10/21/2022,17:40:04,7374
10/21/2022,17:55:04,7389
10/21/2022,18:10:04,7399
10/21/2022,18:25:04,7479
10/21/2022,18:40:04,7429
10/21/2022,18:55:04,7449
10/21/2022,19:10:04,7489
10/21/2022,19:25:04,7494
10/21/2022,19:40:04,7564
10/21/2022,19:55:04,7579
10/21/2022,20:10:04,7574
10/21/2022,20:25:04,7634
10/21/2022,20:40:04,7619
10/21/2022,20:55:04,7644
10/21/2022,21:10:04,7659
10/21/2022,21:25:04,7679
10/21/2022,21:40:04,7679
10/21/2022,21:55:04,7669
10/21/2022,22:10:04,7664
10/21/2022,22:25:04,7724
10/21/2022,22:40:04,7724
10/21/2022,22:55:04,7765
10/21/2022,23:10:04,7760
10/21/2022,23:25:04,7845
10/21/2022,23:40:04,7780
10/21/2022,23:55:04,7830
10/22/2022,0:10:04,7820
10/22/2022,0:25:04,7885
10/22/2022,0:40:04,7870
10/22/2022,0:55:04,7870
10/22/2022,1:10:04,7875
10/22/2022,1:25:04,7900
10/22/2022,1:40:04,7945
10/22/2022,1:55:04,7915
10/22/2022,2:10:04,7925
10/22/2022,2:25:04,7920
10/22/2022,2:40:04,7920
10/22/2022,2:55:04,7955
10/22/2022,3:10:04,7960
10/22/2022,3:25:04,7985
10/22/2022,3:40:04,7985
10/22/2022,3:55:04,7980
10/22/2022,4:10:04,8025
10/22/2022,4:25:04,8020
10/22/2022,4:40:04,8030
10/22/2022,4:55:04,8045
10/22/2022,5:10:04,8085
10/22/2022,5:25:04,8095
10/22/2022,5:40:04,8080
10/22/2022,5:55:04,8065
10/22/2022,6:10:04,8060
10/22/2022,6:25:04,8100
10/22/2022,6:40:04,8055
10/22/2022,6:55:04,8065
10/22/2022,7:10:04,7995
10/22/2022,7:25:04,7910
10/22/2022,7:40:04,7850
10/22/2022,7:55:04,7840
10/22/2022,8:10:04,7830
10/22/2022,8:25:04,7830
10/22/2022,8:40:04,7825
10/22/2022,8:55:04,7830
10/22/2022,9:10:04,7840
10/22/2022,9:25:04,7875
10/22/2022,9:40:04,7850
10/22/2022,9:55:04,7875
10/22/2022,10:10:04,7950
10/22/2022,10:25:04,7975
10/22/2022,10:40:04,7945
10/22/2022,10:55:04,7965
10/22/2022,11:10:04,8020
10/22/2022,11:25:04,8050
10/22/2022,11:40:04,8045
10/22/2022,11:55:04,7995
10/22/2022,12:10:04,8005
10/22/2022,12:25:04,8020
10/22/2022,12:40:04,7995
10/22/2022,12:55:04,7995
10/22/2022,13:10:04,8030
10/22/2022,13:25:04,7955
10/22/2022,13:40:04,8025
10/22/2022,13:55:04,8000
10/22/2022,14:10:04,8025
10/22/2022,14:25:04,8035
10/22/2022,14:40:04,8020
10/22/2022,14:55:04,8090
10/22/2022,15:10:04,8171
10/22/2022,15:25:04,8060
10/22/2022,15:40:04,8126
10/22/2022,15:55:04,8161
10/22/2022,16:10:04,8191
10/22/2022,16:25:04,8226
10/22/2022,16:40:04,8276
10/22/2022,16:55:04,8286
10/22/2022,17:10:04,8376
10/22/2022,17:25:04,8441
10/22/2022,17:40:04,8471
10/22/2022,17:55:04,8557
10/22/2022,18:10:04,8567
