Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,Q98069
Device ID:,,Stn01
,,
,,Channel 1
Date,Time,Voltaje (ppm)
11/19/2022,1:23:55 PM,10055
11/19/2022,1:38:55 PM,10121
11/19/2022,1:53:55 PM,10090
11/19/2022,2:08:55 PM,10060
11/19/2022,2:23:55 PM,10095
11/19/2022,2:38:55 PM,10111
11/19/2022,2:53:55 PM,10075
11/19/2022,3:08:55 PM,9950
11/19/2022,3:23:55 PM,9985
11/19/2022,3:38:55 PM,9980
11/19/2022,3:53:55 PM,9955
11/19/2022,4:08:55 PM,9995
11/19/2022,4:23:55 PM,10045
11/19/2022,4:38:55 PM,10070
11/19/2022,4:53:55 PM,10055
11/19/2022,5:08:55 PM,10050
11/19/2022,5:23:55 PM,10080
11/19/2022,5:38:55 PM,10126
11/19/2022,5:53:55 PM,10106
11/19/2022,6:08:55 PM,10085
11/19/2022,6:23:55 PM,10166
11/19/2022,6:38:55 PM,10106
11/19/2022,6:53:55 PM,10131
11/19/2022,7:08:55 PM,10136
11/19/2022,7:23:55 PM,10100
11/19/2022,7:38:55 PM,10161
11/19/2022,7:53:55 PM,10171
11/19/2022,8:08:55 PM,10116
11/19/2022,8:23:55 PM,10141
11/19/2022,8:38:55 PM,10206
11/19/2022,8:53:55 PM,10136
11/19/2022,9:08:55 PM,10196
11/19/2022,9:23:55 PM,10201
11/19/2022,9:38:55 PM,10261
11/19/2022,9:53:55 PM,10216
11/19/2022,10:08:55 PM,10246
11/19/2022,10:23:55 PM,10236
11/19/2022,10:38:55 PM,10271
11/19/2022,10:53:55 PM,10256
11/19/2022,11:08:55 PM,10341
11/19/2022,11:23:55 PM,10286
11/19/2022,11:38:55 PM,10336
11/19/2022,11:53:55 PM,10316
11/20/2022,12:08:55 AM,10371
11/20/2022,12:23:55 AM,10326
11/20/2022,12:38:55 AM,10316
11/20/2022,12:53:55 AM,10431
11/20/2022,1:08:55 AM,10401
11/20/2022,1:23:55 AM,10361
11/20/2022,1:38:55 AM,10381
11/20/2022,1:53:55 AM,10416
11/20/2022,2:08:55 AM,10381
11/20/2022,2:23:55 AM,10436
11/20/2022,2:38:55 AM,10391
11/20/2022,2:53:55 AM,10381
11/20/2022,3:08:55 AM,10281
11/20/2022,3:23:55 AM,10401
11/20/2022,3:38:55 AM,10381
11/20/2022,3:53:55 AM,9790
11/20/2022,4:08:55 AM,9158
11/20/2022,4:23:55 AM,8351
11/20/2022,4:38:55 AM,8055
11/20/2022,4:53:55 AM,6221
11/20/2022,5:08:55 AM,1434
11/20/2022,5:23:55 AM,1875
11/20/2022,5:38:55 AM,2065
11/20/2022,5:53:55 AM,2381
11/20/2022,6:08:55 AM,2917
11/20/2022,6:23:55 AM,3765
11/20/2022,6:38:55 AM,3499
11/20/2022,6:53:55 AM,3358
11/20/2022,7:08:55 AM,3724
11/20/2022,7:23:55 AM,4562
11/20/2022,7:38:55 AM,9008
11/20/2022,7:53:55 AM,9003
11/20/2022,8:08:55 AM,8381
11/20/2022,8:23:55 AM,10672
11/20/2022,8:38:55 AM,10707
11/20/2022,8:53:55 AM,10742
11/20/2022,9:08:55 AM,10732
11/20/2022,9:23:55 AM,10782
11/20/2022,9:38:55 AM,10742
11/20/2022,9:53:55 AM,10807
11/20/2022,10:08:55 AM,10908
11/20/2022,10:23:55 AM,10882
11/20/2022,10:38:55 AM,10968
11/20/2022,10:53:55 AM,10943
11/20/2022,11:08:55 AM,11018
11/20/2022,11:23:55 AM,10998
11/20/2022,11:38:55 AM,11053
11/20/2022,11:53:55 AM,11053
11/20/2022,12:08:55 PM,11083
11/20/2022,12:23:55 PM,11108
11/20/2022,12:38:55 PM,11108
11/20/2022,12:53:55 PM,11133
11/20/2022,1:08:55 PM,11118
11/20/2022,1:23:55 PM,11143
11/20/2022,1:38:55 PM,11163
11/20/2022,1:53:55 PM,11334
11/20/2022,2:08:55 PM,11273
11/20/2022,2:23:55 PM,11334
11/20/2022,2:38:55 PM,11283
11/20/2022,2:53:55 PM,11299
11/20/2022,3:08:55 PM,11344
11/20/2022,3:23:55 PM,11118
11/20/2022,3:38:55 PM,10792
11/20/2022,3:53:55 PM,9900
11/20/2022,4:08:55 PM,7815
11/20/2022,4:23:55 PM,6667
11/20/2022,4:38:55 PM,6572
11/20/2022,4:53:55 PM,6406
11/20/2022,5:08:55 PM,6301
11/20/2022,5:23:55 PM,5940
11/20/2022,5:38:55 PM,5419
11/20/2022,5:53:55 PM,5018
11/20/2022,6:08:55 PM,4827
11/20/2022,6:23:55 PM,4827
11/20/2022,6:38:55 PM,4978
11/20/2022,6:53:55 PM,5153
11/20/2022,7:08:55 PM,5173
11/20/2022,7:23:55 PM,5128
11/20/2022,7:38:55 PM,5113
11/20/2022,7:53:55 PM,5148
11/20/2022,8:08:55 PM,5053
11/20/2022,8:23:55 PM,5068
11/20/2022,8:38:55 PM,5093
11/20/2022,8:53:55 PM,5118
11/20/2022,9:08:55 PM,5213
11/20/2022,9:23:55 PM,5308
11/20/2022,9:38:55 PM,5434
11/20/2022,9:53:55 PM,5494
11/20/2022,10:08:55 PM,5489
11/20/2022,10:23:55 PM,5504
11/20/2022,10:38:55 PM,5479
11/20/2022,10:53:55 PM,5479
11/20/2022,11:08:55 PM,5409
11/20/2022,11:23:55 PM,5429
11/20/2022,11:38:55 PM,5384
11/20/2022,11:53:55 PM,5359
11/21/2022,12:08:55 AM,5293
11/21/2022,12:23:55 AM,5283
11/21/2022,12:38:55 AM,5258
11/21/2022,12:53:55 AM,5218
11/21/2022,1:08:55 AM,5183
11/21/2022,1:23:55 AM,5173
11/21/2022,1:38:55 AM,5133
11/21/2022,1:53:55 AM,5128
