Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,R21333
ID Dispositivo:,,Stn2
,,
,,Canal 1
Fecha ,Tiempo,Voltaje (ppm)
11/30/2022 13:11,13:11:23,1348.3
11/30/2022 13:26,13:26:23,1206.9
11/30/2022 13:41,13:41:23,1372.4
11/30/2022 13:56,13:56:23,1361.9
11/30/2022 14:11,14:11:23,1220.4
11/30/2022 14:26,14:26:23,1376.9
11/30/2022 14:41,14:41:23,1396.5
11/30/2022 14:56,14:56:23,1221.9
11/30/2022 15:11,15:11:23,1104.6
11/30/2022 15:26,15:26:23,1270.1
11/30/2022 15:41,15:41:23,1407
11/30/2022 15:56,15:56:23,1286.6
11/30/2022 16:11,16:11:23,1224.9
11/30/2022 16:26,16:26:23,1410
11/30/2022 16:41,16:41:23,1259.6
11/30/2022 16:56,16:56:23,1342.3
11/30/2022 17:11,17:11:23,1395
11/30/2022 17:26,17:26:23,1194.8
11/30/2022 17:41,17:41:23,1232.5
11/30/2022 17:56,17:56:23,1274.6
11/30/2022 18:11,18:11:23,1253.5
11/30/2022 18:26,18:26:23,1116.6
11/30/2022 18:41,18:41:23,1379.9
11/30/2022 18:56,18:56:23,1200.9
11/30/2022 19:11,19:11:23,1360.4
11/30/2022 19:26,19:26:23,1261.1
11/30/2022 19:41,19:41:23,1232.5
11/30/2022 19:56,19:56:23,1276.1
11/30/2022 20:11,20:11:23,1206.9
11/30/2022 20:26,20:26:23,1369.4
11/30/2022 20:41,20:41:23,1322.8
11/30/2022 20:56,20:56:23,1256.5
11/30/2022 21:11,21:11:23,1187.3
11/30/2022 21:26,21:26:23,1208.4
11/30/2022 21:41,21:41:23,1367.9
11/30/2022 21:56,21:56:23,1373.9
11/30/2022 22:11,22:11:23,1249
11/30/2022 22:26,22:26:23,1199.4
11/30/2022 22:41,22:41:23,1361.9
11/30/2022 22:56,22:56:23,1292.7
11/30/2022 23:11,23:11:23,1343.8
11/30/2022 23:26,23:26:23,1163.2
11/30/2022 23:41,23:41:23,1240
11/30/2022 23:56,23:56:23,1175.3
12/1/2022 0:11,0:11:23,1313.7
12/1/2022 0:26,0:26:23,1285.1
12/1/2022 0:41,0:41:23,1164.8
12/1/2022 0:56,0:56:23,1136.2
12/1/2022 1:11,1:11:23,1139.2
12/1/2022 1:26,1:26:23,1283.6
12/1/2022 1:41,1:41:23,1136.2
12/1/2022 1:56,1:56:23,1142.2
12/1/2022 2:11,2:11:23,1125.6
12/1/2022 2:26,2:26:23,1279.1
12/1/2022 2:41,2:41:23,1097
12/1/2022 2:56,2:56:23,1241.5
12/1/2022 3:11,3:11:23,1252
12/1/2022 3:26,3:26:23,1229.5
12/1/2022 3:41,3:41:23,1107.6
12/1/2022 3:56,3:56:23,1155.7
12/1/2022 4:11,4:11:23,1103.1
12/1/2022 4:26,4:26:23,1164.8
12/1/2022 4:41,4:41:23,1115.1
12/1/2022 4:56,4:56:23,1107.6
12/1/2022 5:11,5:11:23,1235.5
12/1/2022 5:26,5:26:23,1133.2
12/1/2022 5:41,5:41:23,1224.9
12/1/2022 5:56,5:56:23,1079
12/1/2022 6:11,6:11:23,1130.1
12/1/2022 6:26,6:26:23,1196.4
12/1/2022 6:41,6:41:23,1057.9
12/1/2022 6:56,6:56:23,1097
12/1/2022 7:11,7:11:23,1045.9
12/1/2022 7:26,7:26:23,1094
12/1/2022 7:41,7:41:23,1142.2
12/1/2022 7:56,7:56:23,1143.7
12/1/2022 8:11,8:11:23,1151.2
12/1/2022 8:26,8:26:23,1065.4
12/1/2022 8:41,8:41:23,1047.4
12/1/2022 8:56,8:56:23,1118.1
12/1/2022 9:11,9:11:23,1127.1
12/1/2022 9:26,9:26:23,1124.1
12/1/2022 9:41,9:41:23,1017.3
12/1/2022 9:56,9:56:23,1092.5
12/1/2022 10:11,10:11:23,1122.6
12/1/2022 10:26,10:26:23,1127.1
12/1/2022 10:41,10:41:23,1155.7
12/1/2022 10:56,10:56:23,1131.6
12/1/2022 11:11,11:11:23,1059.4
12/1/2022 11:26,11:26:23,1100
12/1/2022 11:41,11:41:23,1079
12/1/2022 11:56,11:56:23,1100
12/1/2022 12:11,12:11:23,1029.3
12/1/2022 12:26,12:26:23,1047.4
12/1/2022 12:41,12:41:23,1035.3
12/1/2022 12:56,12:56:23,1161.7
12/1/2022 13:11,13:11:23,1042.9
12/1/2022 13:26,13:26:23,1212.9
12/1/2022 13:41,13:41:23,1196.4
12/1/2022 13:56,13:56:23,1185.8
12/1/2022 14:11,14:11:23,1206.9
12/1/2022 14:26,14:26:23,1139.2
12/1/2022 14:41,14:41:23,1113.6
12/1/2022 14:56,14:56:23,1133.2
12/1/2022 15:11,15:11:23,1134.7
12/1/2022 15:26,15:26:23,1079
12/1/2022 15:41,15:41:23,1185.8
12/1/2022 15:56,15:56:23,1115.1
12/1/2022 16:11,16:11:23,1203.9
12/1/2022 16:26,16:26:23,1079
