Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,S02590
Device ID:,,Stn3
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/16/2022,4:30:00 PM,366
6/16/2022,4:45:00 PM,491
6/16/2022,5:00:00 PM,376
6/16/2022,5:15:00 PM,431
6/16/2022,5:30:00 PM,691
6/16/2022,5:45:00 PM,3326
6/16/2022,6:00:00 PM,2765
6/16/2022,6:15:00 PM,1653
6/16/2022,6:30:00 PM,4278
6/16/2022,6:45:00 PM,726
6/16/2022,7:00:00 PM,681
6/16/2022,7:15:00 PM,847
6/16/2022,7:30:00 PM,3497
6/16/2022,7:45:00 PM,7519
6/16/2022,8:00:00 PM,1042
6/16/2022,8:15:00 PM,5325
6/16/2022,8:30:00 PM,4368
6/16/2022,8:45:00 PM,696
6/16/2022,9:00:00 PM,701
6/16/2022,9:15:00 PM,711
6/16/2022,9:30:00 PM,701
6/16/2022,9:45:00 PM,696
6/16/2022,10:00:00 PM,711
6/16/2022,10:15:00 PM,716
6/16/2022,10:30:00 PM,706
6/16/2022,10:45:00 PM,706
6/16/2022,11:00:00 PM,716
6/16/2022,11:15:00 PM,716
6/16/2022,11:30:00 PM,706
6/16/2022,11:45:00 PM,721
6/17/2022,12:00:00 AM,721
6/17/2022,12:15:00 AM,711
6/17/2022,12:30:00 AM,716
6/17/2022,12:45:00 AM,716
6/17/2022,1:00:00 AM,721
6/17/2022,1:15:00 AM,741
6/17/2022,1:30:00 AM,721
6/17/2022,1:45:00 AM,721
6/17/2022,2:00:00 AM,721
6/17/2022,2:15:00 AM,726
6/17/2022,2:30:00 AM,721
6/17/2022,2:45:00 AM,726
6/17/2022,3:00:00 AM,726
6/17/2022,3:15:00 AM,726
6/17/2022,3:30:00 AM,726
6/17/2022,3:45:00 AM,736
6/17/2022,4:00:00 AM,731
6/17/2022,4:15:00 AM,736
6/17/2022,4:30:00 AM,731
6/17/2022,4:45:00 AM,736
6/17/2022,5:00:00 AM,721
6/17/2022,5:15:00 AM,741
6/17/2022,5:30:00 AM,736
6/17/2022,5:45:00 AM,736
6/17/2022,6:00:00 AM,746
6/17/2022,6:15:00 AM,736
6/17/2022,6:30:00 AM,741
6/17/2022,6:45:00 AM,736
6/17/2022,7:00:00 AM,751
6/17/2022,7:15:00 AM,736
6/17/2022,7:30:00 AM,751
6/17/2022,7:45:00 AM,731
6/17/2022,8:00:00 AM,736
6/17/2022,8:15:00 AM,746
6/17/2022,8:30:00 AM,756
6/17/2022,8:45:00 AM,731
6/17/2022,9:00:00 AM,756
6/17/2022,9:15:00 AM,731
6/17/2022,9:30:00 AM,741
6/17/2022,9:45:00 AM,746
6/17/2022,10:00:00 AM,726
6/17/2022,10:15:00 AM,751
6/17/2022,10:30:00 AM,741
6/17/2022,10:45:00 AM,746
6/17/2022,11:00:00 AM,756
6/17/2022,11:15:00 AM,731
6/17/2022,11:30:00 AM,751
6/17/2022,11:45:00 AM,741
6/17/2022,12:00:00 PM,746
6/17/2022,12:15:00 PM,741
6/17/2022,12:30:00 PM,746
6/17/2022,12:45:00 PM,726
6/17/2022,1:00:00 PM,736
6/17/2022,1:15:00 PM,736
6/17/2022,1:30:00 PM,746
6/17/2022,1:45:00 PM,746
6/17/2022,2:00:00 PM,746
6/17/2022,2:15:00 PM,746
6/17/2022,2:30:00 PM,746
6/17/2022,2:45:00 PM,761
6/17/2022,3:00:00 PM,746
6/17/2022,3:15:00 PM,761
6/17/2022,3:30:00 PM,736
6/17/2022,3:45:00 PM,746
6/17/2022,4:00:00 PM,756
6/17/2022,4:15:00 PM,761
6/17/2022,4:30:00 PM,761
6/17/2022,4:45:00 PM,751
6/17/2022,5:00:00 PM,756
6/17/2022,5:15:00 PM,771
6/17/2022,5:30:00 PM,771
6/17/2022,5:45:00 PM,782
6/17/2022,6:00:00 PM,787
6/17/2022,6:15:00 PM,776
6/17/2022,6:30:00 PM,807
6/17/2022,6:45:00 PM,797
6/17/2022,7:00:00 PM,792
6/17/2022,7:15:00 PM,797
6/17/2022,7:30:00 PM,787
6/17/2022,7:45:00 PM,802
6/17/2022,8:00:00 PM,792
6/17/2022,8:15:00 PM,787
6/17/2022,8:30:00 PM,807
6/17/2022,8:45:00 PM,797
6/17/2022,9:00:00 PM,797
6/17/2022,9:15:00 PM,797
6/17/2022,9:30:00 PM,797
6/17/2022,9:45:00 PM,802
6/17/2022,10:00:00 PM,797
6/17/2022,10:15:00 PM,797
6/17/2022,10:30:00 PM,822
6/17/2022,10:45:00 PM,812
6/17/2022,11:00:00 PM,817
6/17/2022,11:15:00 PM,802
6/17/2022,11:30:00 PM,797
6/17/2022,11:45:00 PM,817
6/18/2022,12:00:00 AM,807
6/18/2022,12:15:00 AM,817
6/18/2022,12:30:00 AM,822
6/18/2022,12:45:00 AM,822
6/18/2022,1:00:00 AM,812
6/18/2022,1:15:00 AM,822
6/18/2022,1:30:00 AM,827
6/18/2022,1:45:00 AM,827
6/18/2022,2:00:00 AM,832
6/18/2022,2:15:00 AM,832
6/18/2022,2:30:00 AM,827
6/18/2022,2:45:00 AM,837
6/18/2022,3:00:00 AM,827
6/18/2022,3:15:00 AM,837
6/18/2022,3:30:00 AM,827
6/18/2022,3:45:00 AM,822
6/18/2022,4:00:00 AM,817
6/18/2022,4:15:00 AM,832
6/18/2022,4:30:00 AM,832
6/18/2022,4:45:00 AM,832
6/18/2022,5:00:00 AM,842
6/18/2022,5:15:00 AM,832
6/18/2022,5:30:00 AM,832
6/18/2022,5:45:00 AM,832
6/18/2022,6:00:00 AM,842
6/18/2022,6:15:00 AM,847
6/18/2022,6:30:00 AM,852
6/18/2022,6:45:00 AM,852
6/18/2022,7:00:00 AM,832
6/18/2022,7:15:00 AM,822
6/18/2022,7:30:00 AM,827
6/18/2022,7:45:00 AM,827
6/18/2022,8:00:00 AM,827
6/18/2022,8:15:00 AM,822
6/18/2022,8:30:00 AM,817
6/18/2022,8:45:00 AM,827
6/18/2022,9:00:00 AM,822
6/18/2022,9:15:00 AM,822
6/18/2022,9:30:00 AM,822
6/18/2022,9:45:00 AM,827
6/18/2022,10:00:00 AM,802
6/18/2022,10:15:00 AM,807
6/18/2022,10:30:00 AM,802
6/18/2022,10:45:00 AM,817
6/18/2022,11:00:00 AM,807
6/18/2022,11:15:00 AM,807
6/18/2022,11:30:00 AM,812
6/18/2022,11:45:00 AM,792
6/18/2022,12:00:00 PM,832
6/18/2022,12:15:00 PM,807
6/18/2022,12:30:00 PM,807
6/18/2022,12:45:00 PM,817
6/18/2022,1:00:00 PM,802
6/18/2022,1:15:00 PM,832
