Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R21333
Device ID:,,W2
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/16/2022,3:59:24 PM,2.51
6/16/2022,3:59:25 PM,2.01
6/16/2022,3:59:26 PM,2.01
6/16/2022,3:59:27 PM,2.01
6/16/2022,3:59:28 PM,2.01
6/16/2022,3:59:29 PM,2.01
6/16/2022,3:59:30 PM,2.01
6/16/2022,3:59:31 PM,2.01
6/16/2022,3:59:32 PM,2.01
6/16/2022,3:59:33 PM,2.01
6/16/2022,3:59:34 PM,2.01
6/16/2022,3:59:35 PM,2.01
6/16/2022,3:59:36 PM,2.01
6/16/2022,3:59:37 PM,2.01
6/16/2022,3:59:38 PM,2.01
6/16/2022,3:59:39 PM,2.01
6/16/2022,3:59:40 PM,2.01
6/16/2022,3:59:41 PM,2.01
6/16/2022,3:59:42 PM,2.01
6/16/2022,3:59:43 PM,2.01
6/16/2022,3:59:44 PM,2.01
6/16/2022,3:59:45 PM,2.01
6/16/2022,3:59:46 PM,2.01
6/16/2022,3:59:47 PM,2.01
6/16/2022,3:59:48 PM,2.01
6/16/2022,3:59:49 PM,2.01
6/16/2022,3:59:50 PM,2.01
6/16/2022,3:59:51 PM,2.01
6/16/2022,3:59:52 PM,2.01
6/16/2022,3:59:53 PM,2.01
6/16/2022,3:59:54 PM,2.01
6/16/2022,3:59:55 PM,2.01
6/16/2022,3:59:56 PM,2.01
6/16/2022,3:59:57 PM,2.01
6/16/2022,3:59:58 PM,2.01
6/16/2022,3:59:59 PM,2.01
