Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R39140
Device ID:,,Well01
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/2/2022,12:30:00 PM,169.9
6/2/2022,12:45:00 PM,233
6/2/2022,1:00:00 PM,142.8
6/2/2022,1:15:00 PM,133.8
6/2/2022,1:30:00 PM,148.8
6/2/2022,1:45:00 PM,132.3
6/2/2022,2:00:00 PM,117.3
6/2/2022,2:15:00 PM,102.2
6/2/2022,2:30:00 PM,88.7
6/2/2022,2:45:00 PM,43.6
6/2/2022,3:00:00 PM,31.6
6/2/2022,3:15:00 PM,30.1
6/2/2022,3:30:00 PM,28.6
6/2/2022,3:45:00 PM,27.1
6/2/2022,4:00:00 PM,28.6
6/2/2022,4:15:00 PM,36.1
6/2/2022,4:30:00 PM,34.6
6/2/2022,4:45:00 PM,24.1
6/2/2022,5:00:00 PM,22.6
6/2/2022,5:15:00 PM,19.5
6/2/2022,5:30:00 PM,15
6/2/2022,5:45:00 PM,12
6/2/2022,6:00:00 PM,10.5
6/2/2022,6:15:00 PM,12
6/2/2022,6:30:00 PM,7.5
6/2/2022,6:45:00 PM,6
6/2/2022,7:00:00 PM,6
6/2/2022,7:15:00 PM,6
6/2/2022,7:30:00 PM,6
6/2/2022,7:45:00 PM,6
6/2/2022,8:00:00 PM,9
6/2/2022,8:15:00 PM,7.5
6/2/2022,8:30:00 PM,9
6/2/2022,8:45:00 PM,12
6/2/2022,9:00:00 PM,15
6/2/2022,9:15:00 PM,15
6/2/2022,9:30:00 PM,15
6/2/2022,9:45:00 PM,12
6/2/2022,10:00:00 PM,12
6/2/2022,10:15:00 PM,12
6/2/2022,10:30:00 PM,12
6/2/2022,10:45:00 PM,12
6/2/2022,11:00:00 PM,12
6/2/2022,11:15:00 PM,12
6/2/2022,11:30:00 PM,12
6/2/2022,11:45:00 PM,12
6/3/2022,12:00:00 AM,12
6/3/2022,12:15:00 AM,12
6/3/2022,12:30:00 AM,12
6/3/2022,12:45:00 AM,12
6/3/2022,1:00:00 AM,12
6/3/2022,1:15:00 AM,12
6/3/2022,1:30:00 AM,12
6/3/2022,1:45:00 AM,12
6/3/2022,2:00:00 AM,12
6/3/2022,2:15:00 AM,12
6/3/2022,2:30:00 AM,12
6/3/2022,2:45:00 AM,12
6/3/2022,3:00:00 AM,10.5
6/3/2022,3:15:00 AM,10.5
6/3/2022,3:30:00 AM,10.5
6/3/2022,3:45:00 AM,10.5
6/3/2022,4:00:00 AM,10.5
6/3/2022,4:15:00 AM,10.5
6/3/2022,4:30:00 AM,10.5
6/3/2022,4:45:00 AM,10.5
6/3/2022,5:00:00 AM,10.5
6/3/2022,5:15:00 AM,10.5
6/3/2022,5:30:00 AM,9
6/3/2022,5:45:00 AM,9
6/3/2022,6:00:00 AM,9
6/3/2022,6:15:00 AM,9
6/3/2022,6:30:00 AM,9
6/3/2022,6:45:00 AM,9
6/3/2022,7:00:00 AM,9
6/3/2022,7:15:00 AM,9
6/3/2022,7:30:00 AM,9
6/3/2022,7:45:00 AM,9
6/3/2022,8:00:00 AM,9
6/3/2022,8:15:00 AM,9
6/3/2022,8:30:00 AM,9
6/3/2022,8:45:00 AM,9
6/3/2022,9:00:00 AM,9
6/3/2022,9:15:00 AM,9
6/3/2022,9:30:00 AM,9
6/3/2022,9:45:00 AM,7.5
6/3/2022,10:00:00 AM,9
6/3/2022,10:15:00 AM,9
6/3/2022,10:30:00 AM,9
6/3/2022,10:45:00 AM,9
6/3/2022,11:00:00 AM,9
6/3/2022,11:15:00 AM,9
6/3/2022,11:30:00 AM,9
6/3/2022,11:45:00 AM,9
6/3/2022,12:00:00 PM,9
6/3/2022,12:15:00 PM,9
6/3/2022,12:30:00 PM,9
6/3/2022,12:45:00 PM,9
6/3/2022,1:00:00 PM,9
6/3/2022,1:15:00 PM,9
6/3/2022,1:30:00 PM,9
6/3/2022,1:45:00 PM,9
6/3/2022,2:00:00 PM,9
6/3/2022,2:15:00 PM,9
6/3/2022,2:30:00 PM,9
6/3/2022,2:45:00 PM,9
6/3/2022,3:00:00 PM,9
6/3/2022,3:15:00 PM,9
6/3/2022,3:30:00 PM,9
6/3/2022,3:45:00 PM,9
