"Plot Title: Injection_Conductivity_x0m_2022-07-26"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)","Coupler Detached (LGR S/N: 20954780)","Coupler Attached (LGR S/N: 20954780)","Host Connected (LGR S/N: 20954780)","Stopped (LGR S/N: 20954780)","End Of File (LGR S/N: 20954780)"
1,02/18/23 09:20:14 AM,3.4,15.42,,,,,
2,02/18/23 09:20:15 AM,2.0,15.42,,,,,
3,02/18/23 09:20:16 AM,2.0,15.42,,,,,
4,02/18/23 09:20:17 AM,3.4,15.40,,,,,
5,02/18/23 09:20:18 AM,2.0,15.39,,,,,
6,02/18/23 09:20:19 AM,3.4,15.37,,,,,
7,02/18/23 09:20:20 AM,2.2,15.42,,,,,
8,02/18/23 09:20:21 AM,2.0,15.37,,,,,
9,02/18/23 09:20:22 AM,3.4,15.34,,,,,
10,02/18/23 09:20:23 AM,2.2,15.32,,,,,
11,02/18/23 09:20:24 AM,2.0,15.31,,,,,
12,02/18/23 09:20:25 AM,2.0,15.30,,,,,
13,02/18/23 09:20:26 AM,2.0,15.29,,,,,
14,02/18/23 09:20:27 AM,2.0,15.28,,,,,
15,02/18/23 09:20:28 AM,3.4,15.29,,,,,
16,02/18/23 09:20:29 AM,2.2,15.28,,,,,
17,02/18/23 09:20:30 AM,2.2,15.28,,,,,
18,02/18/23 09:20:31 AM,1.9,15.25,Logged,,,,
19,02/18/23 09:20:32 AM,2.0,15.25,,,,,
20,02/18/23 09:20:33 AM,1.9,15.29,,,,,
21,02/18/23 09:20:34 AM,1.9,15.26,,,,,
22,02/18/23 09:20:35 AM,1.9,15.28,,,,,
23,02/18/23 09:20:36 AM,2.0,15.29,,,,,
24,02/18/23 09:20:37 AM,2.0,15.28,,,,,
25,02/18/23 09:20:38 AM,1.9,15.26,,,,,
26,02/18/23 09:20:39 AM,2.0,15.26,,,,,
27,02/18/23 09:20:40 AM,2.0,15.30,,,,,
28,02/18/23 09:20:41 AM,1.9,15.35,,,,,
29,02/18/23 09:20:42 AM,1.9,15.36,,,,,
30,02/18/23 09:20:43 AM,1.9,15.40,,,,,
31,02/18/23 09:20:44 AM,1.9,15.40,,,,,
32,02/18/23 09:20:45 AM,2.0,15.43,,,,,
33,02/18/23 09:20:46 AM,2.0,15.46,,,,,
34,02/18/23 09:20:47 AM,2.0,15.47,,,,,
35,02/18/23 09:20:48 AM,3.4,15.47,,,,,
36,02/18/23 09:20:49 AM,2.0,15.46,,,,,
37,02/18/23 09:20:50 AM,2.0,15.45,,,,,
38,02/18/23 09:20:51 AM,2.0,15.42,,,,,
39,02/18/23 09:20:52 AM,2.0,15.40,,,,,
40,02/18/23 09:20:53 AM,2.0,15.42,,,,,
41,02/18/23 09:20:54 AM,2.0,15.45,,,,,
42,02/18/23 09:20:55 AM,2.0,15.43,,,,,
43,02/18/23 09:20:56 AM,2.0,15.43,,,,,
44,02/18/23 09:20:57 AM,3.4,15.41,,,,,
45,02/18/23 09:20:58 AM,2.0,15.45,,,,,
46,02/18/23 09:20:59 AM,1.9,15.46,,,,,
47,02/18/23 09:21:00 AM,2.0,15.46,,,,,
48,02/18/23 09:21:01 AM,2.0,15.46,,,,,
49,02/18/23 09:21:02 AM,2.0,15.43,,,,,
50,02/18/23 09:21:03 AM,2.0,15.41,,,,,
51,02/18/23 09:21:04 AM,1.9,15.40,,,,,
52,02/18/23 09:21:05 AM,1.9,15.40,,,,,
53,02/18/23 09:21:06 AM,2.0,15.39,,,,,
54,02/18/23 09:21:07 AM,2.0,15.39,,,,,
55,02/18/23 09:21:08 AM,2.0,15.43,,,,,
56,02/18/23 09:21:09 AM,1.9,15.41,,,,,
57,02/18/23 09:21:10 AM,2.0,15.41,,,,,
58,02/18/23 09:21:11 AM,2.0,15.42,,,,,
59,02/18/23 09:21:12 AM,2.0,15.42,,,,,
60,02/18/23 09:21:13 AM,2.0,15.43,,,,,
61,02/18/23 09:21:14 AM,2.0,15.45,,,,,
62,02/18/23 09:21:15 AM,2.0,15.45,,,,,
63,02/18/23 09:21:16 AM,2.0,15.43,,,,,
64,02/18/23 09:21:17 AM,2.0,15.43,,,,,
65,02/18/23 09:21:18 AM,2.0,15.46,,,,,
66,02/18/23 09:21:19 AM,2.0,15.46,,,,,
67,02/18/23 09:21:20 AM,2.0,15.43,,,,,
68,02/18/23 09:21:21 AM,2.0,15.47,,,,,
69,02/18/23 09:21:22 AM,2.0,15.48,,,,,
70,02/18/23 09:21:23 AM,2.0,15.51,,,,,
71,02/18/23 09:21:24 AM,1.9,15.51,,,,,
72,02/18/23 09:21:25 AM,3.4,15.51,,,,,
73,02/18/23 09:21:26 AM,1.9,15.51,,,,,
74,02/18/23 09:21:27 AM,2.0,15.52,,,,,
75,02/18/23 09:21:28 AM,3.4,15.49,,,,,
76,02/18/23 09:21:29 AM,2.0,15.49,,,,,
