"Plot Title: 21223042"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21223042, SEN S/N: 21223042)","Temp, °C (LGR S/N: 21223042, SEN S/N: 21223042)","End Of File (LGR S/N: 21223042)"
1,03/16/22 03:00:00 PM,3.47,10.52,
2,03/16/22 03:05:00 PM,3.45,10.44,
3,03/16/22 03:10:00 PM,3.43,10.44,
4,03/16/22 03:15:00 PM,3.40,10.44,
5,03/16/22 03:20:00 PM,3.38,10.46,
6,03/16/22 03:25:00 PM,3.35,10.48,
7,03/16/22 03:30:00 PM,3.33,10.48,
8,03/16/22 03:35:00 PM,3.31,10.48,
9,03/16/22 03:40:00 PM,3.28,10.50,
10,03/16/22 03:45:00 PM,3.26,10.52,
11,03/16/22 03:50:00 PM,3.24,10.56,
12,03/16/22 03:55:00 PM,3.22,10.58,
13,03/16/22 04:00:00 PM,3.20,10.58,
14,03/16/22 04:05:00 PM,3.18,10.58,
15,03/16/22 04:10:00 PM,3.16,10.56,
16,03/16/22 04:15:00 PM,3.13,10.54,
17,03/16/22 04:20:00 PM,3.11,10.48,
18,03/16/22 04:25:00 PM,3.09,10.42,
19,03/16/22 04:30:00 PM,3.07,10.36,
20,03/16/22 04:35:00 PM,3.05,10.30,
21,03/16/22 04:40:00 PM,3.03,10.22,
22,03/16/22 04:45:00 PM,3.01,10.16,
23,03/16/22 04:50:00 PM,2.99,10.10,
24,03/16/22 04:55:00 PM,2.96,10.04,
25,03/16/22 05:00:00 PM,2.93,9.96,
26,03/16/22 05:05:00 PM,2.90,9.90,
27,03/16/22 05:10:00 PM,2.88,9.84,
28,03/16/22 05:15:00 PM,2.86,9.76,
29,03/16/22 05:20:00 PM,2.83,9.70,
30,03/16/22 05:25:00 PM,2.81,9.64,
31,03/16/22 05:30:00 PM,2.78,9.60,
32,03/16/22 05:35:00 PM,2.76,9.54,
33,03/16/22 05:40:00 PM,2.73,9.50,
34,03/16/22 05:45:00 PM,2.70,9.44,
35,03/16/22 05:50:00 PM,2.67,9.40,
36,03/16/22 05:55:00 PM,2.65,9.36,
37,03/16/22 06:00:00 PM,2.62,9.32,
38,03/16/22 06:05:00 PM,2.60,9.26,
39,03/16/22 06:10:00 PM,2.58,9.22,
40,03/16/22 06:15:00 PM,2.55,9.18,
41,03/16/22 06:20:00 PM,2.53,9.14,
42,03/16/22 06:25:00 PM,2.51,9.08,
43,03/16/22 06:30:00 PM,2.48,9.04,
44,03/16/22 06:35:00 PM,2.45,9.00,
45,03/16/22 06:40:00 PM,2.43,8.96,
46,03/16/22 06:45:00 PM,2.41,8.92,
47,03/16/22 06:50:00 PM,2.39,8.88,
48,03/16/22 06:55:00 PM,2.37,8.84,
49,03/16/22 07:00:00 PM,2.35,8.80,
50,03/16/22 07:05:00 PM,2.33,8.76,
51,03/16/22 07:10:00 PM,2.31,8.72,
52,03/16/22 07:15:00 PM,2.29,8.70,
53,03/16/22 07:20:00 PM,2.25,8.66,
54,03/16/22 07:25:00 PM,2.24,8.64,
55,03/16/22 07:30:00 PM,2.22,8.60,
56,03/16/22 07:35:00 PM,2.20,8.56,
57,03/16/22 07:40:00 PM,2.18,8.54,
