"Plot Title: DO_02"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Detached (LGR S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
1,06/02/22 02:00:00 PM,5.24,13.32,,,,,
2,06/02/22 02:15:00 PM,5.36,12.88,,,,,
3,06/02/22 02:30:00 PM,5.45,12.38,,,,,
4,06/02/22 02:45:00 PM,5.45,12.02,,,,,
5,06/02/22 03:00:00 PM,5.45,11.94,,,,,
6,06/02/22 03:15:00 PM,5.53,11.78,,,,,
7,06/02/22 03:30:00 PM,5.31,11.78,,,,,
8,06/02/22 03:45:00 PM,5.20,11.46,,,,,
9,06/02/22 04:00:00 PM,5.21,11.10,,,,,
10,06/02/22 04:15:00 PM,5.21,10.84,,,,,
11,06/02/22 04:30:00 PM,5.19,10.64,,,,,
12,06/02/22 04:45:00 PM,5.14,10.54,,,,,
13,06/02/22 05:00:00 PM,5.15,10.28,,,,,
14,06/02/22 05:15:00 PM,5.16,10.04,,,,,
15,06/02/22 05:30:00 PM,5.11,9.96,,,,,
16,06/02/22 05:45:00 PM,5.09,9.72,,,,,
17,06/02/22 06:00:00 PM,5.08,9.66,,,,,
18,06/02/22 06:15:00 PM,5.10,9.38,,,,,
19,06/02/22 06:30:00 PM,5.13,9.06,,,,,
20,06/02/22 06:45:00 PM,5.14,8.86,,,,,
21,06/02/22 07:00:00 PM,5.15,8.64,,,,,
22,06/02/22 07:15:00 PM,5.20,8.36,,,,,
23,06/02/22 07:30:00 PM,5.26,8.08,,,,,
24,06/02/22 07:45:00 PM,5.28,7.90,,,,,
25,06/02/22 08:00:00 PM,5.33,7.66,,,,,
26,06/02/22 08:15:00 PM,5.38,7.28,,,,,
27,06/02/22 08:30:00 PM,5.39,6.72,,,,,
28,06/02/22 08:45:00 PM,5.45,6.20,,,,,
29,06/02/22 09:00:00 PM,5.55,5.68,,,,,
30,06/02/22 09:15:00 PM,5.60,5.34,,,,,
31,06/02/22 09:30:00 PM,5.62,5.16,,,,,
32,06/02/22 09:45:00 PM,5.64,5.00,,,,,
33,06/02/22 10:00:00 PM,5.60,4.84,,,,,
34,06/02/22 10:15:00 PM,5.62,4.90,,,,,
35,06/02/22 10:30:00 PM,5.62,4.78,,,,,
36,06/02/22 10:45:00 PM,5.59,4.56,,,,,
37,06/02/22 11:00:00 PM,5.56,4.58,,,,,
38,06/02/22 11:15:00 PM,5.58,4.72,,,,,
39,06/02/22 11:30:00 PM,5.54,4.94,,,,,
40,06/02/22 11:45:00 PM,5.47,5.14,,,,,
41,06/03/22 12:00:00 AM,5.44,5.28,,,,,
42,06/03/22 12:15:00 AM,5.39,5.34,,,,,
43,06/03/22 12:30:00 AM,5.36,5.40,,,,,
44,06/03/22 12:45:00 AM,5.37,5.54,,,,,
45,06/03/22 01:00:00 AM,5.33,5.70,,,,,
46,06/03/22 01:15:00 AM,5.28,5.72,,,,,
47,06/03/22 01:30:00 AM,5.24,5.60,,,,,
48,06/03/22 01:45:00 AM,5.27,5.64,,,,,
49,06/03/22 02:00:00 AM,5.25,5.74,,,,,
50,06/03/22 02:15:00 AM,5.24,5.62,,,,,
51,06/03/22 02:30:00 AM,5.26,5.48,,,,,
52,06/03/22 02:45:00 AM,5.26,5.50,,,,,
53,06/03/22 03:00:00 AM,5.30,5.60,,,,,
54,06/03/22 03:15:00 AM,5.31,5.68,,,,,
55,06/03/22 03:30:00 AM,5.28,5.74,,,,,
56,06/03/22 03:45:00 AM,5.26,5.86,,,,,
57,06/03/22 04:00:00 AM,5.22,5.88,,,,,
58,06/03/22 04:15:00 AM,5.22,5.88,,,,,
59,06/03/22 04:30:00 AM,5.23,5.90,,,,,
60,06/03/22 04:45:00 AM,5.23,5.94,,,,,
61,06/03/22 05:00:00 AM,5.22,5.94,,,,,
62,06/03/22 05:15:00 AM,5.23,5.98,,,,,
63,06/03/22 05:30:00 AM,5.25,6.00,,,,,
64,06/03/22 05:45:00 AM,5.26,6.02,,,,,
65,06/03/22 06:00:00 AM,5.26,5.98,,,,,
66,06/03/22 06:15:00 AM,5.25,6.00,,,,,
67,06/03/22 06:30:00 AM,5.28,5.94,,,,,
68,06/03/22 06:45:00 AM,5.24,5.94,,,,,
69,06/03/22 07:00:00 AM,5.24,5.96,,,,,
70,06/03/22 07:15:00 AM,5.23,5.92,,,,,
71,06/03/22 07:30:00 AM,5.24,5.86,,,,,
72,06/03/22 07:45:00 AM,5.21,5.86,,,,,
73,06/03/22 08:00:00 AM,5.22,5.92,,,,,
74,06/03/22 08:15:00 AM,5.19,6.04,,,,,
75,06/03/22 08:30:00 AM,5.20,6.08,,,,,
76,06/03/22 08:45:00 AM,5.19,6.08,,,,,
77,06/03/22 09:00:00 AM,5.13,6.18,,,,,
78,06/03/22 09:15:00 AM,5.13,6.26,,,,,
79,06/03/22 09:30:00 AM,5.11,6.34,,,,,
80,06/03/22 09:45:00 AM,5.31,6.40,,,,,
81,06/03/22 10:00:00 AM,5.07,6.44,,,,,
82,06/03/22 10:15:00 AM,4.95,6.46,,,,,
83,06/03/22 10:30:00 AM,4.92,6.44,,,,,
84,06/03/22 10:45:00 AM,4.91,6.36,,,,,
85,06/03/22 11:00:00 AM,4.98,6.10,,,,,
86,06/03/22 11:15:00 AM,5.02,5.80,,,,,
87,06/03/22 11:30:00 AM,5.13,5.58,,,,,
88,06/03/22 11:45:00 AM,5.55,5.64,,,,,
89,06/03/22 12:00:00 PM,5.64,5.68,,,,,
90,06/03/22 12:15:00 PM,5.59,5.80,,,,,
91,06/03/22 12:30:00 PM,5.58,5.92,,,,,
92,06/03/22 12:45:00 PM,5.63,6.06,,,,,
93,06/03/22 01:00:00 PM,5.54,6.20,,,,,
94,06/03/22 01:15:00 PM,5.67,6.32,,,,,
95,06/03/22 01:30:00 PM,5.74,6.40,,,,,
96,06/03/22 01:45:00 PM,5.81,6.50,,,,,
97,06/03/22 02:00:00 PM,5.67,6.60,,,,,
98,06/03/22 02:15:00 PM,5.63,6.70,,,,,
99,06/03/22 02:30:00 PM,5.61,6.76,,,,,
100,06/03/22 02:45:00 PM,5.59,6.80,,,,,
101,06/03/22 03:00:00 PM,5.61,6.84,,,,,
102,06/03/22 03:15:00 PM,5.78,6.98,,,,,
103,06/03/22 03:30:00 PM,5.82,7.16,,,,,
104,06/03/22 03:45:00 PM,5.83,7.26,,,,,
105,06/03/22 04:00:00 PM,5.81,7.26,,,,,
106,06/03/22 04:15:00 PM,5.80,7.30,,,,,
107,06/03/22 04:30:00 PM,5.81,7.40,,,,,
108,06/03/22 04:45:00 PM,5.90,7.50,,,,,
109,06/03/22 05:00:00 PM,6.03,7.60,,,,,
110,06/03/22 05:15:00 PM,5.96,7.62,,,,,
111,06/03/22 05:30:00 PM,5.92,7.66,,,,,
112,06/03/22 05:45:00 PM,6.03,7.64,,,,,
113,06/03/22 06:00:00 PM,6.11,7.50,,,,,
114,06/03/22 06:15:00 PM,6.13,7.44,,,,,
115,06/03/22 06:30:00 PM,5.76,7.46,,,,,
116,06/03/22 06:45:00 PM,5.51,7.46,,,,,
117,06/03/22 07:00:00 PM,5.47,7.40,,,,,
118,06/03/22 07:15:00 PM,5.41,7.30,,,,,
119,06/03/22 07:30:00 PM,5.38,7.22,,,,,
120,06/03/22 07:45:00 PM,5.34,7.12,,,,,
121,06/03/22 08:00:00 PM,5.33,7.02,,,,,
122,06/03/22 08:15:00 PM,5.31,6.94,,,,,
123,06/03/22 08:30:00 PM,5.30,6.82,,,,,
124,06/03/22 08:45:00 PM,5.28,6.76,,,,,
125,06/03/22 09:00:00 PM,5.26,6.72,,,,,
126,06/03/22 09:15:00 PM,5.25,6.70,,,,,
127,06/03/22 09:30:00 PM,5.23,6.62,,,,,
128,06/03/22 09:45:00 PM,5.24,6.54,,,,,
129,06/03/22 10:00:00 PM,5.30,6.28,,,,,
130,06/03/22 10:15:00 PM,5.49,5.96,,,,,
131,06/03/22 10:30:00 PM,5.57,5.92,,,,,
132,06/03/22 10:45:00 PM,5.49,5.90,,,,,
133,06/03/22 11:00:00 PM,5.45,5.82,,,,,
134,06/03/22 11:15:00 PM,5.49,5.78,,,,,
135,06/03/22 11:30:00 PM,5.62,5.76,,,,,
136,06/03/22 11:45:00 PM,5.72,5.72,,,,,
137,06/04/22 12:00:00 AM,5.76,5.78,,,,,
138,06/04/22 12:15:00 AM,5.43,6.20,,,,,
139,06/04/22 12:30:00 AM,5.20,6.40,,,,,
140,06/04/22 12:45:00 AM,5.15,6.42,,,,,
141,06/04/22 01:00:00 AM,5.10,6.42,,,,,
142,06/04/22 01:15:00 AM,5.08,6.36,,,,,
143,06/04/22 01:30:00 AM,5.07,6.36,,,,,
144,06/04/22 01:45:00 AM,5.05,6.32,,,,,
145,06/04/22 02:00:00 AM,5.05,6.24,,,,,
146,06/04/22 02:15:00 AM,5.05,6.18,,,,,
147,06/04/22 02:30:00 AM,5.08,6.12,,,,,
148,06/04/22 02:45:00 AM,5.09,6.06,,,,,
149,06/04/22 03:00:00 AM,5.13,6.00,,,,,
150,06/04/22 03:15:00 AM,5.13,5.88,,,,,
151,06/04/22 03:30:00 AM,5.12,5.82,,,,,
152,06/04/22 03:45:00 AM,5.09,5.78,,,,,
153,06/04/22 04:00:00 AM,5.08,5.80,,,,,
154,06/04/22 04:15:00 AM,5.09,5.78,,,,,
155,06/04/22 04:30:00 AM,5.10,5.74,,,,,
156,06/04/22 04:45:00 AM,5.12,5.72,,,,,
157,06/04/22 05:00:00 AM,5.12,5.74,,,,,
158,06/04/22 05:15:00 AM,5.13,5.78,,,,,
159,06/04/22 05:30:00 AM,5.14,5.82,,,,,
160,06/04/22 05:45:00 AM,5.16,5.84,,,,,
161,06/04/22 06:00:00 AM,5.16,5.86,,,,,
162,06/04/22 06:15:00 AM,5.17,5.88,,,,,
163,06/04/22 06:30:00 AM,5.19,5.88,,,,,
164,06/04/22 06:45:00 AM,5.19,5.90,,,,,
165,06/04/22 07:00:00 AM,5.18,5.92,,,,,
166,06/04/22 07:15:00 AM,5.18,5.90,,,,,
167,06/04/22 07:30:00 AM,5.17,5.90,,,,,
168,06/04/22 07:45:00 AM,5.18,5.92,,,,,
169,06/04/22 08:00:00 AM,5.20,5.94,,,,,
170,06/04/22 08:15:00 AM,5.22,5.96,,,,,
171,06/04/22 08:30:00 AM,5.25,5.98,,,,,
172,06/04/22 08:45:00 AM,5.27,6.02,,,,,
173,06/04/22 09:00:00 AM,5.27,6.08,,,,,
174,06/04/22 09:15:00 AM,5.27,6.18,,,,,
175,06/04/22 09:30:00 AM,5.29,6.32,,,,,
176,06/04/22 09:45:00 AM,5.29,6.52,,,,,
177,06/04/22 10:00:00 AM,5.20,6.76,,,,,
178,06/04/22 10:15:00 AM,5.10,7.00,,,,,
179,06/04/22 10:30:00 AM,5.07,7.20,,,,,
180,06/04/22 10:45:00 AM,5.06,7.44,,,,,
181,06/04/22 11:00:00 AM,5.03,7.80,,,,,
182,06/04/22 11:15:00 AM,5.01,8.18,,,,,
183,06/04/22 11:30:00 AM,5.04,8.38,,,,,
184,06/04/22 11:45:00 AM,5.11,8.32,,,,,
185,06/04/22 12:00:00 PM,5.30,8.18,,,,,
186,06/04/22 12:15:00 PM,5.35,8.06,,,,,
187,06/04/22 12:30:00 PM,5.32,8.06,,,,,
188,06/04/22 12:45:00 PM,5.31,8.16,,,,,
189,06/04/22 01:00:00 PM,5.35,8.20,,,,,
190,06/04/22 01:15:00 PM,5.42,8.06,,,,,
191,06/04/22 01:30:00 PM,5.42,7.96,,,,,
192,06/04/22 01:45:00 PM,5.39,7.92,,,,,
193,06/04/22 02:00:00 PM,5.35,7.96,,,,,
194,06/04/22 02:15:00 PM,5.35,8.02,,,,,
195,06/04/22 02:30:00 PM,5.33,8.16,,,,,
196,06/04/22 02:45:00 PM,5.33,8.48,,,,,
197,06/04/22 03:00:00 PM,5.30,8.84,,,,,
198,06/04/22 03:15:00 PM,5.24,9.12,,,,,
199,06/04/22 03:30:00 PM,5.18,9.30,,,,,
200,06/04/22 03:45:00 PM,5.13,9.34,,,,,
201,06/04/22 04:00:00 PM,5.09,9.34,,,,,
202,06/04/22 04:15:00 PM,5.05,9.46,,,,,
203,06/04/22 04:30:00 PM,5.06,9.54,,,,,
204,06/04/22 04:45:00 PM,5.05,9.66,,,,,
205,06/04/22 05:00:00 PM,5.02,9.78,,,,,
206,06/04/22 05:15:00 PM,5.01,9.84,,,,,
207,06/04/22 05:30:00 PM,5.01,9.76,,,,,
208,06/04/22 05:45:00 PM,5.03,9.60,,,,,
209,06/04/22 06:00:00 PM,5.04,9.40,,,,,
210,06/04/22 06:15:00 PM,5.00,9.14,,,,,
211,06/04/22 06:30:00 PM,5.45,8.98,,,,,
212,06/04/22 06:45:00 PM,5.62,8.88,,,,,
213,06/04/22 07:00:00 PM,5.63,8.76,,,,,
214,06/04/22 07:15:00 PM,5.62,8.66,,,,,
215,06/04/22 07:30:00 PM,5.56,8.54,,,,,
216,06/04/22 07:45:00 PM,5.55,8.42,,,,,
217,06/04/22 08:00:00 PM,5.51,8.36,,,,,
218,06/04/22 08:15:00 PM,5.47,8.30,,,,,
219,06/04/22 08:30:00 PM,5.45,8.20,,,,,
220,06/04/22 08:45:00 PM,5.43,8.12,,,,,
221,06/04/22 09:00:00 PM,5.41,8.04,,,,,
222,06/04/22 09:15:00 PM,5.39,7.94,,,,,
223,06/04/22 09:30:00 PM,5.36,7.88,,,,,
224,06/04/22 09:45:00 PM,5.35,7.80,,,,,
225,06/04/22 10:00:00 PM,5.33,7.72,,,,,
226,06/04/22 10:15:00 PM,5.32,7.66,,,,,
227,06/04/22 10:30:00 PM,5.30,7.60,,,,,
228,06/04/22 10:45:00 PM,5.28,7.60,,,,,
229,06/04/22 11:00:00 PM,5.26,7.58,,,,,
230,06/04/22 11:15:00 PM,5.24,7.58,,,,,
231,06/04/22 11:30:00 PM,5.23,7.56,,,,,
232,06/04/22 11:45:00 PM,5.21,7.54,,,,,
233,06/05/22 12:00:00 AM,5.20,7.52,,,,,
234,06/05/22 12:15:00 AM,5.19,7.50,,,,,
235,06/05/22 12:30:00 AM,5.19,7.46,,,,,
236,06/05/22 12:45:00 AM,5.20,7.42,,,,,
237,06/05/22 01:00:00 AM,5.19,7.40,,,,,
238,06/05/22 01:15:00 AM,5.18,7.36,,,,,
239,06/05/22 01:30:00 AM,5.17,7.34,,,,,
240,06/05/22 01:45:00 AM,5.17,7.30,,,,,
241,06/05/22 02:00:00 AM,5.17,7.26,,,,,
242,06/05/22 02:15:00 AM,5.17,7.16,,,,,
243,06/05/22 02:30:00 AM,5.17,7.08,,,,,
244,06/05/22 02:45:00 AM,5.18,6.98,,,,,
245,06/05/22 03:00:00 AM,5.17,6.88,,,,,
246,06/05/22 03:15:00 AM,5.17,6.82,,,,,
247,06/05/22 03:30:00 AM,5.15,6.72,,,,,
248,06/05/22 03:45:00 AM,5.17,6.58,,,,,
249,06/05/22 04:00:00 AM,5.17,6.44,,,,,
250,06/05/22 04:15:00 AM,5.17,6.36,,,,,
251,06/05/22 04:30:00 AM,5.16,6.32,,,,,
252,06/05/22 04:45:00 AM,5.15,6.32,,,,,
253,06/05/22 05:00:00 AM,5.13,6.32,,,,,
254,06/05/22 05:15:00 AM,5.13,6.26,,,,,
255,06/05/22 05:30:00 AM,5.13,6.16,,,,,
256,06/05/22 05:45:00 AM,5.15,6.06,,,,,
257,06/05/22 06:00:00 AM,5.16,5.98,,,,,
258,06/05/22 06:15:00 AM,5.16,5.90,,,,,
259,06/05/22 06:30:00 AM,5.16,5.86,,,,,
260,06/05/22 06:45:00 AM,5.16,5.86,,,,,
261,06/05/22 07:00:00 AM,5.14,5.86,,,,,
262,06/05/22 07:15:00 AM,5.15,5.84,,,,,
263,06/05/22 07:30:00 AM,5.16,5.80,,,,,
264,06/05/22 07:45:00 AM,5.16,5.82,,,,,
265,06/05/22 08:00:00 AM,5.18,5.86,,,,,
266,06/05/22 08:15:00 AM,5.21,5.92,,,,,
267,06/05/22 08:30:00 AM,5.24,6.06,,,,,
268,06/05/22 08:45:00 AM,5.27,6.22,,,,,
269,06/05/22 09:00:00 AM,5.30,6.36,,,,,
270,06/05/22 09:15:00 AM,5.32,6.62,,,,,
271,06/05/22 09:30:00 AM,5.33,6.88,,,,,
272,06/05/22 09:45:00 AM,5.26,7.26,,,,,
273,06/05/22 10:00:00 AM,5.27,7.64,,,,,
274,06/05/22 10:15:00 AM,5.26,8.10,,,,,
275,06/05/22 10:30:00 AM,5.25,8.60,,,,,
276,06/05/22 10:45:00 AM,5.23,8.96,,,,,
277,06/05/22 11:00:00 AM,5.21,9.12,,,,,
278,06/05/22 11:15:00 AM,5.20,9.40,,,,,
279,06/05/22 11:30:00 AM,5.20,9.74,,,,,
280,06/05/22 11:45:00 AM,5.20,10.14,,,,,
281,06/05/22 12:00:00 PM,5.20,10.44,,,,,
282,06/05/22 12:15:00 PM,5.21,10.46,,,,,
283,06/05/22 12:30:00 PM,5.23,10.40,,,,,
284,06/05/22 12:45:00 PM,5.23,10.46,,,,,
285,06/05/22 01:00:00 PM,5.23,10.64,,,,,
286,06/05/22 01:15:00 PM,5.24,10.66,,,,,
287,06/05/22 01:30:00 PM,5.23,10.74,,,,,
288,06/05/22 01:45:00 PM,5.23,10.86,,,,,
289,06/05/22 02:00:00 PM,5.22,11.12,,,,,
290,06/05/22 02:15:00 PM,5.19,11.70,,,,,
291,06/05/22 02:30:00 PM,5.16,12.04,,,,,
292,06/05/22 02:45:00 PM,5.11,12.44,,,,,
293,06/05/22 03:00:00 PM,5.08,13.00,,,,,
294,06/05/22 03:15:00 PM,5.05,13.34,,,,,
295,06/05/22 03:30:00 PM,5.04,13.04,,,,,
296,06/05/22 03:45:00 PM,5.03,12.52,,,,,
297,06/05/22 04:00:00 PM,5.04,12.18,,,,,
298,06/05/22 04:15:00 PM,5.03,12.14,,,,,
299,06/05/22 04:30:00 PM,5.04,12.36,,,,,
300,06/05/22 04:45:00 PM,5.05,12.36,,,,,
301,06/05/22 05:00:00 PM,5.06,12.10,,,,,
302,06/05/22 05:15:00 PM,5.06,11.76,,,,,
303,06/05/22 05:30:00 PM,5.07,11.38,,,,,
304,06/05/22 05:45:00 PM,5.08,11.04,,,,,
305,06/05/22 06:00:00 PM,5.08,10.72,,,,,
306,06/05/22 06:15:00 PM,5.08,10.40,,,,,
307,06/05/22 06:30:00 PM,5.10,10.16,,,,,
308,06/05/22 06:45:00 PM,5.10,10.06,,,,,
309,06/05/22 07:00:00 PM,5.09,9.96,,,,,
310,06/05/22 07:15:00 PM,5.07,9.84,,,,,
311,06/05/22 07:30:00 PM,5.06,9.72,,,,,
312,06/05/22 07:45:00 PM,5.05,9.58,,,,,
313,06/05/22 08:00:00 PM,5.02,9.42,,,,,
314,06/05/22 08:15:00 PM,5.00,9.28,,,,,
315,06/05/22 08:30:00 PM,4.98,9.20,,,,,
316,06/05/22 08:45:00 PM,4.97,9.12,,,,,
317,06/05/22 09:00:00 PM,4.97,9.06,,,,,
318,06/05/22 09:15:00 PM,4.96,9.00,,,,,
319,06/05/22 09:30:00 PM,4.96,8.98,,,,,
320,06/05/22 09:45:00 PM,4.94,8.94,,,,,
321,06/05/22 10:00:00 PM,4.94,8.88,,,,,
322,06/05/22 10:15:00 PM,4.94,8.74,,,,,
323,06/05/22 10:30:00 PM,4.94,8.60,,,,,
324,06/05/22 10:45:00 PM,4.94,8.50,,,,,
325,06/05/22 11:00:00 PM,4.94,8.42,,,,,
326,06/05/22 11:15:00 PM,4.94,8.36,,,,,
327,06/05/22 11:30:00 PM,4.92,8.32,,,,,
328,06/05/22 11:45:00 PM,4.91,8.28,,,,,
329,06/06/22 12:00:00 AM,4.89,8.24,,,,,
330,06/06/22 12:15:00 AM,4.88,8.20,,,,,
331,06/06/22 12:30:00 AM,4.87,8.16,,,,,
332,06/06/22 12:45:00 AM,4.86,8.12,,,,,
333,06/06/22 01:00:00 AM,4.85,8.12,,,,,
334,06/06/22 01:15:00 AM,4.83,8.12,,,,,
