"Plot Title: DO_03"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20645538, SEN S/N: 20645538)","Temp, °C (LGR S/N: 20645538, SEN S/N: 20645538)","Coupler Attached (LGR S/N: 20645538)","Host Connected (LGR S/N: 20645538)","End Of File (LGR S/N: 20645538)"
1,06/02/22 03:30:00 PM,5.76,14.88,,,
2,06/02/22 03:45:00 PM,6.12,13.18,,,
3,06/02/22 04:00:00 PM,6.36,12.20,,,
4,06/02/22 04:15:00 PM,6.53,11.50,,,
5,06/02/22 04:30:00 PM,6.63,11.12,,,
6,06/02/22 04:45:00 PM,6.71,10.84,,,
7,06/02/22 05:00:00 PM,6.77,10.58,,,
8,06/02/22 05:15:00 PM,6.86,10.12,,,
9,06/02/22 05:30:00 PM,6.89,9.98,,,
10,06/02/22 05:45:00 PM,6.95,9.68,,,
11,06/02/22 06:00:00 PM,7.01,9.46,,,
12,06/02/22 06:15:00 PM,7.04,9.26,,,
13,06/02/22 06:30:00 PM,7.12,8.90,,,
14,06/02/22 06:45:00 PM,7.18,8.68,,,
15,06/02/22 07:00:00 PM,7.27,8.32,,,
16,06/02/22 07:15:00 PM,7.32,8.06,,,
17,06/02/22 07:30:00 PM,7.39,7.72,,,
18,06/02/22 07:45:00 PM,7.46,7.46,,,
19,06/02/22 08:00:00 PM,7.53,7.14,,,
20,06/02/22 08:15:00 PM,7.59,6.90,,,
21,06/02/22 08:30:00 PM,7.72,6.40,,,
22,06/02/22 08:45:00 PM,7.82,6.02,,,
23,06/02/22 09:00:00 PM,7.93,5.58,,,
24,06/02/22 09:15:00 PM,8.01,5.28,,,
25,06/02/22 09:30:00 PM,8.09,4.96,,,
26,06/02/22 09:45:00 PM,8.24,4.48,,,
27,06/02/22 10:00:00 PM,8.23,4.46,,,
28,06/02/22 10:15:00 PM,8.28,4.30,,,
29,06/02/22 10:30:00 PM,8.21,4.44,,,
30,06/02/22 10:45:00 PM,8.25,4.30,,,
31,06/02/22 11:00:00 PM,8.27,4.20,,,
32,06/02/22 11:15:00 PM,8.21,4.40,,,
33,06/02/22 11:30:00 PM,8.14,4.58,,,
34,06/02/22 11:45:00 PM,8.10,4.72,,,
35,06/03/22 12:00:00 AM,8.09,4.74,,,
36,06/03/22 12:15:00 AM,8.09,4.74,,,
37,06/03/22 12:30:00 AM,8.03,4.92,,,
38,06/03/22 12:45:00 AM,7.99,5.06,,,
39,06/03/22 01:00:00 AM,7.98,5.08,,,
40,06/03/22 01:15:00 AM,7.94,5.20,,,
41,06/03/22 01:30:00 AM,7.98,5.06,,,
42,06/03/22 01:45:00 AM,8.01,4.96,,,
43,06/03/22 02:00:00 AM,8.00,5.00,,,
44,06/03/22 02:15:00 AM,8.01,4.94,,,
45,06/03/22 02:30:00 AM,8.03,4.90,,,
46,06/03/22 02:45:00 AM,8.01,4.96,,,
47,06/03/22 03:00:00 AM,7.99,5.02,,,
48,06/03/22 03:15:00 AM,7.93,5.18,,,
49,06/03/22 03:30:00 AM,7.94,5.16,,,
50,06/03/22 03:45:00 AM,7.92,5.24,,,
51,06/03/22 04:00:00 AM,7.86,5.40,,,
52,06/03/22 04:15:00 AM,7.83,5.46,,,
53,06/03/22 04:30:00 AM,7.82,5.50,,,
54,06/03/22 04:45:00 AM,7.82,5.48,,,
55,06/03/22 05:00:00 AM,7.84,5.44,,,
56,06/03/22 05:15:00 AM,7.86,5.38,,,
57,06/03/22 05:30:00 AM,7.86,5.36,,,
58,06/03/22 05:45:00 AM,7.86,5.36,,,
59,06/03/22 06:00:00 AM,7.87,5.32,,,
60,06/03/22 06:15:00 AM,7.85,5.36,,,
61,06/03/22 06:30:00 AM,7.82,5.44,,,
62,06/03/22 06:45:00 AM,7.85,5.38,,,
63,06/03/22 07:00:00 AM,7.86,5.34,,,
64,06/03/22 07:15:00 AM,7.85,5.36,,,
65,06/03/22 07:30:00 AM,7.88,5.26,,,
66,06/03/22 07:45:00 AM,7.87,5.28,,,
67,06/03/22 08:00:00 AM,7.84,5.40,,,
68,06/03/22 08:15:00 AM,7.84,5.42,,,
69,06/03/22 08:30:00 AM,7.82,5.52,,,
70,06/03/22 08:45:00 AM,7.81,5.52,,,
71,06/03/22 09:00:00 AM,7.82,5.52,,,
72,06/03/22 09:15:00 AM,7.79,5.62,,,
73,06/03/22 09:30:00 AM,7.78,5.66,,,
74,06/03/22 09:45:00 AM,7.77,5.70,,,
75,06/03/22 10:00:00 AM,7.72,5.88,,,
