"Plot Title: DO_06"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10718405, SEN S/N: 10718405)","Temp, °C (LGR S/N: 10718405, SEN S/N: 10718405)","Coupler Attached (LGR S/N: 10718405)","Host Connected (LGR S/N: 10718405)","Stopped (LGR S/N: 10718405)","End Of File (LGR S/N: 10718405)"
1,03/16/22 04:00:00 PM,6.82,11.50,,,,
2,03/16/22 04:15:00 PM,7.28,9.82,,,,
3,03/16/22 04:30:00 PM,7.37,9.30,,,,
4,03/16/22 04:45:00 PM,7.43,8.98,,,,
5,03/16/22 05:00:00 PM,7.44,8.76,,,,
6,03/16/22 05:15:00 PM,7.46,8.64,,,,
7,03/16/22 05:30:00 PM,7.48,8.52,,,,
8,03/16/22 05:45:00 PM,7.48,8.44,,,,
9,03/16/22 06:00:00 PM,7.47,8.38,,,,
10,03/16/22 06:15:00 PM,7.44,8.32,,,,
11,03/16/22 06:30:00 PM,7.44,8.24,,,,
12,03/16/22 06:45:00 PM,7.41,8.16,,,,
13,03/16/22 07:00:00 PM,7.41,8.10,,,,
14,03/16/22 07:15:00 PM,7.41,8.06,,,,
15,03/16/22 07:30:00 PM,7.41,8.04,,,,
16,03/16/22 07:45:00 PM,7.42,8.00,,,,
17,03/16/22 08:00:00 PM,7.44,7.96,,,,
18,03/16/22 08:15:00 PM,7.43,7.92,,,,
19,03/16/22 08:30:00 PM,7.43,7.88,,,,
20,03/16/22 08:45:00 PM,7.44,7.84,,,,
21,03/16/22 09:00:00 PM,7.45,7.78,,,,
22,03/16/22 09:15:00 PM,7.45,7.74,,,,
23,03/16/22 09:30:00 PM,7.47,7.70,,,,
24,03/16/22 09:45:00 PM,7.48,7.66,,,,
25,03/16/22 10:00:00 PM,7.48,7.62,,,,
26,03/16/22 10:15:00 PM,7.50,7.58,,,,
27,03/16/22 10:30:00 PM,7.50,7.54,,,,
28,03/16/22 10:45:00 PM,7.51,7.50,,,,
29,03/16/22 11:00:00 PM,7.50,7.46,,,,
30,03/16/22 11:15:00 PM,7.53,7.42,,,,
31,03/16/22 11:30:00 PM,7.52,7.38,,,,
32,03/16/22 11:45:00 PM,7.54,7.34,,,,
33,03/17/22 12:00:00 AM,7.55,7.30,,,,
34,03/17/22 12:15:00 AM,7.56,7.28,,,,
35,03/17/22 12:30:00 AM,7.57,7.26,,,,
36,03/17/22 12:45:00 AM,7.56,7.22,,,,
37,03/17/22 01:00:00 AM,7.55,7.20,,,,
38,03/17/22 01:15:00 AM,7.56,7.16,,,,
39,03/17/22 01:30:00 AM,7.57,7.10,,,,
40,03/17/22 01:45:00 AM,7.58,7.02,,,,
41,03/17/22 02:00:00 AM,7.58,6.96,,,,
42,03/17/22 02:15:00 AM,7.60,6.88,,,,
43,03/17/22 02:30:00 AM,7.62,6.80,,,,
44,03/17/22 02:45:00 AM,7.64,6.70,,,,
45,03/17/22 03:00:00 AM,7.65,6.62,,,,
46,03/17/22 03:15:00 AM,7.67,6.54,,,,
47,03/17/22 03:30:00 AM,7.67,6.50,,,,
48,03/17/22 03:45:00 AM,7.68,6.44,,,,
49,03/17/22 04:00:00 AM,7.69,6.36,,,,
50,03/17/22 04:15:00 AM,7.71,6.30,,,,
51,03/17/22 04:30:00 AM,7.71,6.26,,,,
52,03/17/22 04:45:00 AM,7.73,6.22,,,,
53,03/17/22 05:00:00 AM,7.74,6.20,,,,
54,03/17/22 05:15:00 AM,7.74,6.20,,,,
55,03/17/22 05:30:00 AM,7.74,6.18,,,,
56,03/17/22 05:45:00 AM,7.75,6.14,,,,
57,03/17/22 06:00:00 AM,7.76,6.12,,,,
58,03/17/22 06:15:00 AM,7.78,6.10,,,,
59,03/17/22 06:30:00 AM,7.77,6.08,,,,
