"Plot Title: Conductivity_100m"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)","Coupler Detached (LGR S/N: 20954780)","Coupler Attached (LGR S/N: 20954780)","Host Connected (LGR S/N: 20954780)","Stopped (LGR S/N: 20954780)","End Of File (LGR S/N: 20954780)"
1,06/06/22 12:33:40 PM,2.0,21.30,Logged,,,,
2,06/06/22 12:33:50 PM,2.0,21.53,,,,,
3,06/06/22 12:34:00 PM,2.2,21.69,,,,,
4,06/06/22 12:34:10 PM,2.0,21.81,,,,,
5,06/06/22 12:34:20 PM,2.0,21.92,,,,,
6,06/06/22 12:34:30 PM,2.0,22.04,,,,,
7,06/06/22 12:34:40 PM,2.0,22.12,,,,,
8,06/06/22 12:34:50 PM,2.2,22.14,,,,,
9,06/06/22 12:35:00 PM,2.0,22.19,,,,,
10,06/06/22 12:35:10 PM,2.0,22.19,,,,,
11,06/06/22 12:35:20 PM,3.3,22.23,,,,,
12,06/06/22 12:35:30 PM,3.3,22.27,,,,,
13,06/06/22 12:35:40 PM,2.0,22.34,,,,,
14,06/06/22 12:35:50 PM,2.0,22.40,,,,,
15,06/06/22 12:36:00 PM,2.0,22.47,,,,,
16,06/06/22 12:36:10 PM,3.3,22.53,,,,,
17,06/06/22 12:36:20 PM,2.0,22.59,,,,,
18,06/06/22 12:36:30 PM,2.0,22.65,,,,,
19,06/06/22 12:36:40 PM,2.0,22.72,,,,,
20,06/06/22 12:36:50 PM,2.0,22.80,,,,,
21,06/06/22 12:37:00 PM,3.3,22.86,,,,,
22,06/06/22 12:37:10 PM,2.0,22.93,,,,,
23,06/06/22 12:37:20 PM,3.3,22.99,,,,,
24,06/06/22 12:37:30 PM,2.2,23.04,,,,,
25,06/06/22 12:37:40 PM,3.3,23.12,,,,,
26,06/06/22 12:37:50 PM,3.3,23.16,,,,,
27,06/06/22 12:38:00 PM,2.0,23.01,,,,,
28,06/06/22 12:38:10 PM,2.0,22.94,,,,,
29,06/06/22 12:38:20 PM,1.9,22.89,,,,,
30,06/06/22 12:38:30 PM,2.0,22.91,,,,,
31,06/06/22 12:38:40 PM,1.9,22.92,,,,,
32,06/06/22 12:38:50 PM,2.0,22.95,,,,,
33,06/06/22 12:39:00 PM,2.0,22.97,,,,,
34,06/06/22 12:39:10 PM,2.0,22.99,,,,,
35,06/06/22 12:39:20 PM,2.0,23.00,,,,,
36,06/06/22 12:39:30 PM,3.3,23.03,,,,,
37,06/06/22 12:39:40 PM,3.3,23.05,,,,,
38,06/06/22 12:39:50 PM,2.0,23.05,,,,,
39,06/06/22 12:40:00 PM,2.0,23.03,,,,,
40,06/06/22 12:40:10 PM,2.0,23.01,,,,,
41,06/06/22 12:40:20 PM,3.3,23.04,,,,,
42,06/06/22 12:40:30 PM,2.0,23.08,,,,,
43,06/06/22 12:40:40 PM,2.0,23.11,,,,,
44,06/06/22 12:40:50 PM,1.9,23.12,,,,,
45,06/06/22 12:41:00 PM,2.0,23.18,,,,,
46,06/06/22 12:41:10 PM,3.3,23.20,,,,,
47,06/06/22 12:41:20 PM,2.0,23.21,,,,,
48,06/06/22 12:41:30 PM,2.0,23.20,,,,,
49,06/06/22 12:41:40 PM,2.0,23.18,,,,,
50,06/06/22 12:41:50 PM,2.0,23.20,,,,,
51,06/06/22 12:42:00 PM,3.3,23.20,,,,,
52,06/06/22 12:42:10 PM,3.3,23.22,,,,,
53,06/06/22 12:42:20 PM,2.0,23.21,,,,,
54,06/06/22 12:42:30 PM,2.0,23.18,,,,,
55,06/06/22 12:42:40 PM,1.9,23.12,,,,,
56,06/06/22 12:42:50 PM,2.0,23.11,,,,,
57,06/06/22 12:43:00 PM,2.0,23.08,,,,,
58,06/06/22 12:43:10 PM,2.0,23.04,,,,,
59,06/06/22 12:43:20 PM,3.3,23.01,,,,,
60,06/06/22 12:43:30 PM,3.3,22.98,,,,,
61,06/06/22 12:43:40 PM,2.0,22.97,,,,,
62,06/06/22 12:43:50 PM,2.0,22.78,,,,,
63,06/06/22 12:44:00 PM,3.3,22.49,,,,,
64,06/06/22 12:44:10 PM,2.0,22.35,,,,,
65,06/06/22 12:44:20 PM,3.3,22.08,,,,,
66,06/06/22 12:44:30 PM,3.3,21.98,,,,,
67,06/06/22 12:44:40 PM,3.3,21.92,,,,,
68,06/06/22 12:44:50 PM,3.3,21.94,,,,,
69,06/06/22 12:45:00 PM,2.0,21.79,,,,,
70,06/06/22 12:45:10 PM,2.0,21.63,,,,,
71,06/06/22 12:45:20 PM,2.0,21.41,,,,,
72,06/06/22 12:45:30 PM,2.0,21.35,,,,,
73,06/06/22 12:45:40 PM,2.0,21.35,,,,,
74,06/06/22 12:45:50 PM,2.0,21.43,,,,,
75,06/06/22 12:46:00 PM,2.0,21.29,,,,,
76,06/06/22 12:46:10 PM,2.0,20.99,,,,,
77,06/06/22 12:46:20 PM,3.3,20.94,,,,,
78,06/06/22 12:46:30 PM,3.3,20.95,,,,,
79,06/06/22 12:46:40 PM,3.6,20.80,,,,,
80,06/06/22 12:46:50 PM,2.0,20.39,,,,,
81,06/06/22 12:47:00 PM,2.0,20.52,,,,,
82,06/06/22 12:47:10 PM,20.8,15.92,,,,,
83,06/06/22 12:47:20 PM,14.5,14.09,,,,,
84,06/06/22 12:47:30 PM,10.8,13.60,,,,,
85,06/06/22 12:47:40 PM,10.1,13.42,,,,,
86,06/06/22 12:47:50 PM,9.4,13.09,,,,,
87,06/06/22 12:48:00 PM,9.4,13.06,,,,,
88,06/06/22 12:48:10 PM,9.4,13.03,,,,,
89,06/06/22 12:48:20 PM,9.4,12.95,,,,,
90,06/06/22 12:48:30 PM,9.3,12.91,,,,,
91,06/06/22 12:48:40 PM,9.4,12.79,,,,,
92,06/06/22 12:48:50 PM,9.3,12.79,,,,,
93,06/06/22 12:49:00 PM,9.3,12.69,,,,,
94,06/06/22 12:49:10 PM,9.3,12.72,,,,,
95,06/06/22 12:49:20 PM,9.3,12.68,,,,,
96,06/06/22 12:49:30 PM,9.2,12.61,,,,,
97,06/06/22 12:49:40 PM,9.2,12.57,,,,,
98,06/06/22 12:49:50 PM,9.2,12.57,,,,,
99,06/06/22 12:50:00 PM,9.2,12.55,,,,,
100,06/06/22 12:50:10 PM,9.2,12.53,,,,,
101,06/06/22 12:50:20 PM,9.2,12.50,,,,,
102,06/06/22 12:50:30 PM,9.2,12.49,,,,,
103,06/06/22 12:50:40 PM,9.2,12.46,,,,,
104,06/06/22 12:50:50 PM,9.2,12.46,,,,,
105,06/06/22 12:51:00 PM,9.2,12.45,,,,,
106,06/06/22 12:51:10 PM,9.2,12.46,,,,,
