Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R98459
Device ID:,,Box 1 newV
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/20/2022,1:37:21 PM,10090.9
6/20/2022,1:37:22 PM,10090.9
6/20/2022,1:37:23 PM,10091.4
6/20/2022,1:37:24 PM,10091.4
6/20/2022,1:37:25 PM,10090.9
6/20/2022,1:37:26 PM,10090.9
6/20/2022,1:37:27 PM,10090.9
6/20/2022,1:37:28 PM,10090.4
6/20/2022,1:37:29 PM,10090.4
6/20/2022,1:37:30 PM,10090.9
6/20/2022,1:37:31 PM,10090.9
6/20/2022,1:37:32 PM,10091.4
6/20/2022,1:37:33 PM,10091.9
6/20/2022,1:37:34 PM,10091.4
6/20/2022,1:37:35 PM,10090.9
6/20/2022,1:37:36 PM,10090.9
6/20/2022,1:37:37 PM,10090.4
6/20/2022,1:37:38 PM,10090.4
6/20/2022,1:37:39 PM,10090.9
6/20/2022,1:37:40 PM,10090.9
6/20/2022,1:37:41 PM,10090.9
6/20/2022,1:37:42 PM,10091.4
6/20/2022,1:37:43 PM,10091.4
6/20/2022,1:37:44 PM,10090.9
6/20/2022,1:37:45 PM,10090.9
6/20/2022,1:37:46 PM,10090.9
6/20/2022,1:37:47 PM,10090.4
6/20/2022,1:37:48 PM,10090.4
6/20/2022,1:37:49 PM,1637.3
6/20/2022,1:37:50 PM,0
6/20/2022,1:37:51 PM,0
6/20/2022,1:37:52 PM,0
6/20/2022,1:37:53 PM,0
6/20/2022,1:37:54 PM,0
6/20/2022,1:37:55 PM,4.5
6/20/2022,1:37:56 PM,10090.4
6/20/2022,1:37:57 PM,10090.4
6/20/2022,1:37:58 PM,10090.9
6/20/2022,1:37:59 PM,10090.9
6/20/2022,1:38:00 PM,10090.9
6/20/2022,1:38:01 PM,10091.4
6/20/2022,1:38:02 PM,10091.4
6/20/2022,1:38:03 PM,10090.9
6/20/2022,1:38:04 PM,10090.9
6/20/2022,1:38:05 PM,10090.9
6/20/2022,1:38:06 PM,10090.4
6/20/2022,1:38:07 PM,10090.4
6/20/2022,1:38:08 PM,10090.9
6/20/2022,1:38:09 PM,10090.9
6/20/2022,1:38:10 PM,10091.4
6/20/2022,1:38:11 PM,10091.4
6/20/2022,1:38:12 PM,10091.4
6/20/2022,1:38:13 PM,10090.9
6/20/2022,1:38:14 PM,10090.9
6/20/2022,1:38:15 PM,10090.4
6/20/2022,1:38:16 PM,10090.4
6/20/2022,1:38:17 PM,10090.9
6/20/2022,1:38:18 PM,10090.9
6/20/2022,1:38:19 PM,10091.4
6/20/2022,1:38:20 PM,10091.4
6/20/2022,1:38:21 PM,10091.9
6/20/2022,1:38:22 PM,10091.4
6/20/2022,1:38:23 PM,10090.9
6/20/2022,1:38:24 PM,10090.9
6/20/2022,1:38:25 PM,10090.4
6/20/2022,1:38:26 PM,10090.4
6/20/2022,1:38:27 PM,10090.9
6/20/2022,1:38:28 PM,10090.9
6/20/2022,1:38:29 PM,10091.4
6/20/2022,1:38:30 PM,10091.9
6/20/2022,1:38:31 PM,10091.4
6/20/2022,1:38:32 PM,10090.9
6/20/2022,1:38:33 PM,10090.9
6/20/2022,1:38:34 PM,10090.4
6/20/2022,1:38:35 PM,10090.4
6/20/2022,1:38:36 PM,10090.9
6/20/2022,1:38:37 PM,10090.9
6/20/2022,1:38:38 PM,10091.4
6/20/2022,1:38:39 PM,10091.9
6/20/2022,1:38:40 PM,10091.4
6/20/2022,1:38:41 PM,10091.4
6/20/2022,1:38:42 PM,10090.9
6/20/2022,1:38:43 PM,10090.9
6/20/2022,1:38:44 PM,10090.4
6/20/2022,1:38:45 PM,10090.9
6/20/2022,1:38:46 PM,10090.9
6/20/2022,1:38:47 PM,10090.9
6/20/2022,1:38:48 PM,10091.4
6/20/2022,1:38:49 PM,10091.9
6/20/2022,1:38:50 PM,10091.4
6/20/2022,1:38:51 PM,10090.9
6/20/2022,1:38:52 PM,10090.9
6/20/2022,1:38:53 PM,10090.9
6/20/2022,1:38:54 PM,10090.4
6/20/2022,1:38:55 PM,10090.9
6/20/2022,1:38:56 PM,10090.9
6/20/2022,1:38:57 PM,10091.4
6/20/2022,1:38:58 PM,10091.4
6/20/2022,1:38:59 PM,10091.9
6/20/2022,1:39:00 PM,10091.4
6/20/2022,1:39:01 PM,10090.9
6/20/2022,1:39:02 PM,10090.9
6/20/2022,1:39:03 PM,10090.4
6/20/2022,1:39:04 PM,10090.4
6/20/2022,1:39:05 PM,10090.9
6/20/2022,1:39:06 PM,10090.9
6/20/2022,1:39:07 PM,10091.4
6/20/2022,1:39:08 PM,10091.9
6/20/2022,1:39:09 PM,10091.4
6/20/2022,1:39:10 PM,10090.9
6/20/2022,1:39:11 PM,10090.9
6/20/2022,1:39:12 PM,10090.9
6/20/2022,1:39:13 PM,10090.4
6/20/2022,1:39:14 PM,10090.9
6/20/2022,1:39:15 PM,10090.9
6/20/2022,1:39:16 PM,10091.4
6/20/2022,1:39:17 PM,10091.4
6/20/2022,1:39:18 PM,10091.9
6/20/2022,1:39:19 PM,10091.4
6/20/2022,1:39:20 PM,10090.9
6/20/2022,1:39:21 PM,10090.9
6/20/2022,1:39:22 PM,10090.4
6/20/2022,1:39:23 PM,10090.4
6/20/2022,1:39:24 PM,10090.9
6/20/2022,1:39:25 PM,10090.9
6/20/2022,1:39:26 PM,10091.4
6/20/2022,1:39:27 PM,10091.9
6/20/2022,1:39:28 PM,10091.4
6/20/2022,1:39:29 PM,10091.4
6/20/2022,1:39:30 PM,10090.9
6/20/2022,1:39:31 PM,10090.9
6/20/2022,1:39:32 PM,10090.4
6/20/2022,1:39:33 PM,10090.9
6/20/2022,1:39:34 PM,10090.9
6/20/2022,1:39:35 PM,10090.9
6/20/2022,1:39:36 PM,10091.4
6/20/2022,1:39:37 PM,10091.9
6/20/2022,1:39:38 PM,10091.4
6/20/2022,1:39:39 PM,10090.9
6/20/2022,1:39:40 PM,10090.9
6/20/2022,1:39:41 PM,10090.4
6/20/2022,1:39:42 PM,10090.4
6/20/2022,1:39:43 PM,10090.9
6/20/2022,1:39:44 PM,10090.9
6/20/2022,1:39:45 PM,10091.4
6/20/2022,1:39:46 PM,10091.9
6/20/2022,1:39:47 PM,10091.4
6/20/2022,1:39:48 PM,10091.4
6/20/2022,1:39:49 PM,10090.9
6/20/2022,1:39:50 PM,10090.9
6/20/2022,1:39:51 PM,10090.4
6/20/2022,1:39:52 PM,10090.9
6/20/2022,1:39:53 PM,10090.9
6/20/2022,1:39:54 PM,10090.9
6/20/2022,1:39:55 PM,10091.4
6/20/2022,1:39:56 PM,10091.9
6/20/2022,1:39:57 PM,10091.4
6/20/2022,1:39:58 PM,10090.9
6/20/2022,1:39:59 PM,10090.9
6/20/2022,1:40:00 PM,10090.4
6/20/2022,1:40:01 PM,10090.4
6/20/2022,1:40:02 PM,10090.9
6/20/2022,1:40:03 PM,10090.9
6/20/2022,1:40:04 PM,10091.4
6/20/2022,1:40:05 PM,10091.9
6/20/2022,1:40:06 PM,10091.4
6/20/2022,1:40:07 PM,10091.4
6/20/2022,1:40:08 PM,10090.9
6/20/2022,1:40:09 PM,10090.9
6/20/2022,1:40:10 PM,10090.4
6/20/2022,1:40:11 PM,10090.9
6/20/2022,1:40:12 PM,10090.9
6/20/2022,1:40:13 PM,10090.9
6/20/2022,1:40:14 PM,10091.4
6/20/2022,1:40:15 PM,10091.9
6/20/2022,1:40:16 PM,10091.4
6/20/2022,1:40:17 PM,10090.9
6/20/2022,1:40:18 PM,10090.9
6/20/2022,1:40:19 PM,10090.4
6/20/2022,1:40:20 PM,10090.4
6/20/2022,1:40:21 PM,10090.9
6/20/2022,1:40:22 PM,10090.9
6/20/2022,1:40:23 PM,10091.4
6/20/2022,1:40:24 PM,10091.9
6/20/2022,1:40:25 PM,10091.4
6/20/2022,1:40:26 PM,10090.9
6/20/2022,1:40:27 PM,10090.9
6/20/2022,1:40:28 PM,10090.9
6/20/2022,1:40:29 PM,10090.4
6/20/2022,1:40:30 PM,10090.9
6/20/2022,1:40:31 PM,10090.9
6/20/2022,1:40:32 PM,10090.9
6/20/2022,1:40:33 PM,10091.4
6/20/2022,1:40:34 PM,10091.9
6/20/2022,1:40:35 PM,10091.4
6/20/2022,1:40:36 PM,10090.9
6/20/2022,1:40:37 PM,10090.9
6/20/2022,1:40:38 PM,10090.4
6/20/2022,1:40:39 PM,10090.4
6/20/2022,1:40:40 PM,10090.9
6/20/2022,1:40:41 PM,10090.9
6/20/2022,1:40:42 PM,10091.4
6/20/2022,1:40:43 PM,10091.9
6/20/2022,1:40:44 PM,10091.4
6/20/2022,1:40:45 PM,10091.4
6/20/2022,1:40:46 PM,10090.9
6/20/2022,1:40:47 PM,10090.9
6/20/2022,1:40:48 PM,10090.4
6/20/2022,1:40:49 PM,10090.9
6/20/2022,1:40:50 PM,10090.9
6/20/2022,1:40:51 PM,10090.9
6/20/2022,1:40:52 PM,10091.4
6/20/2022,1:40:53 PM,10091.9
6/20/2022,1:40:54 PM,10091.4
6/20/2022,1:40:55 PM,10090.9
6/20/2022,1:40:56 PM,10090.9
6/20/2022,1:40:57 PM,10090.4
6/20/2022,1:40:58 PM,10090.4
6/20/2022,1:40:59 PM,10090.9
6/20/2022,1:41:00 PM,10090.9
6/20/2022,1:41:01 PM,10091.4
6/20/2022,1:41:02 PM,10091.9
6/20/2022,1:41:03 PM,10091.9
6/20/2022,1:41:04 PM,10091.4
6/20/2022,1:41:05 PM,10090.9
6/20/2022,1:41:06 PM,10090.9
6/20/2022,1:41:07 PM,10090.4
6/20/2022,1:41:08 PM,10090.9
6/20/2022,1:41:09 PM,10090.9
6/20/2022,1:41:10 PM,10090.9
6/20/2022,1:41:11 PM,10091.4
6/20/2022,1:41:12 PM,10091.9
6/20/2022,1:41:13 PM,10091.4
6/20/2022,1:41:14 PM,10090.9
6/20/2022,1:41:15 PM,10090.9
6/20/2022,1:41:16 PM,10090.4
6/20/2022,1:41:17 PM,10090.4
6/20/2022,1:41:18 PM,10090.9
6/20/2022,1:41:19 PM,10090.9
6/20/2022,1:41:20 PM,10091.4
6/20/2022,1:41:21 PM,10091.9
6/20/2022,1:41:22 PM,10091.4
6/20/2022,1:41:23 PM,10091.4
6/20/2022,1:41:24 PM,10090.9
6/20/2022,1:41:25 PM,10090.9
6/20/2022,1:41:26 PM,10090.4
6/20/2022,1:41:27 PM,10090.9
6/20/2022,1:41:28 PM,10090.9
6/20/2022,1:41:29 PM,10090.9
6/20/2022,1:41:30 PM,10091.4
6/20/2022,1:41:31 PM,10091.9
6/20/2022,1:41:32 PM,10091.4
6/20/2022,1:41:33 PM,10090.9
6/20/2022,1:41:34 PM,10090.9
6/20/2022,1:41:35 PM,10090.4
6/20/2022,1:41:36 PM,10090.4
6/20/2022,1:41:37 PM,10090.9
6/20/2022,1:41:38 PM,10090.9
6/20/2022,1:41:39 PM,10091.4
6/20/2022,1:41:40 PM,10091.9
6/20/2022,1:41:41 PM,10091.4
6/20/2022,1:41:42 PM,10091.4
6/20/2022,1:41:43 PM,10090.9
6/20/2022,1:41:44 PM,10090.9
6/20/2022,1:41:45 PM,10090.4
6/20/2022,1:41:46 PM,10090.9
6/20/2022,1:41:47 PM,10090.9
6/20/2022,1:41:48 PM,10090.9
6/20/2022,1:41:49 PM,10091.4
6/20/2022,1:41:50 PM,10091.9
6/20/2022,1:41:51 PM,10091.4
6/20/2022,1:41:52 PM,10090.9
6/20/2022,1:41:53 PM,10090.9
6/20/2022,1:41:54 PM,10090.4
6/20/2022,1:41:55 PM,10090.4
6/20/2022,1:41:56 PM,10090.9
6/20/2022,1:41:57 PM,10090.9
6/20/2022,1:41:58 PM,10091.4
6/20/2022,1:41:59 PM,10091.9
6/20/2022,1:42:00 PM,10091.4
6/20/2022,1:42:01 PM,10091.4
6/20/2022,1:42:02 PM,10090.9
6/20/2022,1:42:03 PM,10090.9
6/20/2022,1:42:04 PM,10090.4
6/20/2022,1:42:05 PM,10090.9
6/20/2022,1:42:06 PM,10090.9
6/20/2022,1:42:07 PM,10090.9
6/20/2022,1:42:08 PM,10091.4
6/20/2022,1:42:09 PM,10091.9
6/20/2022,1:42:10 PM,10091.4
6/20/2022,1:42:11 PM,10090.9
6/20/2022,1:42:12 PM,10090.9
6/20/2022,1:42:13 PM,10090.4
6/20/2022,1:42:14 PM,10090.4
6/20/2022,1:42:15 PM,10090.9
6/20/2022,1:42:16 PM,10090.9
6/20/2022,1:42:17 PM,10091.4
6/20/2022,1:42:18 PM,10091.9
6/20/2022,1:42:19 PM,10091.4
6/20/2022,1:42:20 PM,10091.4
6/20/2022,1:42:21 PM,10090.9
6/20/2022,1:42:22 PM,10090.9
6/20/2022,1:42:23 PM,10090.4
6/20/2022,1:42:24 PM,10090.9
6/20/2022,1:42:25 PM,10090.9
