Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R35852
Device ID:,,Box 3 newV
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/20/2022,2:28:06 PM,449
6/20/2022,2:28:07 PM,449
6/20/2022,2:28:08 PM,449
6/20/2022,2:28:09 PM,446.5
6/20/2022,2:28:10 PM,447
6/20/2022,2:28:11 PM,447
6/20/2022,2:28:12 PM,447
6/20/2022,2:28:13 PM,447
6/20/2022,2:28:14 PM,447
6/20/2022,2:28:15 PM,447.5
6/20/2022,2:28:16 PM,448
6/20/2022,2:28:17 PM,448
6/20/2022,2:28:18 PM,447.5
6/20/2022,2:28:19 PM,447
6/20/2022,2:28:20 PM,447
6/20/2022,2:28:21 PM,447
6/20/2022,2:28:22 PM,447
6/20/2022,2:28:23 PM,447
6/20/2022,2:28:24 PM,446.5
6/20/2022,2:28:25 PM,446.5
6/20/2022,2:28:26 PM,446.5
6/20/2022,2:28:27 PM,446.5
6/20/2022,2:28:28 PM,447
6/20/2022,2:28:29 PM,447
6/20/2022,2:28:30 PM,447
6/20/2022,2:28:31 PM,447
6/20/2022,2:28:32 PM,447
6/20/2022,2:28:33 PM,447.5
6/20/2022,2:28:34 PM,447.5
6/20/2022,2:28:35 PM,448
6/20/2022,2:28:36 PM,447.5
6/20/2022,2:28:37 PM,447.5
6/20/2022,2:28:38 PM,447
6/20/2022,2:28:39 PM,447
6/20/2022,2:28:40 PM,447
6/20/2022,2:28:41 PM,447
6/20/2022,2:28:42 PM,447
6/20/2022,2:28:43 PM,446.5
6/20/2022,2:28:44 PM,446.5
6/20/2022,2:28:45 PM,446.5
6/20/2022,2:28:46 PM,446.5
6/20/2022,2:28:47 PM,447
6/20/2022,2:28:48 PM,447
6/20/2022,2:28:49 PM,447
6/20/2022,2:28:50 PM,447
6/20/2022,2:28:51 PM,447.5
6/20/2022,2:28:52 PM,447.5
6/20/2022,2:28:53 PM,448
6/20/2022,2:28:54 PM,449.5
6/20/2022,2:28:55 PM,450
6/20/2022,2:28:56 PM,449.5
6/20/2022,2:28:57 PM,449.5
6/20/2022,2:28:58 PM,449.5
6/20/2022,2:28:59 PM,449.5
6/20/2022,2:29:00 PM,449.5
6/20/2022,2:29:01 PM,449
6/20/2022,2:29:02 PM,448.5
6/20/2022,2:29:03 PM,449
6/20/2022,2:29:04 PM,447
6/20/2022,2:29:05 PM,447
6/20/2022,2:29:06 PM,447
6/20/2022,2:29:07 PM,447
6/20/2022,2:29:08 PM,447
6/20/2022,2:29:09 PM,447.5
6/20/2022,2:29:10 PM,447.5
6/20/2022,2:29:11 PM,448
6/20/2022,2:29:12 PM,447.5
6/20/2022,2:29:13 PM,447.5
6/20/2022,2:29:14 PM,447
6/20/2022,2:29:15 PM,447
6/20/2022,2:29:16 PM,447
6/20/2022,2:29:17 PM,447
6/20/2022,2:29:18 PM,447
6/20/2022,2:29:19 PM,446.5
6/20/2022,2:29:20 PM,446.5
6/20/2022,2:29:21 PM,446.5
6/20/2022,2:29:22 PM,446.5
6/20/2022,2:29:23 PM,447
6/20/2022,2:29:24 PM,447
6/20/2022,2:29:25 PM,447
6/20/2022,2:29:26 PM,447
6/20/2022,2:29:27 PM,447.5
6/20/2022,2:29:28 PM,447.5
6/20/2022,2:29:29 PM,448
6/20/2022,2:29:30 PM,447.5
6/20/2022,2:29:31 PM,447.5
6/20/2022,2:29:32 PM,447
6/20/2022,2:29:33 PM,447
6/20/2022,2:29:34 PM,447
6/20/2022,2:29:35 PM,447
6/20/2022,2:29:36 PM,447
6/20/2022,2:29:37 PM,446.5
6/20/2022,2:29:38 PM,446.5
6/20/2022,2:29:39 PM,446.5
6/20/2022,2:29:40 PM,444.5
6/20/2022,2:29:41 PM,444.5
6/20/2022,2:29:42 PM,444.5
6/20/2022,2:29:43 PM,444.5
6/20/2022,2:29:44 PM,444.5
6/20/2022,2:29:45 PM,445
6/20/2022,2:29:46 PM,445
6/20/2022,2:29:47 PM,445.5
6/20/2022,2:29:48 PM,445.5
6/20/2022,2:29:49 PM,445
6/20/2022,2:29:50 PM,444.5
6/20/2022,2:29:51 PM,444.5
6/20/2022,2:29:52 PM,444.5
6/20/2022,2:29:53 PM,444.5
6/20/2022,2:29:54 PM,444.5
6/20/2022,2:29:55 PM,444
6/20/2022,2:29:56 PM,443.5
6/20/2022,2:29:57 PM,444
6/20/2022,2:29:58 PM,444
6/20/2022,2:29:59 PM,444.5
6/20/2022,2:30:00 PM,444.5
6/20/2022,2:30:01 PM,444.5
6/20/2022,2:30:02 PM,444.5
6/20/2022,2:30:03 PM,445
6/20/2022,2:30:04 PM,445
6/20/2022,2:30:05 PM,445.5
6/20/2022,2:30:06 PM,445
6/20/2022,2:30:07 PM,445
6/20/2022,2:30:08 PM,445
6/20/2022,2:30:09 PM,444.5
6/20/2022,2:30:10 PM,444.5
6/20/2022,2:30:11 PM,444.5
6/20/2022,2:30:12 PM,444.5
6/20/2022,2:30:13 PM,444
6/20/2022,2:30:14 PM,443.5
6/20/2022,2:30:15 PM,444
6/20/2022,2:30:16 PM,444.5
6/20/2022,2:30:17 PM,444.5
6/20/2022,2:30:18 PM,444.5
6/20/2022,2:30:19 PM,444.5
6/20/2022,2:30:20 PM,444.5
6/20/2022,2:30:21 PM,445
6/20/2022,2:30:22 PM,445
6/20/2022,2:30:23 PM,445.5
6/20/2022,2:30:24 PM,445.5
6/20/2022,2:30:25 PM,445
6/20/2022,2:30:26 PM,444.5
6/20/2022,2:30:27 PM,444.5
6/20/2022,2:30:28 PM,444.5
6/20/2022,2:30:29 PM,444.5
6/20/2022,2:30:30 PM,444.5
6/20/2022,2:30:31 PM,444
6/20/2022,2:30:32 PM,444
6/20/2022,2:30:33 PM,444
6/20/2022,2:30:34 PM,444
6/20/2022,2:30:35 PM,444.5
6/20/2022,2:30:36 PM,444.5
6/20/2022,2:30:37 PM,444.5
6/20/2022,2:30:38 PM,444.5
6/20/2022,2:30:39 PM,445
6/20/2022,2:30:40 PM,445
6/20/2022,2:30:41 PM,445.5
6/20/2022,2:30:42 PM,445.5
6/20/2022,2:30:43 PM,445
6/20/2022,2:30:44 PM,444.5
6/20/2022,2:30:45 PM,444.5
6/20/2022,2:30:46 PM,444.5
6/20/2022,2:30:47 PM,444.5
6/20/2022,2:30:48 PM,444.5
6/20/2022,2:30:49 PM,446.5
6/20/2022,2:30:50 PM,446
6/20/2022,2:30:51 PM,446.5
6/20/2022,2:30:52 PM,446.5
6/20/2022,2:30:53 PM,447
6/20/2022,2:30:54 PM,447
6/20/2022,2:30:55 PM,447
6/20/2022,2:30:56 PM,447
6/20/2022,2:30:57 PM,447
6/20/2022,2:30:58 PM,447.5
6/20/2022,2:30:59 PM,450.5
6/20/2022,2:31:00 PM,450.5
6/20/2022,2:31:01 PM,450
6/20/2022,2:31:02 PM,449.5
6/20/2022,2:31:03 PM,449.5
6/20/2022,2:31:04 PM,449.5
6/20/2022,2:31:05 PM,449.5
6/20/2022,2:31:06 PM,449.5
6/20/2022,2:31:07 PM,449
6/20/2022,2:31:08 PM,449
6/20/2022,2:31:09 PM,449
6/20/2022,2:31:10 PM,449
6/20/2022,2:31:11 PM,449.5
6/20/2022,2:31:12 PM,449.5
6/20/2022,2:31:13 PM,449.5
6/20/2022,2:31:14 PM,449.5
6/20/2022,2:31:15 PM,449.5
6/20/2022,2:31:16 PM,450
6/20/2022,2:31:17 PM,450.5
6/20/2022,2:31:18 PM,450.5
6/20/2022,2:31:19 PM,450
6/20/2022,2:31:20 PM,450
6/20/2022,2:31:21 PM,449.5
6/20/2022,2:31:22 PM,449.5
6/20/2022,2:31:23 PM,449.5
6/20/2022,2:31:24 PM,449.5
6/20/2022,2:31:25 PM,449
6/20/2022,2:31:26 PM,449
6/20/2022,2:31:27 PM,449
