Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R35852
Device ID:,,Box 3 newV
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/20/2022,2:25:12 PM,439
6/20/2022,2:25:13 PM,439.5
6/20/2022,2:25:14 PM,439.5
6/20/2022,2:25:15 PM,439.5
6/20/2022,2:25:16 PM,439.5
6/20/2022,2:25:17 PM,439.5
6/20/2022,2:25:18 PM,440
6/20/2022,2:25:19 PM,440.5
6/20/2022,2:25:20 PM,440
6/20/2022,2:25:21 PM,440
6/20/2022,2:25:22 PM,439.5
6/20/2022,2:25:23 PM,439.5
6/20/2022,2:25:24 PM,442
6/20/2022,2:25:25 PM,442
6/20/2022,2:25:26 PM,442
6/20/2022,2:25:27 PM,441.5
6/20/2022,2:25:28 PM,441
6/20/2022,2:25:29 PM,441.5
6/20/2022,2:25:30 PM,441.5
6/20/2022,2:25:31 PM,442.5
6/20/2022,2:25:32 PM,443
6/20/2022,2:25:33 PM,442.5
6/20/2022,2:25:34 PM,442.5
6/20/2022,2:25:35 PM,442
6/20/2022,2:25:36 PM,442
6/20/2022,2:25:37 PM,442
6/20/2022,2:25:38 PM,442
6/20/2022,2:25:39 PM,442
6/20/2022,2:25:40 PM,441.5
6/20/2022,2:25:41 PM,441
6/20/2022,2:25:42 PM,441.5
6/20/2022,2:25:43 PM,441.5
6/20/2022,2:25:44 PM,442
6/20/2022,2:25:45 PM,444.5
6/20/2022,2:25:46 PM,444.5
6/20/2022,2:25:47 PM,444.5
6/20/2022,2:25:48 PM,444.5
6/20/2022,2:25:49 PM,445
6/20/2022,2:25:50 PM,445.5
6/20/2022,2:25:51 PM,445.5
6/20/2022,2:25:52 PM,445
6/20/2022,2:25:53 PM,444
6/20/2022,2:25:54 PM,444
6/20/2022,2:25:56 PM,444
6/20/2022,2:25:57 PM,444
6/20/2022,2:25:58 PM,444.5
6/20/2022,2:25:59 PM,444.5
6/20/2022,2:26:00 PM,444.5
6/20/2022,2:26:01 PM,444.5
6/20/2022,2:26:02 PM,444.5
6/20/2022,2:26:03 PM,445
6/20/2022,2:26:04 PM,445.5
6/20/2022,2:26:05 PM,445.5
6/20/2022,2:26:06 PM,445
6/20/2022,2:26:07 PM,444.5
6/20/2022,2:26:08 PM,444.5
6/20/2022,2:26:09 PM,444.5
6/20/2022,2:26:10 PM,444.5
6/20/2022,2:26:11 PM,444.5
6/20/2022,2:26:12 PM,444
6/20/2022,2:26:13 PM,444
6/20/2022,2:26:14 PM,444
6/20/2022,2:26:15 PM,444
6/20/2022,2:26:16 PM,445
6/20/2022,2:26:17 PM,445.5
6/20/2022,2:26:18 PM,445.5
6/20/2022,2:26:19 PM,445
6/20/2022,2:26:20 PM,445
6/20/2022,2:26:21 PM,444.5
6/20/2022,2:26:22 PM,444.5
6/20/2022,2:26:23 PM,444.5
6/20/2022,2:26:24 PM,444.5
6/20/2022,2:26:25 PM,444
6/20/2022,2:26:26 PM,444
6/20/2022,2:26:27 PM,444
6/20/2022,2:26:28 PM,444
6/20/2022,2:26:29 PM,444.5
6/20/2022,2:26:30 PM,444.5
6/20/2022,2:26:31 PM,444.5
6/20/2022,2:26:32 PM,444.5
6/20/2022,2:26:33 PM,444.5
6/20/2022,2:26:34 PM,445
6/20/2022,2:26:35 PM,445.5
6/20/2022,2:26:36 PM,445.5
6/20/2022,2:26:37 PM,444.5
6/20/2022,2:26:38 PM,444
6/20/2022,2:26:39 PM,444
6/20/2022,2:26:40 PM,444
6/20/2022,2:26:41 PM,444
6/20/2022,2:26:42 PM,444.5
6/20/2022,2:26:43 PM,444.5
6/20/2022,2:26:44 PM,444.5
6/20/2022,2:26:45 PM,444.5
6/20/2022,2:26:46 PM,444.5
6/20/2022,2:26:47 PM,445
6/20/2022,2:26:48 PM,445.5
6/20/2022,2:26:49 PM,445.5
6/20/2022,2:26:50 PM,445
6/20/2022,2:26:51 PM,445
6/20/2022,2:26:52 PM,444.5
6/20/2022,2:26:53 PM,444.5
6/20/2022,2:26:54 PM,444.5
6/20/2022,2:26:55 PM,444.5
6/20/2022,2:26:56 PM,444
6/20/2022,2:26:57 PM,444
6/20/2022,2:26:58 PM,444
6/20/2022,2:26:59 PM,444.5
6/20/2022,2:27:00 PM,445
6/20/2022,2:27:01 PM,445.5
6/20/2022,2:27:02 PM,445.5
6/20/2022,2:27:03 PM,445
6/20/2022,2:27:04 PM,445
6/20/2022,2:27:05 PM,444.5
6/20/2022,2:27:06 PM,444.5
6/20/2022,2:27:07 PM,444.5
6/20/2022,2:27:08 PM,444.5
6/20/2022,2:27:09 PM,444
6/20/2022,2:27:10 PM,444
6/20/2022,2:27:11 PM,444
6/20/2022,2:27:12 PM,446.5
6/20/2022,2:27:13 PM,447
6/20/2022,2:27:14 PM,447
6/20/2022,2:27:15 PM,447
6/20/2022,2:27:16 PM,447
6/20/2022,2:27:17 PM,447
6/20/2022,2:27:18 PM,447.5
6/20/2022,2:27:19 PM,448
6/20/2022,2:27:20 PM,447.5
6/20/2022,2:27:21 PM,447.5
6/20/2022,2:27:22 PM,447
6/20/2022,2:27:24 PM,446
6/20/2022,2:27:25 PM,446.5
6/20/2022,2:27:26 PM,446.5
6/20/2022,2:27:27 PM,447
6/20/2022,2:27:28 PM,447
6/20/2022,2:27:29 PM,447
6/20/2022,2:27:30 PM,447
6/20/2022,2:27:31 PM,447
6/20/2022,2:27:32 PM,447.5
6/20/2022,2:27:33 PM,448
6/20/2022,2:27:34 PM,448
6/20/2022,2:27:35 PM,447.5
6/20/2022,2:27:36 PM,447
6/20/2022,2:27:37 PM,447
6/20/2022,2:27:38 PM,447
6/20/2022,2:27:39 PM,449.5
6/20/2022,2:27:40 PM,449.5
6/20/2022,2:27:41 PM,449
6/20/2022,2:27:42 PM,449
6/20/2022,2:27:43 PM,449
6/20/2022,2:27:44 PM,449
6/20/2022,2:27:45 PM,449.5
6/20/2022,2:27:46 PM,449.5
6/20/2022,2:27:47 PM,449.5
6/20/2022,2:27:48 PM,449.5
6/20/2022,2:27:49 PM,449.5
6/20/2022,2:27:50 PM,450
