"Plot Title: Injection_Baro_xn10_2022-06-20"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20028183, SEN S/N: 20028183)","Temp, °C (LGR S/N: 20028183, SEN S/N: 20028183)","Coupler Detached (LGR S/N: 20028183)","Coupler Attached (LGR S/N: 20028183)","Host Connected (LGR S/N: 20028183)","Stopped (LGR S/N: 20028183)","End Of File (LGR S/N: 20028183)"
1,06/20/22 12:15:00 PM,63.173,10.161,Logged,,,,
2,06/20/22 12:15:10 PM,63.179,10.357,,,,,
3,06/20/22 12:15:20 PM,63.158,10.455,,,,,
4,06/20/22 12:15:30 PM,63.173,10.553,,,,,
5,06/20/22 12:15:40 PM,63.161,10.553,,,,,
6,06/20/22 12:15:50 PM,63.164,10.651,,,,,
7,06/20/22 12:16:00 PM,63.164,10.651,,,,,
8,06/20/22 12:16:10 PM,63.176,10.651,,,,,
9,06/20/22 12:16:20 PM,63.167,10.748,,,,,
10,06/20/22 12:16:30 PM,63.176,10.651,,,,,
11,06/20/22 12:16:40 PM,63.176,10.651,,,,,
12,06/20/22 12:16:50 PM,63.176,10.651,,,,,
13,06/20/22 12:17:00 PM,63.176,10.651,,,,,
14,06/20/22 12:17:10 PM,63.176,10.651,,,,,
15,06/20/22 12:17:20 PM,63.188,10.651,,,,,
16,06/20/22 12:17:30 PM,63.185,10.553,,,,,
17,06/20/22 12:17:40 PM,63.185,10.553,,,,,
18,06/20/22 12:17:50 PM,63.194,10.455,,,,,
19,06/20/22 12:18:00 PM,63.182,10.455,,,,,
20,06/20/22 12:18:10 PM,63.182,10.455,,,,,
21,06/20/22 12:18:20 PM,63.191,10.357,,,,,
22,06/20/22 12:18:30 PM,63.188,10.259,,,,,
23,06/20/22 12:18:40 PM,63.199,10.259,,,,,
24,06/20/22 12:18:50 PM,63.196,10.161,,,,,
25,06/20/22 12:19:00 PM,63.208,10.161,,,,,
26,06/20/22 12:19:10 PM,63.193,10.063,,,,,
27,06/20/22 12:19:20 PM,63.205,10.063,,,,,
28,06/20/22 12:19:30 PM,63.214,9.965,,,,,
29,06/20/22 12:19:40 PM,63.202,9.965,,,,,
30,06/20/22 12:19:50 PM,63.199,9.866,,,,,
31,06/20/22 12:20:00 PM,63.211,9.866,,,,,
32,06/20/22 12:20:10 PM,63.199,9.866,,,,,
33,06/20/22 12:20:20 PM,63.208,9.768,,,,,
34,06/20/22 12:20:30 PM,63.208,9.768,,,,,
35,06/20/22 12:20:40 PM,63.196,9.768,,,,,
36,06/20/22 12:20:50 PM,63.205,9.669,,,,,
37,06/20/22 12:21:00 PM,63.193,9.669,,,,,
38,06/20/22 12:21:10 PM,63.205,9.669,,,,,
39,06/20/22 12:21:20 PM,63.205,9.669,,,,,
40,06/20/22 12:21:30 PM,63.202,9.571,,,,,
41,06/20/22 12:21:40 PM,63.202,9.571,,,,,
42,06/20/22 12:21:50 PM,63.202,9.571,,,,,
43,06/20/22 12:22:00 PM,63.202,9.571,,,,,
44,06/20/22 12:22:10 PM,63.199,9.472,,,,,
45,06/20/22 12:22:20 PM,63.199,9.472,,,,,
46,06/20/22 12:22:30 PM,63.199,9.472,,,,,
47,06/20/22 12:22:40 PM,63.199,9.472,,,,,
48,06/20/22 12:22:50 PM,63.211,9.472,,,,,
49,06/20/22 12:23:00 PM,63.199,9.472,,,,,
50,06/20/22 12:23:10 PM,63.199,9.472,,,,,
51,06/20/22 12:23:20 PM,63.199,9.472,,,,,
52,06/20/22 12:23:30 PM,63.196,9.373,,,,,
53,06/20/22 12:23:40 PM,63.196,9.373,,,,,
54,06/20/22 12:23:50 PM,63.196,9.373,,,,,
55,06/20/22 12:24:00 PM,63.196,9.373,,,,,
