"Plot Title: Injection_Conductivity_x25m_2022-07-01"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954781, SEN S/N: 20954781)","Temp, °C (LGR S/N: 20954781, SEN S/N: 20954781)","Coupler Detached (LGR S/N: 20954781)","Coupler Attached (LGR S/N: 20954781)","Host Connected (LGR S/N: 20954781)","Stopped (LGR S/N: 20954781)","End Of File (LGR S/N: 20954781)"
1,07/01/22 01:00:00 PM,81.2,8.36,Logged,,,,
2,07/01/22 01:00:01 PM,81.3,8.37,,,,,
3,07/01/22 01:00:02 PM,81.3,8.37,,,,,
4,07/01/22 01:00:03 PM,81.2,8.37,,,,,
5,07/01/22 01:00:04 PM,81.2,8.36,,,,,
6,07/01/22 01:00:05 PM,81.0,8.37,,,,,
7,07/01/22 01:00:06 PM,81.1,8.37,,,,,
8,07/01/22 01:00:07 PM,81.0,8.36,,,,,
9,07/01/22 01:00:08 PM,81.0,8.37,,,,,
10,07/01/22 01:00:09 PM,81.0,8.37,,,,,
11,07/01/22 01:00:10 PM,81.0,8.36,,,,,
12,07/01/22 01:00:11 PM,81.1,8.36,,,,,
13,07/01/22 01:00:12 PM,81.0,8.37,,,,,
14,07/01/22 01:00:13 PM,81.0,8.37,,,,,
15,07/01/22 01:00:14 PM,80.9,8.38,,,,,
16,07/01/22 01:00:15 PM,81.0,8.37,,,,,
17,07/01/22 01:00:16 PM,81.0,8.37,,,,,
18,07/01/22 01:00:17 PM,80.8,8.37,,,,,
19,07/01/22 01:00:18 PM,80.8,8.37,,,,,
20,07/01/22 01:00:19 PM,80.8,8.36,,,,,
21,07/01/22 01:00:20 PM,80.8,8.37,,,,,
22,07/01/22 01:00:21 PM,80.7,8.37,,,,,
23,07/01/22 01:00:22 PM,80.7,8.37,,,,,
24,07/01/22 01:00:23 PM,80.7,8.37,,,,,
25,07/01/22 01:00:24 PM,80.6,8.36,,,,,
26,07/01/22 01:00:25 PM,80.7,8.37,,,,,
27,07/01/22 01:00:26 PM,80.6,8.37,,,,,
28,07/01/22 01:00:27 PM,80.6,8.36,,,,,
29,07/01/22 01:00:28 PM,80.6,8.36,,,,,
30,07/01/22 01:00:29 PM,80.6,8.36,,,,,
31,07/01/22 01:00:30 PM,80.6,8.36,,,,,
32,07/01/22 01:00:31 PM,80.6,8.37,,,,,
33,07/01/22 01:00:32 PM,80.6,8.36,,,,,
34,07/01/22 01:00:33 PM,80.6,8.37,,,,,
35,07/01/22 01:00:34 PM,80.5,8.37,,,,,
36,07/01/22 01:00:35 PM,80.4,8.37,,,,,
37,07/01/22 01:00:36 PM,80.5,8.37,,,,,
38,07/01/22 01:00:37 PM,80.5,8.37,,,,,
39,07/01/22 01:00:38 PM,80.4,8.36,,,,,
40,07/01/22 01:00:39 PM,80.4,8.37,,,,,
41,07/01/22 01:00:40 PM,80.3,8.37,,,,,
42,07/01/22 01:00:41 PM,80.4,8.37,,,,,
43,07/01/22 01:00:42 PM,80.3,8.36,,,,,
44,07/01/22 01:00:43 PM,80.3,8.36,,,,,
45,07/01/22 01:00:44 PM,80.3,8.37,,,,,
46,07/01/22 01:00:45 PM,80.3,8.37,,,,,
47,07/01/22 01:00:46 PM,80.3,8.37,,,,,
48,07/01/22 01:00:47 PM,80.2,8.37,,,,,
49,07/01/22 01:00:48 PM,80.2,8.37,,,,,
50,07/01/22 01:00:49 PM,80.2,8.37,,,,,
51,07/01/22 01:00:50 PM,80.2,8.36,,,,,
52,07/01/22 01:00:51 PM,80.2,8.37,,,,,
53,07/01/22 01:00:52 PM,80.1,8.36,,,,,
54,07/01/22 01:00:53 PM,80.0,8.37,,,,,
55,07/01/22 01:00:54 PM,80.0,8.37,,,,,
56,07/01/22 01:00:55 PM,80.0,8.36,,,,,
57,07/01/22 01:00:56 PM,80.0,8.36,,,,,
58,07/01/22 01:00:57 PM,80.0,8.37,,,,,
59,07/01/22 01:00:58 PM,80.0,8.36,,,,,
60,07/01/22 01:00:59 PM,80.0,8.37,,,,,
