"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)"
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.3,8.34
7/1/2022 13:00,74.3,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.36
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.3,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.36
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.36
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.3,8.36
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.36
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.36
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.36
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.36
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.36
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.34
7/1/2022 13:00,74.2,8.35
7/1/2022 13:00,74.2,8.36
7/1/2022 13:00,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.34
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.34
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.34
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.34
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.34
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.34
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.34
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.34
7/1/2022 13:01,74.1,8.35
7/1/2022 13:01,74.2,8.37
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.1,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.34
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.36
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:01,74.2,8.35
7/1/2022 13:02,74.2,8.36
7/1/2022 13:02,74.1,8.36
7/1/2022 13:02,74.2,8.36
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.36
7/1/2022 13:02,74.2,8.36
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.1,8.35
7/1/2022 13:02,74.1,8.35
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.34
7/1/2022 13:02,74.2,8.34
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.1,8.34
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.34
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.1,8.35
7/1/2022 13:02,74.1,8.34
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.34
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.34
7/1/2022 13:02,74.1,8.35
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.2,8.35
7/1/2022 13:02,74.1,8.35
7/1/2022 13:02,74.2,8.35
