"Plot Title: Injection_Conductivity_x0m_2022-07-06"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)","Coupler Detached (LGR S/N: 20954780)","Coupler Attached (LGR S/N: 20954780)","Host Connected (LGR S/N: 20954780)","Stopped (LGR S/N: 20954780)","End Of File (LGR S/N: 20954780)"
1,07/06/22 11:18:05 AM,2.2,6.08,Logged,,,,
2,07/06/22 11:18:06 AM,2.0,6.11,,,,,
3,07/06/22 11:18:07 AM,3.4,6.11,,,,,
4,07/06/22 11:18:08 AM,3.4,6.12,,,,,
5,07/06/22 11:18:09 AM,1.9,6.12,,,,,
6,07/06/22 11:18:10 AM,2.0,6.14,,,,,
7,07/06/22 11:18:11 AM,3.3,6.14,,,,,
8,07/06/22 11:18:12 AM,1.9,6.17,,,,,
9,07/06/22 11:18:13 AM,2.0,6.17,,,,,
10,07/06/22 11:18:14 AM,3.4,6.19,,,,,
11,07/06/22 11:18:15 AM,2.0,6.20,,,,,
12,07/06/22 11:18:16 AM,2.0,6.19,,,,,
13,07/06/22 11:18:17 AM,3.4,6.19,,,,,
14,07/06/22 11:18:18 AM,2.0,6.18,,,,,
15,07/06/22 11:18:19 AM,1.9,6.11,,,,,
16,07/06/22 11:18:20 AM,2.2,6.07,,,,,
17,07/06/22 11:18:21 AM,2.0,6.05,,,,,
18,07/06/22 11:18:22 AM,2.0,6.03,,,,,
19,07/06/22 11:18:23 AM,3.7,6.03,,,,,
20,07/06/22 11:18:24 AM,3.4,6.02,,,,,
21,07/06/22 11:18:25 AM,3.4,6.05,,,,,
22,07/06/22 11:18:26 AM,2.0,6.05,,,,,
23,07/06/22 11:18:27 AM,3.4,6.11,,,,,
24,07/06/22 11:18:28 AM,3.4,6.19,,,,,
25,07/06/22 11:18:29 AM,2.0,6.19,,,,,
26,07/06/22 11:18:30 AM,3.4,6.15,,,,,
27,07/06/22 11:18:31 AM,3.4,6.19,,,,,
28,07/06/22 11:18:32 AM,2.0,6.25,,,,,
29,07/06/22 11:18:33 AM,3.4,6.31,,,,,
30,07/06/22 11:18:34 AM,2.0,6.36,,,,,
31,07/06/22 11:18:35 AM,3.4,6.40,,,,,
32,07/06/22 11:18:36 AM,3.4,6.36,,,,,
33,07/06/22 11:18:37 AM,3.7,6.28,,,,,
34,07/06/22 11:18:38 AM,2.0,6.29,,,,,
35,07/06/22 11:18:39 AM,3.4,6.37,,,,,
36,07/06/22 11:18:40 AM,3.4,6.31,,,,,
37,07/06/22 11:18:41 AM,2.0,6.29,,,,,
38,07/06/22 11:18:42 AM,2.0,6.34,,,,,
39,07/06/22 11:18:43 AM,3.4,6.41,,,,,
40,07/06/22 11:18:44 AM,3.4,6.46,,,,,
41,07/06/22 11:18:45 AM,3.4,6.48,,,,,
42,07/06/22 11:18:46 AM,3.4,6.48,,,,,
43,07/06/22 11:18:47 AM,3.4,6.48,,,,,
44,07/06/22 11:18:48 AM,2.0,6.49,,,,,
45,07/06/22 11:18:49 AM,2.0,6.47,,,,,
46,07/06/22 11:18:50 AM,3.4,6.45,,,,,
47,07/06/22 11:18:51 AM,3.4,6.42,,,,,
48,07/06/22 11:18:52 AM,2.0,6.40,,,,,
49,07/06/22 11:18:53 AM,3.4,6.39,,,,,
50,07/06/22 11:18:54 AM,2.0,6.37,,,,,
51,07/06/22 11:18:55 AM,3.4,6.35,,,,,
52,07/06/22 11:18:56 AM,3.4,6.31,,,,,
53,07/06/22 11:18:57 AM,3.4,6.29,,,,,
54,07/06/22 11:18:58 AM,2.0,6.24,,,,,
55,07/06/22 11:18:59 AM,2.0,6.19,,,,,
56,07/06/22 11:19:00 AM,3.4,6.18,,,,,
57,07/06/22 11:19:01 AM,3.4,6.19,,,,,
58,07/06/22 11:19:02 AM,3.4,6.20,,,,,
59,07/06/22 11:19:03 AM,2.0,6.22,,,,,
60,07/06/22 11:19:04 AM,3.4,6.20,,,,,
61,07/06/22 11:19:05 AM,8.4,6.20,,,,,
62,07/06/22 11:19:06 AM,6.5,6.22,,,,,
63,07/06/22 11:19:07 AM,6.3,6.20,,,,,
64,07/06/22 11:19:08 AM,6.0,6.22,,,,,
65,07/06/22 11:19:09 AM,5.7,6.22,,,,,
66,07/06/22 11:19:10 AM,5.8,6.23,,,,,
67,07/06/22 11:19:11 AM,5.8,6.22,,,,,
68,07/06/22 11:19:12 AM,5.9,6.23,,,,,
69,07/06/22 11:19:13 AM,5.7,6.23,,,,,
70,07/06/22 11:19:14 AM,5.7,6.23,,,,,
71,07/06/22 11:19:15 AM,5.6,6.23,,,,,
72,07/06/22 11:19:16 AM,5.7,6.22,,,,,
73,07/06/22 11:19:17 AM,5.6,6.23,,,,,
74,07/06/22 11:19:18 AM,5.6,6.23,,,,,
75,07/06/22 11:19:19 AM,5.6,6.23,,,,,
76,07/06/22 11:19:20 AM,5.6,6.24,,,,,
77,07/06/22 11:19:21 AM,5.6,6.22,,,,,
78,07/06/22 11:19:22 AM,5.6,6.23,,,,,
79,07/06/22 11:19:23 AM,5.6,6.24,,,,,
80,07/06/22 11:19:24 AM,5.6,6.24,,,,,
81,07/06/22 11:19:25 AM,5.6,6.24,,,,,
82,07/06/22 11:19:26 AM,5.6,6.24,,,,,
83,07/06/22 11:19:27 AM,5.6,6.24,,,,,
84,07/06/22 11:19:28 AM,5.6,6.22,,,,,
85,07/06/22 11:19:29 AM,5.6,6.23,,,,,
86,07/06/22 11:19:30 AM,5.6,6.24,,,,,
87,07/06/22 11:19:31 AM,5.6,6.23,,,,,
88,07/06/22 11:19:32 AM,5.6,6.24,,,,,
89,07/06/22 11:19:33 AM,5.6,6.24,,,,,
90,07/06/22 11:19:34 AM,5.6,6.23,,,,,
91,07/06/22 11:19:35 AM,5.6,6.23,,,,,
92,07/06/22 11:19:36 AM,5.6,6.23,,,,,
93,07/06/22 11:19:37 AM,5.6,6.23,,,,,
94,07/06/22 11:19:38 AM,5.6,6.24,,,,,
95,07/06/22 11:19:39 AM,5.6,6.23,,,,,
96,07/06/22 11:19:40 AM,5.6,6.23,,,,,
97,07/06/22 11:19:41 AM,5.6,6.24,,,,,
98,07/06/22 11:19:42 AM,5.6,6.23,,,,,
99,07/06/22 11:19:43 AM,5.6,6.24,,,,,
100,07/06/22 11:19:44 AM,5.6,6.24,,,,,
101,07/06/22 11:19:45 AM,5.6,6.25,,,,,
102,07/06/22 11:19:46 AM,5.6,6.24,,,,,
103,07/06/22 11:19:47 AM,5.6,6.24,,,,,
104,07/06/22 11:19:48 AM,5.6,6.25,,,,,
105,07/06/22 11:19:49 AM,5.6,6.25,,,,,
106,07/06/22 11:19:50 AM,5.6,6.25,,,,,
107,07/06/22 11:19:51 AM,5.6,6.25,,,,,
