"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)",Coupler Detached (LGR S/N: 20974616),Coupler Attached (LGR S/N: 20974616),Host Connected (LGR S/N: 20974616),Stopped (LGR S/N: 20974616),End Of File (LGR S/N: 20974616)
7/6/22 11:15,1.8,6.87,,,,,
7/6/22 11:15,3.4,6.88,,,,,
7/6/22 11:15,3.7,6.88,,,,,
7/6/22 11:15,1.8,6.88,,,,,
7/6/22 11:15,1.8,6.89,,,,,
7/6/22 11:15,3.7,6.93,,,,,
7/6/22 11:15,1.8,6.98,,,,,
7/6/22 11:15,1.8,6.96,,,,,
7/6/22 11:15,3.7,7,,,,,
7/6/22 11:15,1.8,7.02,Logged,,,,
7/6/22 11:15,1.9,7.04,,,,,
7/6/22 11:15,3.4,7,,,,,
7/6/22 11:15,1.9,6.99,,,,,
7/6/22 11:15,3.4,6.99,,,,,
7/6/22 11:15,3.4,7.01,,,,,
7/6/22 11:15,1.8,7.01,,,,,
7/6/22 11:15,1.8,7,,,,,
7/6/22 11:15,3.7,6.98,,,,,
7/6/22 11:15,1.8,6.98,,,,,
7/6/22 11:15,1.8,6.98,,,,,
7/6/22 11:15,3.4,6.95,,,,,
7/6/22 11:15,3.7,6.96,,,,,
7/6/22 11:15,1.8,6.99,,,,,
7/6/22 11:15,3.7,6.99,,,,,
7/6/22 11:15,3.7,6.98,,,,,
7/6/22 11:15,3.7,6.96,,,,,
7/6/22 11:15,1.8,6.99,,,,,
7/6/22 11:15,3.7,6.98,,,,,
7/6/22 11:15,1.9,6.99,,,,,
7/6/22 11:15,1.9,7,,,,,
7/6/22 11:15,3.7,6.99,,,,,
7/6/22 11:15,1.9,7,,,,,
7/6/22 11:15,3.7,7.01,,,,,
7/6/22 11:15,1.8,7.01,,,,,
7/6/22 11:15,3.7,7.01,,,,,
7/6/22 11:15,3.4,7.01,,,,,
7/6/22 11:15,1.8,7.01,,,,,
7/6/22 11:15,1.9,7.02,,,,,
7/6/22 11:15,1.8,7.01,,,,,
7/6/22 11:15,1.8,7.02,,,,,
7/6/22 11:15,3.7,7.02,,,,,
7/6/22 11:15,1.8,7.02,,,,,
7/6/22 11:15,1.8,7.02,,,,,
7/6/22 11:15,1.8,7.02,,,,,
7/6/22 11:15,1.8,7.01,,,,,
7/6/22 11:15,1.9,7.01,,,,,
7/6/22 11:15,3.7,7.01,,,,,
7/6/22 11:15,1.8,7,,,,,
7/6/22 11:15,3.4,7,,,,,
7/6/22 11:15,1.8,7,,,,,
7/6/22 11:15,1.8,7,,,,,
7/6/22 11:15,3.7,7,,,,,
7/6/22 11:16,3.4,7,,,,,
7/6/22 11:16,1.9,6.99,,,,,
7/6/22 11:16,1.8,7,,,,,
7/6/22 11:16,3.7,6.98,,,,,
7/6/22 11:16,1.8,6.98,,,,,
7/6/22 11:16,1.9,6.98,,,,,
7/6/22 11:16,3.4,6.96,,,,,
7/6/22 11:16,1.9,6.98,,,,,
7/6/22 11:16,3.4,6.95,,,,,
7/6/22 11:16,1.9,6.95,,,,,
7/6/22 11:16,3.7,6.96,,,,,
7/6/22 11:16,1.8,6.96,,,,,
7/6/22 11:16,1.9,6.98,,,,,
7/6/22 11:16,1.8,6.98,,,,,
7/6/22 11:16,1.8,6.98,,,,,
7/6/22 11:16,1.9,6.98,,,,,
7/6/22 11:16,3.4,6.96,,,,,
7/6/22 11:16,1.9,6.95,,,,,
7/6/22 11:16,1.8,6.93,,,,,
7/6/22 11:16,1.9,6.92,,,,,
7/6/22 11:16,1.9,6.92,,,,,
7/6/22 11:16,1.8,6.92,,,,,
7/6/22 11:16,1.9,6.88,,,,,
7/6/22 11:16,3.7,6.88,,,,,
7/6/22 11:16,1.9,6.88,,,,,
7/6/22 11:16,1.9,6.88,,,,,
7/6/22 11:16,1.9,6.87,,,,,
7/6/22 11:16,1.8,6.85,,,,,
7/6/22 11:16,1.8,6.87,,,,,
7/6/22 11:16,1.8,6.87,,,,,
7/6/22 11:16,1.9,6.87,,,,,
7/6/22 11:16,1.9,6.84,,,,,
7/6/22 11:16,3.7,6.84,,,,,
7/6/22 11:16,3.7,6.85,,,,,
7/6/22 11:16,1.9,6.84,,,,,
7/6/22 11:16,1.8,6.84,,,,,
7/6/22 11:16,3.7,6.83,,,,,
7/6/22 11:16,3.7,6.84,,,,,
7/6/22 11:16,1.8,6.84,,,,,
7/6/22 11:16,1.8,6.84,,,,,
7/6/22 11:16,1.8,6.84,,,,,
7/6/22 11:16,1.9,6.85,,,,,
7/6/22 11:16,3.7,6.85,,,,,
7/6/22 11:16,1.8,6.87,,,,,
7/6/22 11:16,1.9,6.87,,,,,
7/6/22 11:16,1.8,6.84,,,,,
7/6/22 11:16,1.8,6.83,,,,,
7/6/22 11:16,1.9,6.83,,,,,
7/6/22 11:16,1.8,6.82,,,,,
7/6/22 11:16,1.8,6.82,,,,,
7/6/22 11:16,1.9,6.83,,,,,
7/6/22 11:16,1.8,6.79,,,,,
7/6/22 11:16,3.4,6.78,,,,,
7/6/22 11:16,1.9,6.79,,,,,
7/6/22 11:16,1.8,6.81,,,,,
7/6/22 11:16,1.8,6.81,,,,,
7/6/22 11:16,3.7,6.82,,,,,
7/6/22 11:16,1.8,6.83,,,,,
7/6/22 11:16,1.9,6.84,,,,,
7/6/22 11:16,1.8,6.85,,,,,
7/6/22 11:17,3.4,6.85,,,,,
7/6/22 11:17,1.8,6.84,,,,,
7/6/22 11:17,1.8,6.84,,,,,
7/6/22 11:17,1.8,6.84,,,,,
7/6/22 11:17,1.9,6.84,,,,,
7/6/22 11:17,1.8,6.82,,,,,
7/6/22 11:17,1.8,6.77,,,,,
7/6/22 11:17,3.7,6.81,,,,,
7/6/22 11:17,1.9,6.78,,,,,
7/6/22 11:17,1.8,6.79,,,,,
7/6/22 11:17,3.7,6.81,,,,,
7/6/22 11:17,3.7,6.83,,,,,
7/6/22 11:17,3.7,6.82,,,,,
7/6/22 11:17,1.8,6.82,,,,,
7/6/22 11:17,1.8,6.81,,,,,
7/6/22 11:17,3.7,6.83,,,,,
7/6/22 11:17,3.7,6.84,,,,,
7/6/22 11:17,1.8,6.84,,,,,
7/6/22 11:17,3.4,6.85,,,,,
7/6/22 11:17,3.4,6.85,,,,,
7/6/22 11:17,1.9,6.85,,,,,
7/6/22 11:17,1.9,6.87,,,,,
7/6/22 11:17,1.8,6.82,,,,,
7/6/22 11:17,1.8,6.82,,,,,
7/6/22 11:17,3.4,6.84,,,,,
7/6/22 11:17,1.8,6.87,,,,,
7/6/22 11:17,3.7,6.89,,,,,
