"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)"
7/15/22 9:19,1.9,14.66
7/15/22 9:19,1.8,14.66
7/15/22 9:19,1.9,14.67
7/15/22 9:19,3.4,14.69
7/15/22 9:19,1.8,14.69
7/15/22 9:19,3.4,14.69
7/15/22 9:19,1.8,14.71
7/15/22 9:19,1.8,14.71
7/15/22 9:19,1.8,14.71
7/15/22 9:19,3.7,14.72
7/15/22 9:19,3.7,14.72
7/15/22 9:19,1.8,14.72
7/15/22 9:19,1.8,14.73
7/15/22 9:19,3.4,14.73
7/15/22 9:19,1.9,14.98
7/15/22 9:19,3.4,14.94
7/15/22 9:19,1.8,14.89
7/15/22 9:19,3.4,14.84
7/15/22 9:19,1.9,14.93
7/15/22 9:19,3.4,15
7/15/22 9:19,1.9,15
7/15/22 9:19,1.9,15.01
7/15/22 9:19,1.8,14.99
7/15/22 9:19,3.7,15.01
7/15/22 9:19,3.7,15.01
7/15/22 9:19,3.7,15.05
7/15/22 9:19,1.8,15.06
7/15/22 9:19,1.9,15.09
7/15/22 9:19,1.9,15.06
7/15/22 9:19,3.4,15.06
7/15/22 9:19,1.9,15.03
7/15/22 9:19,1.9,14.99
7/15/22 9:19,3.4,14.99
7/15/22 9:19,3.7,14.99
7/15/22 9:19,1.9,14.99
7/15/22 9:19,1.8,15
7/15/22 9:19,1.9,15
7/15/22 9:19,3.7,14.96
7/15/22 9:19,3.4,14.96
7/15/22 9:19,1.8,15.01
7/15/22 9:19,3.7,14.96
7/15/22 9:19,3.4,14.98
7/15/22 9:19,3.4,14.99
7/15/22 9:19,3.7,14.98
7/15/22 9:19,3.4,14.98
7/15/22 9:19,1.9,14.98
7/15/22 9:20,1.9,14.99
7/15/22 9:20,3.4,14.98
7/15/22 9:20,1.9,14.99
7/15/22 9:20,3.7,14.98
7/15/22 9:20,3.4,14.98
7/15/22 9:20,3.7,14.99
7/15/22 9:20,1.8,14.99
7/15/22 9:20,3.4,14.99
7/15/22 9:20,3.4,14.99
7/15/22 9:20,3.4,14.99
7/15/22 9:20,3.7,14.99
7/15/22 9:20,1.9,14.99
7/15/22 9:20,1.8,14.99
7/15/22 9:20,3.7,14.99
7/15/22 9:20,3.4,14.99
7/15/22 9:20,1.9,14.99
7/15/22 9:20,3.7,14.99
7/15/22 9:20,1.9,14.99
7/15/22 9:20,1.8,14.99
7/15/22 9:20,1.9,14.99
7/15/22 9:20,1.9,15
7/15/22 9:20,3.4,14.99
7/15/22 9:20,3.7,15
7/15/22 9:20,3.7,14.98
7/15/22 9:20,3.4,14.96
7/15/22 9:20,3.4,14.96
7/15/22 9:20,1.9,14.98
7/15/22 9:20,1.9,14.98
7/15/22 9:20,1.9,14.98
7/15/22 9:20,3.4,14.98
7/15/22 9:20,3.4,14.99
7/15/22 9:20,1.8,14.98
7/15/22 9:20,1.8,14.98
7/15/22 9:20,3.4,14.98
7/15/22 9:20,1.9,14.99
7/15/22 9:20,3.4,14.98
7/15/22 9:20,1.9,14.99
7/15/22 9:20,1.8,14.99
