"Plot Title: Baro_injection_2022-07-15"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20028183, SEN S/N: 20028183)","Temp, °C (LGR S/N: 20028183, SEN S/N: 20028183)","Host Connected (LGR S/N: 20028183)","Coupler Detached (LGR S/N: 20028183)","Coupler Attached (LGR S/N: 20028183)","Stopped (LGR S/N: 20028183)","End Of File (LGR S/N: 20028183)"
1,07/15/22 09:12:20 AM,63.276,14.709,,,,,
2,07/15/22 09:12:30 AM,63.276,14.709,,,,,
3,07/15/22 09:12:33 AM,,,Logged,,,,
4,07/15/22 09:12:37 AM,,,,Logged,,,
5,07/15/22 09:12:40 AM,63.267,14.804,,,,,
6,07/15/22 09:12:50 AM,63.282,14.900,,,,,
7,07/15/22 09:13:00 AM,63.285,14.996,,,,,
8,07/15/22 09:13:10 AM,63.276,15.091,,,,,
9,07/15/22 09:13:20 AM,63.276,15.091,,,,,
10,07/15/22 09:13:30 AM,63.279,15.187,,,,,
11,07/15/22 09:13:40 AM,63.279,15.187,,,,,
12,07/15/22 09:13:50 AM,63.282,15.282,,,,,
13,07/15/22 09:14:00 AM,63.282,15.282,,,,,
14,07/15/22 09:14:10 AM,63.282,15.282,,,,,
15,07/15/22 09:14:20 AM,63.285,15.378,,,,,
16,07/15/22 09:14:30 AM,63.285,15.378,,,,,
17,07/15/22 09:14:40 AM,63.285,15.378,,,,,
18,07/15/22 09:14:50 AM,63.297,15.378,,,,,
19,07/15/22 09:15:00 AM,63.297,15.378,,,,,
20,07/15/22 09:15:10 AM,63.285,15.378,,,,,
21,07/15/22 09:15:20 AM,63.297,15.378,,,,,
22,07/15/22 09:15:30 AM,63.300,15.473,,,,,
23,07/15/22 09:15:40 AM,63.288,15.473,,,,,
24,07/15/22 09:15:50 AM,63.288,15.473,,,,,
25,07/15/22 09:16:00 AM,63.288,15.473,,,,,
26,07/15/22 09:16:10 AM,63.300,15.473,,,,,
27,07/15/22 09:16:20 AM,63.288,15.473,,,,,
28,07/15/22 09:16:30 AM,63.288,15.473,,,,,
29,07/15/22 09:16:40 AM,63.288,15.473,,,,,
30,07/15/22 09:16:50 AM,63.300,15.473,,,,,
31,07/15/22 09:17:00 AM,63.288,15.473,,,,,
32,07/15/22 09:17:10 AM,63.285,15.378,,,,,
33,07/15/22 09:17:20 AM,63.285,15.378,,,,,
34,07/15/22 09:17:30 AM,63.297,15.378,,,,,
35,07/15/22 09:17:40 AM,63.297,15.378,,,,,
36,07/15/22 09:17:50 AM,63.297,15.378,,,,,
37,07/15/22 09:18:00 AM,63.297,15.378,,,,,
38,07/15/22 09:18:10 AM,63.297,15.378,,,,,
39,07/15/22 09:18:20 AM,63.297,15.378,,,,,
40,07/15/22 09:18:30 AM,63.297,15.378,,,,,
41,07/15/22 09:18:40 AM,63.297,15.378,,,,,
42,07/15/22 09:18:50 AM,63.309,15.378,,,,,
43,07/15/22 09:19:00 AM,63.309,15.378,,,,,
44,07/15/22 09:19:10 AM,63.309,15.378,,,,,
45,07/15/22 09:19:20 AM,63.297,15.378,,,,,
46,07/15/22 09:19:30 AM,63.309,15.378,,,,,
47,07/15/22 09:19:40 AM,63.297,15.378,,,,,
48,07/15/22 09:19:50 AM,63.297,15.378,,,,,
49,07/15/22 09:20:00 AM,63.297,15.378,,,,,
50,07/15/22 09:20:10 AM,63.309,15.378,,,,,
51,07/15/22 09:20:20 AM,63.309,15.378,,,,,
52,07/15/22 09:20:30 AM,63.297,15.378,,,,,
53,07/15/22 09:20:40 AM,63.297,15.378,,,,,
54,07/15/22 09:20:50 AM,63.297,15.378,,,,,
55,07/15/22 09:21:00 AM,63.309,15.378,,,,,
56,07/15/22 09:21:10 AM,63.309,15.378,,,,,
57,07/15/22 09:21:20 AM,63.306,15.282,,,,,
58,07/15/22 09:21:30 AM,63.306,15.282,,,,,
59,07/15/22 09:21:40 AM,63.294,15.282,,,,,
60,07/15/22 09:21:50 AM,63.306,15.282,,,,,
61,07/15/22 09:22:00 AM,63.294,15.282,,,,,
62,07/15/22 09:22:10 AM,63.306,15.282,,,,,
63,07/15/22 09:22:20 AM,63.294,15.282,,,,,
64,07/15/22 09:22:30 AM,63.294,15.282,,,,,
65,07/15/22 09:22:40 AM,63.294,15.282,,,,,
