"Plot Title: Injection_Conductivity_x15m_2022-07-21"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954781, SEN S/N: 20954781)","Temp, °C (LGR S/N: 20954781, SEN S/N: 20954781)","Coupler Detached (LGR S/N: 20954781)","Coupler Attached (LGR S/N: 20954781)","Host Connected (LGR S/N: 20954781)","End Of File (LGR S/N: 20954781)"
1,07/21/22 09:18:45 AM,3.5,9.57,Logged,,,
2,07/21/22 09:18:46 AM,2.3,9.61,,,,
3,07/21/22 09:18:47 AM,2.2,9.72,,,,
4,07/21/22 09:18:48 AM,2.2,9.70,,,,
5,07/21/22 09:18:49 AM,3.5,9.74,,,,
6,07/21/22 09:18:50 AM,2.0,9.82,,,,
7,07/21/22 09:18:51 AM,2.3,9.83,,,,
8,07/21/22 09:18:52 AM,2.2,9.84,,,,
9,07/21/22 09:18:53 AM,2.2,9.85,,,,
10,07/21/22 09:18:54 AM,2.2,9.82,,,,
11,07/21/22 09:18:55 AM,3.5,9.85,,,,
12,07/21/22 09:18:56 AM,2.2,9.88,,,,
13,07/21/22 09:18:57 AM,3.4,9.89,,,,
14,07/21/22 09:18:58 AM,2.2,9.91,,,,
15,07/21/22 09:18:59 AM,2.2,9.93,,,,
16,07/21/22 09:19:00 AM,2.3,9.93,,,,
17,07/21/22 09:19:01 AM,2.2,9.93,,,,
18,07/21/22 09:19:02 AM,3.5,9.90,,,,
19,07/21/22 09:19:03 AM,2.3,9.89,,,,
20,07/21/22 09:19:04 AM,3.4,9.86,,,,
21,07/21/22 09:19:05 AM,3.5,9.89,,,,
22,07/21/22 09:19:06 AM,2.2,9.86,,,,
23,07/21/22 09:19:07 AM,2.3,9.86,,,,
24,07/21/22 09:19:08 AM,3.4,9.89,,,,
25,07/21/22 09:19:09 AM,2.3,9.83,,,,
26,07/21/22 09:19:10 AM,3.5,9.82,,,,
27,07/21/22 09:19:11 AM,2.3,9.75,,,,
28,07/21/22 09:19:12 AM,2.3,9.77,,,,
29,07/21/22 09:19:13 AM,3.4,9.78,,,,
30,07/21/22 09:19:14 AM,3.5,9.74,,,,
31,07/21/22 09:19:15 AM,2.2,9.78,,,,
32,07/21/22 09:19:16 AM,3.5,9.79,,,,
33,07/21/22 09:19:17 AM,2.3,9.77,,,,
34,07/21/22 09:19:18 AM,2.2,9.79,,,,
35,07/21/22 09:19:19 AM,3.5,9.74,,,,
36,07/21/22 09:19:20 AM,3.4,9.72,,,,
37,07/21/22 09:19:21 AM,3.4,9.72,,,,
38,07/21/22 09:19:22 AM,3.5,9.68,,,,
39,07/21/22 09:19:23 AM,2.3,9.68,,,,
40,07/21/22 09:19:24 AM,3.5,9.67,,,,
41,07/21/22 09:19:25 AM,2.2,9.64,,,,
42,07/21/22 09:19:26 AM,2.2,9.65,,,,
43,07/21/22 09:19:27 AM,3.5,9.67,,,,
44,07/21/22 09:19:28 AM,3.5,9.63,,,,
45,07/21/22 09:19:29 AM,3.5,9.62,,,,
46,07/21/22 09:19:30 AM,2.2,9.61,,,,
47,07/21/22 09:19:31 AM,3.5,9.61,,,,
48,07/21/22 09:19:32 AM,2.2,9.58,,,,
49,07/21/22 09:19:33 AM,3.5,9.53,,,,
50,07/21/22 09:19:34 AM,9.1,9.68,,,,
51,07/21/22 09:19:35 AM,2.3,9.62,,,,
52,07/21/22 09:19:36 AM,3.4,9.65,,,,
53,07/21/22 09:19:37 AM,3.5,9.64,,,,
54,07/21/22 09:19:38 AM,3.4,9.64,,,,
55,07/21/22 09:19:39 AM,3.5,9.61,,,,
56,07/21/22 09:19:40 AM,3.4,9.61,,,,
57,07/21/22 09:19:41 AM,2.3,9.61,,,,
58,07/21/22 09:19:42 AM,2.2,9.59,,,,
59,07/21/22 09:19:43 AM,2.3,9.59,,,,
60,07/21/22 09:19:44 AM,2.2,9.59,,,,
61,07/21/22 09:19:45 AM,3.4,9.58,,,,
62,07/21/22 09:19:46 AM,2.3,9.59,,,,
63,07/21/22 09:19:47 AM,2.2,9.61,,,,
64,07/21/22 09:19:48 AM,3.5,9.62,,,,
65,07/21/22 09:19:49 AM,3.5,9.62,,,,
66,07/21/22 09:19:50 AM,3.4,9.59,,,,
67,07/21/22 09:19:51 AM,3.4,9.58,,,,
68,07/21/22 09:19:52 AM,3.4,9.57,,,,
69,07/21/22 09:19:53 AM,3.5,9.54,,,,
70,07/21/22 09:19:54 AM,3.4,9.53,,,,
71,07/21/22 09:19:55 AM,2.2,9.54,,,,
72,07/21/22 09:19:56 AM,3.5,9.74,,,,
73,07/21/22 09:19:57 AM,2.2,10.20,,,,
74,07/21/22 09:19:58 AM,3.5,9.99,,,,
75,07/21/22 09:19:59 AM,3.5,9.91,,,,
76,07/21/22 09:20:00 AM,2.2,9.86,,,,
77,07/21/22 09:20:01 AM,2.3,9.85,,,,
78,07/21/22 09:20:02 AM,3.5,9.82,,,,
79,07/21/22 09:20:03 AM,2.2,9.80,,,,
80,07/21/22 09:20:04 AM,2.2,9.78,,,,
