"Plot Title: Injection_Temp_xn10m_2022-07-21"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 11016513, SEN S/N: 11016513)","Temp, °C (LGR S/N: 11016513, SEN S/N: 11016513)","Coupler Detached (LGR S/N: 11016513)","End Of File (LGR S/N: 11016513)"
1,07/21/22 09:10:10 AM,62.844,9.077,Logged,
2,07/21/22 09:10:20 AM,62.854,9.077,,
3,07/21/22 09:10:30 AM,62.834,9.077,,
4,07/21/22 09:10:40 AM,62.824,9.077,,
5,07/21/22 09:10:50 AM,62.824,9.077,,
6,07/21/22 09:11:00 AM,62.813,9.077,,
7,07/21/22 09:11:10 AM,62.813,9.077,,
8,07/21/22 09:11:20 AM,62.811,8.978,,
9,07/21/22 09:11:30 AM,62.811,8.978,,
10,07/21/22 09:11:40 AM,62.801,8.978,,
11,07/21/22 09:11:50 AM,62.798,8.879,,
12,07/21/22 09:12:00 AM,62.798,8.879,,
13,07/21/22 09:12:10 AM,62.786,8.779,,
14,07/21/22 09:12:20 AM,62.796,8.779,,
15,07/21/22 09:12:30 AM,62.793,8.680,,
16,07/21/22 09:12:40 AM,62.783,8.680,,
17,07/21/22 09:12:50 AM,62.783,8.680,,
18,07/21/22 09:13:00 AM,62.791,8.581,,
19,07/21/22 09:13:10 AM,62.771,8.581,,
20,07/21/22 09:13:20 AM,62.771,8.581,,
21,07/21/22 09:13:30 AM,62.798,8.481,,
22,07/21/22 09:13:40 AM,62.798,8.481,,
23,07/21/22 09:13:50 AM,62.786,8.382,,
24,07/21/22 09:14:00 AM,62.776,8.382,,
25,07/21/22 09:14:10 AM,62.786,8.382,,
26,07/21/22 09:14:20 AM,62.783,8.282,,
27,07/21/22 09:14:30 AM,62.793,8.282,,
28,07/21/22 09:14:40 AM,62.793,8.282,,
29,07/21/22 09:14:50 AM,62.780,8.182,,
30,07/21/22 09:15:00 AM,62.780,8.182,,
31,07/21/22 09:15:10 AM,62.791,8.182,,
32,07/21/22 09:15:20 AM,62.788,8.082,,
33,07/21/22 09:15:30 AM,62.788,8.082,,
34,07/21/22 09:15:40 AM,62.798,8.082,,
35,07/21/22 09:15:50 AM,62.788,8.082,,
36,07/21/22 09:16:00 AM,62.788,8.082,,
37,07/21/22 09:16:10 AM,62.805,7.983,,
38,07/21/22 09:16:20 AM,62.795,7.983,,
39,07/21/22 09:16:30 AM,62.795,7.983,,
40,07/21/22 09:16:40 AM,62.805,7.983,,
41,07/21/22 09:16:50 AM,62.803,7.882,,
42,07/21/22 09:17:00 AM,62.793,7.882,,
43,07/21/22 09:17:10 AM,62.813,7.882,,
44,07/21/22 09:17:20 AM,62.803,7.882,,
45,07/21/22 09:17:30 AM,62.793,7.882,,
46,07/21/22 09:17:40 AM,62.790,7.782,,
47,07/21/22 09:17:50 AM,62.790,7.782,,
48,07/21/22 09:18:00 AM,62.790,7.782,,
49,07/21/22 09:18:10 AM,62.790,7.782,,
50,07/21/22 09:18:20 AM,62.788,7.682,,
51,07/21/22 09:18:30 AM,62.778,7.682,,
52,07/21/22 09:18:40 AM,62.788,7.682,,
53,07/21/22 09:18:50 AM,62.805,7.582,,
54,07/21/22 09:19:00 AM,62.785,7.582,,
55,07/21/22 09:19:10 AM,62.785,7.582,,
56,07/21/22 09:19:20 AM,62.793,7.481,,
57,07/21/22 09:19:30 AM,62.783,7.481,,
58,07/21/22 09:19:40 AM,62.803,7.481,,
59,07/21/22 09:19:50 AM,62.813,7.481,,
60,07/21/22 09:20:00 AM,62.815,7.582,,
61,07/21/22 09:20:10 AM,62.810,7.782,,
62,07/21/22 09:20:20 AM,62.803,7.882,,
63,07/21/22 09:20:30 AM,62.805,7.983,,
64,07/21/22 09:20:40 AM,62.828,8.082,,
65,07/21/22 09:20:50 AM,62.851,8.182,,
66,07/21/22 09:21:00 AM,62.838,8.082,,
67,07/21/22 09:21:10 AM,62.828,8.082,,
68,07/21/22 09:21:20 AM,62.836,7.983,,
69,07/21/22 09:21:30 AM,62.805,7.983,,
70,07/21/22 09:21:40 AM,62.833,7.882,,
71,07/21/22 09:21:50 AM,62.840,7.782,,
72,07/21/22 09:22:00 AM,62.850,7.782,,
73,07/21/22 09:22:10 AM,62.848,7.682,,
74,07/21/22 09:22:20 AM,62.835,7.582,,
75,07/21/22 09:22:30 AM,62.845,7.582,,
76,07/21/22 09:22:40 AM,62.853,7.481,,
77,07/21/22 09:22:50 AM,62.850,7.381,,
78,07/21/22 09:23:00 AM,62.840,7.381,,
79,07/21/22 09:23:10 AM,62.818,7.280,,
80,07/21/22 09:23:20 AM,62.805,7.179,,
81,07/21/22 09:23:30 AM,62.782,7.079,,
82,07/21/22 09:23:40 AM,62.790,6.978,,
83,07/21/22 09:23:50 AM,62.807,6.877,,
84,07/21/22 09:24:00 AM,62.817,6.877,,
85,07/21/22 09:24:10 AM,62.825,6.775,,
86,07/21/22 09:24:20 AM,62.812,6.674,,
87,07/21/22 09:24:30 AM,62.812,6.674,,
88,07/21/22 09:24:40 AM,63.000,6.573,,
89,07/21/22 09:24:50 AM,63.381,6.573,,
90,07/21/22 09:25:00 AM,63.356,6.370,,
91,07/21/22 09:25:10 AM,63.353,6.268,,
92,07/21/22 09:25:20 AM,63.361,6.166,,
93,07/21/22 09:25:30 AM,63.346,5.962,,
94,07/21/22 09:25:40 AM,63.346,5.962,,
95,07/21/22 09:25:50 AM,63.343,5.860,,
96,07/21/22 09:26:00 AM,63.350,5.757,,
97,07/21/22 09:26:10 AM,63.348,5.655,,
98,07/21/22 09:26:20 AM,63.345,5.552,,
99,07/21/22 09:26:30 AM,63.335,5.552,,
100,07/21/22 09:26:40 AM,63.332,5.450,,
101,07/21/22 09:26:50 AM,63.352,5.450,,
102,07/21/22 09:27:00 AM,63.350,5.347,,
103,07/21/22 09:27:10 AM,63.350,5.347,,
104,07/21/22 09:27:20 AM,63.330,5.347,,
105,07/21/22 09:27:30 AM,63.317,5.244,,
106,07/21/22 09:27:40 AM,63.317,5.244,,
107,07/21/22 09:27:50 AM,63.347,5.244,,
