"Plot Title: Injection_Conductivity_x0m_2022-07-26"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)","Coupler Detached (LGR S/N: 20954780)","Coupler Attached (LGR S/N: 20954780)","Host Connected (LGR S/N: 20954780)","End Of File (LGR S/N: 20954780)"
1,07/26/22 09:28:13 AM,2.0,10.27,,,,
2,07/26/22 09:28:14 AM,2.0,10.23,,,,
3,07/26/22 09:28:15 AM,2.0,10.22,,,,
4,07/26/22 09:28:16 AM,2.0,10.19,,,,
5,07/26/22 09:28:17 AM,2.0,10.21,,,,
6,07/26/22 09:28:18 AM,3.4,10.17,,,,
7,07/26/22 09:28:19 AM,2.0,10.16,,,,
8,07/26/22 09:28:20 AM,2.0,10.16,,,,
9,07/26/22 09:28:21 AM,3.4,10.15,,,,
10,07/26/22 09:28:22 AM,2.0,10.13,,,,
11,07/26/22 09:28:23 AM,2.0,10.12,,,,
12,07/26/22 09:28:24 AM,2.0,10.11,,,,
13,07/26/22 09:28:25 AM,2.0,10.06,Logged,,,
14,07/26/22 09:28:26 AM,2.0,10.06,,,,
15,07/26/22 09:28:27 AM,2.0,10.02,,,,
16,07/26/22 09:28:28 AM,3.4,9.96,,,,
17,07/26/22 09:28:29 AM,2.0,9.88,,,,
18,07/26/22 09:28:30 AM,2.0,9.81,,,,
19,07/26/22 09:28:31 AM,2.0,9.76,,,,
20,07/26/22 09:28:32 AM,2.0,9.76,,,,
21,07/26/22 09:28:33 AM,2.0,9.76,,,,
22,07/26/22 09:28:34 AM,3.4,9.77,,,,
23,07/26/22 09:28:35 AM,2.0,9.79,,,,
24,07/26/22 09:28:36 AM,3.4,9.79,,,,
25,07/26/22 09:28:37 AM,2.0,9.79,,,,
26,07/26/22 09:28:38 AM,2.0,9.79,,,,
27,07/26/22 09:28:39 AM,2.0,9.82,,,,
28,07/26/22 09:28:40 AM,1.9,9.82,,,,
29,07/26/22 09:28:41 AM,2.0,9.82,,,,
30,07/26/22 09:28:42 AM,2.2,9.82,,,,
31,07/26/22 09:28:43 AM,2.0,9.82,,,,
32,07/26/22 09:28:44 AM,2.0,9.82,,,,
33,07/26/22 09:28:45 AM,2.2,9.82,,,,
34,07/26/22 09:28:46 AM,2.0,9.82,,,,
35,07/26/22 09:28:47 AM,2.0,9.81,,,,
36,07/26/22 09:28:48 AM,2.0,9.77,,,,
37,07/26/22 09:28:49 AM,2.0,9.76,,,,
38,07/26/22 09:28:50 AM,2.0,9.74,,,,
39,07/26/22 09:28:51 AM,3.4,9.77,,,,
40,07/26/22 09:28:52 AM,2.0,9.76,,,,
41,07/26/22 09:28:53 AM,2.0,9.77,,,,
42,07/26/22 09:28:54 AM,2.0,9.73,,,,
43,07/26/22 09:28:55 AM,2.2,9.74,,,,
44,07/26/22 09:28:56 AM,2.2,9.73,,,,
45,07/26/22 09:28:57 AM,2.0,9.74,,,,
46,07/26/22 09:28:58 AM,2.0,9.72,,,,
47,07/26/22 09:28:59 AM,2.2,9.73,,,,
48,07/26/22 09:29:00 AM,2.0,9.72,,,,
49,07/26/22 09:29:01 AM,2.0,9.72,,,,
50,07/26/22 09:29:02 AM,3.4,9.71,,,,
51,07/26/22 09:29:03 AM,2.0,9.72,,,,
52,07/26/22 09:29:04 AM,3.4,9.71,,,,
53,07/26/22 09:29:05 AM,2.0,9.72,,,,
54,07/26/22 09:29:06 AM,2.0,9.72,,,,
55,07/26/22 09:29:07 AM,2.0,9.72,,,,
56,07/26/22 09:29:08 AM,3.4,9.71,,,,
57,07/26/22 09:29:09 AM,2.0,9.71,,,,
58,07/26/22 09:29:10 AM,2.0,9.71,,,,
59,07/26/22 09:29:11 AM,2.0,9.72,,,,
60,07/26/22 09:29:12 AM,2.0,9.71,,,,
61,07/26/22 09:29:13 AM,2.0,9.72,,,,
62,07/26/22 09:29:14 AM,2.0,9.73,,,,
63,07/26/22 09:29:15 AM,2.0,9.71,,,,
64,07/26/22 09:29:16 AM,2.0,9.71,,,,
65,07/26/22 09:29:17 AM,2.0,9.71,,,,
66,07/26/22 09:29:18 AM,2.0,9.72,,,,
67,07/26/22 09:29:19 AM,2.0,9.72,,,,
68,07/26/22 09:29:20 AM,3.4,9.70,,,,
69,07/26/22 09:29:21 AM,2.0,9.71,,,,
70,07/26/22 09:29:22 AM,2.0,9.70,,,,
71,07/26/22 09:29:23 AM,2.0,9.71,,,,
72,07/26/22 09:29:24 AM,2.0,9.70,,,,
73,07/26/22 09:29:25 AM,2.0,9.68,,,,
74,07/26/22 09:29:26 AM,1.9,9.68,,,,
75,07/26/22 09:29:27 AM,2.0,9.68,,,,
76,07/26/22 09:29:28 AM,3.4,9.67,,,,
77,07/26/22 09:29:29 AM,2.0,9.65,,,,
78,07/26/22 09:29:30 AM,2.0,9.66,,,,
79,07/26/22 09:29:31 AM,2.0,9.66,,,,
80,07/26/22 09:29:32 AM,2.0,9.66,,,,
81,07/26/22 09:29:33 AM,2.0,9.67,,,,
82,07/26/22 09:29:34 AM,2.0,9.66,,,,
83,07/26/22 09:29:35 AM,2.0,9.66,,,,
84,07/26/22 09:29:36 AM,2.0,9.67,,,,
85,07/26/22 09:29:37 AM,3.4,9.66,,,,
86,07/26/22 09:29:38 AM,2.0,9.67,,,,
87,07/26/22 09:29:39 AM,2.2,9.66,,,,
88,07/26/22 09:29:40 AM,2.0,9.66,,,,
89,07/26/22 09:29:41 AM,1.4,9.66,,,,
90,07/26/22 09:29:42 AM,2.0,9.66,,,,
91,07/26/22 09:29:43 AM,2.0,9.65,,,,
92,07/26/22 09:29:44 AM,2.0,9.66,,,,
93,07/26/22 09:29:45 AM,2.0,9.65,,,,
94,07/26/22 09:29:46 AM,2.0,9.66,,,,
95,07/26/22 09:29:47 AM,2.0,9.65,,,,
96,07/26/22 09:29:48 AM,3.4,9.65,,,,
97,07/26/22 09:29:49 AM,2.0,9.64,,,,
98,07/26/22 09:29:50 AM,3.4,9.65,,,,
99,07/26/22 09:29:51 AM,2.2,9.65,,,,
100,07/26/22 09:29:52 AM,2.0,9.62,,,,
101,07/26/22 09:29:53 AM,2.2,9.62,,,,
102,07/26/22 09:29:54 AM,3.4,9.62,,,,
103,07/26/22 09:29:55 AM,2.0,9.61,,,,
104,07/26/22 09:29:56 AM,2.0,9.62,,,,
105,07/26/22 09:29:57 AM,3.4,9.60,,,,
106,07/26/22 09:29:58 AM,3.4,9.60,,,,
107,07/26/22 09:29:59 AM,3.4,9.60,,,,
108,07/26/22 09:30:00 AM,3.4,9.60,,,,
109,07/26/22 09:30:01 AM,3.4,9.60,,,,
110,07/26/22 09:30:02 AM,2.0,9.58,,,,
111,07/26/22 09:30:03 AM,2.0,9.58,,,,
112,07/26/22 09:30:04 AM,3.4,9.55,,,,
113,07/26/22 09:30:05 AM,3.4,9.56,,,,
114,07/26/22 09:30:06 AM,2.0,9.55,,,,
115,07/26/22 09:30:07 AM,2.0,9.54,,,,
116,07/26/22 09:30:08 AM,2.0,9.54,,,,
117,07/26/22 09:30:09 AM,2.0,9.53,,,,
118,07/26/22 09:30:10 AM,3.4,9.53,,,,
119,07/26/22 09:30:11 AM,2.0,9.51,,,,
120,07/26/22 09:30:12 AM,2.0,9.50,,,,
121,07/26/22 09:30:13 AM,2.2,9.48,,,,
122,07/26/22 09:30:14 AM,2.0,9.48,,,,
123,07/26/22 09:30:15 AM,1.6,9.48,,,,
124,07/26/22 09:30:16 AM,3.4,9.45,,,,
125,07/26/22 09:30:17 AM,2.0,9.44,,,,
126,07/26/22 09:30:18 AM,2.0,9.44,,,,
127,07/26/22 09:30:19 AM,2.0,9.44,,,,
128,07/26/22 09:30:20 AM,3.4,9.44,,,,
129,07/26/22 09:30:21 AM,2.0,9.43,,,,
130,07/26/22 09:30:22 AM,3.4,9.43,,,,
131,07/26/22 09:30:23 AM,2.0,9.43,,,,
132,07/26/22 09:30:24 AM,3.4,9.42,,,,
133,07/26/22 09:30:25 AM,2.0,9.42,,,,
134,07/26/22 09:30:26 AM,2.0,9.41,,,,
135,07/26/22 09:30:27 AM,2.0,9.38,,,,
136,07/26/22 09:30:28 AM,2.0,9.36,,,,
137,07/26/22 09:30:29 AM,3.4,9.36,,,,
138,07/26/22 09:30:30 AM,2.0,9.36,,,,
