"Plot Title: Injection_Temp_xn10_2022-07-06"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 11016513, SEN S/N: 11016513)","Temp, °C (LGR S/N: 11016513, SEN S/N: 11016513)","Coupler Detached (LGR S/N: 11016513)","End Of File (LGR S/N: 11016513)"
1,07/06/22 09:27:40 AM,62.527,12.401,Logged,
2,07/06/22 09:27:50 AM,62.547,12.401,,
3,07/06/22 09:28:00 AM,62.547,12.401,,
4,07/06/22 09:28:10 AM,62.545,12.304,,
5,07/06/22 09:28:20 AM,62.515,12.304,,
6,07/06/22 09:28:30 AM,62.512,12.207,,
7,07/06/22 09:28:40 AM,62.532,12.207,,
8,07/06/22 09:28:50 AM,62.510,12.110,,
9,07/06/22 09:29:00 AM,62.510,12.110,,
10,07/06/22 09:29:10 AM,62.527,12.013,,
11,07/06/22 09:29:20 AM,62.527,12.013,,
12,07/06/22 09:29:30 AM,62.527,12.013,,
13,07/06/22 09:29:40 AM,62.535,11.916,,
14,07/06/22 09:29:50 AM,62.525,11.916,,
15,07/06/22 09:30:00 AM,62.535,11.916,,
16,07/06/22 09:30:10 AM,62.543,11.819,,
17,07/06/22 09:30:20 AM,62.543,11.819,,
18,07/06/22 09:30:30 AM,62.563,11.819,,
19,07/06/22 09:30:40 AM,62.553,11.819,,
20,07/06/22 09:30:50 AM,62.570,11.722,,
21,07/06/22 09:31:00 AM,62.570,11.722,,
22,07/06/22 09:31:10 AM,62.550,11.722,,
23,07/06/22 09:31:20 AM,62.530,11.722,,
24,07/06/22 09:31:30 AM,62.570,11.722,,
25,07/06/22 09:31:40 AM,62.538,11.625,,
26,07/06/22 09:31:50 AM,62.558,11.625,,
27,07/06/22 09:32:00 AM,62.558,11.625,,
28,07/06/22 09:32:10 AM,62.558,11.625,,
29,07/06/22 09:32:20 AM,62.538,11.625,,
30,07/06/22 09:32:30 AM,62.558,11.625,,
31,07/06/22 09:32:40 AM,62.558,11.625,,
32,07/06/22 09:32:50 AM,62.535,11.528,,
33,07/06/22 09:33:00 AM,62.565,11.528,,
34,07/06/22 09:33:10 AM,62.555,11.528,,
35,07/06/22 09:33:20 AM,62.565,11.528,,
36,07/06/22 09:33:30 AM,62.565,11.528,,
37,07/06/22 09:33:40 AM,62.555,11.528,,
38,07/06/22 09:33:50 AM,62.555,11.528,,
39,07/06/22 09:34:00 AM,62.565,11.528,,
40,07/06/22 09:34:10 AM,62.553,11.431,,
41,07/06/22 09:34:20 AM,62.573,11.431,,
42,07/06/22 09:34:30 AM,62.593,11.431,,
43,07/06/22 09:34:40 AM,62.573,11.431,,
44,07/06/22 09:34:50 AM,62.560,11.334,,
45,07/06/22 09:35:00 AM,62.560,11.334,,
46,07/06/22 09:35:10 AM,62.570,11.334,,
47,07/06/22 09:35:20 AM,62.548,11.236,,
48,07/06/22 09:35:30 AM,62.545,11.139,,
49,07/06/22 09:35:40 AM,62.555,11.139,,
50,07/06/22 09:35:50 AM,62.573,11.041,,
51,07/06/22 09:36:00 AM,62.553,11.041,,
52,07/06/22 09:36:10 AM,62.550,10.944,,
53,07/06/22 09:36:20 AM,62.560,10.944,,
54,07/06/22 09:36:30 AM,62.558,10.846,,
55,07/06/22 09:36:40 AM,62.555,10.748,,
56,07/06/22 09:36:50 AM,62.565,10.748,,
57,07/06/22 09:37:00 AM,62.563,10.651,,
58,07/06/22 09:37:10 AM,62.560,10.553,,
59,07/06/22 09:37:20 AM,62.570,10.553,,
60,07/06/22 09:37:30 AM,62.568,10.455,,
61,07/06/22 09:37:40 AM,62.575,10.357,,
62,07/06/22 09:37:50 AM,62.575,10.357,,
63,07/06/22 09:38:00 AM,62.563,10.259,,
64,07/06/22 09:38:10 AM,62.563,10.259,,
65,07/06/22 09:38:20 AM,62.560,10.161,,
66,07/06/22 09:38:30 AM,62.540,10.161,,
67,07/06/22 09:38:40 AM,62.568,10.063,,
68,07/06/22 09:38:50 AM,62.578,10.063,,
69,07/06/22 09:39:00 AM,62.568,10.063,,
70,07/06/22 09:39:10 AM,62.585,9.965,,
71,07/06/22 09:39:20 AM,62.565,9.965,,
72,07/06/22 09:39:30 AM,62.563,9.866,,
73,07/06/22 09:39:40 AM,62.533,9.866,,
74,07/06/22 09:39:50 AM,62.563,9.866,,
75,07/06/22 09:40:00 AM,62.560,9.768,,
76,07/06/22 09:40:10 AM,62.560,9.768,,
77,07/06/22 09:40:20 AM,62.560,9.768,,
78,07/06/22 09:40:30 AM,62.568,9.669,,
79,07/06/22 09:40:40 AM,62.568,9.669,,
80,07/06/22 09:40:50 AM,62.565,9.571,,
81,07/06/22 09:41:00 AM,62.563,9.472,,
82,07/06/22 09:41:10 AM,62.570,9.373,,
