Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R35852
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (ppm)
5/26/22,12:50:44 PM,5300.1
5/26/22,12:50:45 PM,5300.1
5/26/22,12:50:46 PM,5302.6
5/26/22,12:50:47 PM,5302.1
5/26/22,12:50:48 PM,5302.1
5/26/22,12:50:49 PM,5302.1
5/26/22,12:50:50 PM,5302.1
5/26/22,12:50:51 PM,5302.6
5/26/22,12:50:52 PM,5302.6
5/26/22,12:50:53 PM,5302.6
5/26/22,12:50:54 PM,5302.6
5/26/22,12:50:55 PM,5302.6
5/26/22,12:50:56 PM,5305.6
5/26/22,12:50:57 PM,5306.1
5/26/22,12:50:58 PM,5306.1
5/26/22,12:50:59 PM,5306.1
5/26/22,12:51:00 PM,5308.1
5/26/22,12:51:01 PM,5308.1
5/26/22,12:51:02 PM,5307.6
5/26/22,12:51:03 PM,5308.1
5/26/22,12:51:04 PM,5307.6
5/26/22,12:51:05 PM,5307.6
5/26/22,12:51:06 PM,5309.6
5/26/22,12:51:07 PM,5309.6
5/26/22,12:51:08 PM,5312.1
5/26/22,12:51:09 PM,5312.1
5/26/22,12:51:10 PM,5315.2
5/26/22,12:51:11 PM,5315.2
5/26/22,12:51:12 PM,5317.7
5/26/22,12:51:13 PM,5318.2
5/26/22,12:51:14 PM,5320.7
5/26/22,12:51:15 PM,5320.7
5/26/22,12:51:16 PM,5323.7
5/26/22,12:51:17 PM,5323.7
5/26/22,12:51:18 PM,5325.7
5/26/22,12:51:19 PM,5325.7
5/26/22,12:51:20 PM,5325.7
5/26/22,12:51:21 PM,5325.2
5/26/22,12:51:22 PM,5327.7
5/26/22,12:51:23 PM,5327.7
5/26/22,12:51:24 PM,5327.7
5/26/22,12:51:25 PM,5327.2
5/26/22,12:51:26 PM,5327.2
5/26/22,12:51:27 PM,5327.7
5/26/22,12:51:28 PM,5327.7
5/26/22,12:51:29 PM,5327.7
5/26/22,12:51:30 PM,5330.2
5/26/22,12:51:31 PM,5330.2
5/26/22,12:51:32 PM,5330.7
5/26/22,12:51:33 PM,5331.2
5/26/22,12:51:34 PM,5331.2
5/26/22,12:51:35 PM,5331.2
5/26/22,12:51:36 PM,5333.2
5/26/22,12:51:37 PM,5333.2
5/26/22,12:51:38 PM,5335.7
5/26/22,12:51:39 PM,5335.7
5/26/22,12:51:40 PM,5340.2
5/26/22,12:51:41 PM,5341.2
5/26/22,12:51:42 PM,5344.8
5/26/22,12:51:43 PM,5345.3
5/26/22,12:51:44 PM,5347.3
5/26/22,12:51:45 PM,5349.3
5/26/22,12:51:46 PM,5352.8
5/26/22,12:51:47 PM,5353.8
5/26/22,12:51:48 PM,5355.3
5/26/22,12:51:49 PM,5356.8
5/26/22,12:51:50 PM,5358.3
5/26/22,12:51:51 PM,5360.3
5/26/22,12:51:52 PM,5361.3
5/26/22,12:51:53 PM,5361.3
5/26/22,12:51:54 PM,5360.8
5/26/22,12:51:55 PM,5360.8
5/26/22,12:51:56 PM,5360.8
5/26/22,12:51:57 PM,5362.3
5/26/22,12:51:58 PM,5362.8
5/26/22,12:51:59 PM,5362.8
5/26/22,12:52:00 PM,5362.3
5/26/22,12:52:01 PM,5362.3
5/26/22,12:52:02 PM,5362.3
5/26/22,12:52:03 PM,5362.3
5/26/22,12:52:04 PM,5362.8
5/26/22,12:52:05 PM,5365.3
5/26/22,12:52:06 PM,5365.3
5/26/22,12:52:07 PM,5365.8
5/26/22,12:52:08 PM,5365.8
5/26/22,12:52:09 PM,5365.8
5/26/22,12:52:10 PM,5366.3
5/26/22,12:52:11 PM,5366.3
5/26/22,12:52:12 PM,5365.8
5/26/22,12:52:13 PM,5368.3
5/26/22,12:52:14 PM,5368.3
5/26/22,12:52:15 PM,5368.3
5/26/22,12:52:16 PM,5368.3
5/26/22,12:52:17 PM,5367.8
5/26/22,12:52:18 PM,5367.3
5/26/22,12:52:19 PM,5367.3
5/26/22,12:52:20 PM,5367.3
5/26/22,12:52:21 PM,5367.8
5/26/22,12:52:22 PM,5367.8
5/26/22,12:52:23 PM,5370.3
5/26/22,12:52:24 PM,5370.3
5/26/22,12:52:25 PM,5370.3
5/26/22,12:52:26 PM,5370.8
5/26/22,12:52:27 PM,5371.3
5/26/22,12:52:28 PM,5371.3
5/26/22,12:52:29 PM,5371.3
5/26/22,12:52:30 PM,5371.3
5/26/22,12:52:31 PM,5370.8
5/26/22,12:52:32 PM,5370.3
5/26/22,12:52:33 PM,5370.8
5/26/22,12:52:34 PM,5370.3
5/26/22,12:52:35 PM,5370.3
5/26/22,12:52:36 PM,5370.3
5/26/22,12:52:37 PM,5372.3
5/26/22,12:52:38 PM,5372.3
5/26/22,12:52:39 PM,5372.3
5/26/22,12:52:40 PM,5372.8
5/26/22,12:52:41 PM,5372.8
5/26/22,12:52:42 PM,5372.8
5/26/22,12:52:43 PM,5372.8
5/26/22,12:52:44 PM,5373.3
5/26/22,12:52:45 PM,5375.9
5/26/22,12:52:46 PM,5376.4
5/26/22,12:52:47 PM,5378.9
5/26/22,12:52:48 PM,5378.9
5/26/22,12:52:49 PM,5378.4
5/26/22,12:52:50 PM,5378.4
5/26/22,12:52:51 PM,5380.9
5/26/22,12:52:52 PM,5380.4
5/26/22,12:52:53 PM,5382.9
5/26/22,12:52:54 PM,5382.9
5/26/22,12:52:55 PM,5387.4
5/26/22,12:52:56 PM,5387.4
5/26/22,12:52:57 PM,5389.9
5/26/22,12:52:58 PM,5390.4
5/26/22,12:52:59 PM,5392.9
5/26/22,12:53:00 PM,5392.9
5/26/22,12:53:01 PM,5395.4
5/26/22,12:53:02 PM,5395.9
5/26/22,12:53:03 PM,5398.4
5/26/22,12:53:04 PM,5398.9
5/26/22,12:53:05 PM,5398.9
5/26/22,12:53:06 PM,5398.9
5/26/22,12:53:07 PM,5400.9
5/26/22,12:53:08 PM,5400.9
5/26/22,12:53:09 PM,5400.9
5/26/22,12:53:10 PM,5400.9
5/26/22,12:53:11 PM,5402.9
5/26/22,12:53:12 PM,5402.9
5/26/22,12:53:13 PM,5402.4
5/26/22,12:53:14 PM,5402.9
5/26/22,12:53:15 PM,5405.5
5/26/22,12:53:16 PM,5405.5
5/26/22,12:53:17 PM,5405.5
5/26/22,12:53:18 PM,5405.5
5/26/22,12:53:19 PM,5405.5
5/26/22,12:53:20 PM,5406
5/26/22,12:53:21 PM,5406
5/26/22,12:53:22 PM,5406.5
5/26/22,12:53:23 PM,5406.5
5/26/22,12:53:24 PM,5406.5
5/26/22,12:53:25 PM,5406
5/26/22,12:53:26 PM,5405.5
5/26/22,12:53:27 PM,5406
5/26/22,12:53:28 PM,5405.5
5/26/22,12:53:29 PM,5405.5
5/26/22,12:53:30 PM,5405.5
5/26/22,12:53:31 PM,5405
5/26/22,12:53:32 PM,5405
5/26/22,12:53:33 PM,5405
5/26/22,12:53:34 PM,5405.5
5/26/22,12:53:35 PM,5405.5
5/26/22,12:53:36 PM,5405.5
5/26/22,12:53:37 PM,5405.5
5/26/22,12:53:38 PM,5408.5
5/26/22,12:53:39 PM,5408.5
5/26/22,12:53:40 PM,5409
5/26/22,12:53:41 PM,5409
5/26/22,12:53:42 PM,5409
5/26/22,12:53:43 PM,5408.5
5/26/22,12:53:44 PM,5408.5
5/26/22,12:53:45 PM,5408.5
5/26/22,12:53:46 PM,5411
5/26/22,12:53:47 PM,5410.5
5/26/22,12:53:48 PM,5410.5
5/26/22,12:53:49 PM,5410
5/26/22,12:53:50 PM,5410
5/26/22,12:53:51 PM,5410.5
5/26/22,12:53:52 PM,5410.5
5/26/22,12:53:53 PM,5410.5
5/26/22,12:53:54 PM,5410.5
5/26/22,12:53:55 PM,5411
5/26/22,12:53:56 PM,5411
5/26/22,12:53:57 PM,5411
