Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,S02587
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (ppm)
5/26/22,1:18:59 PM,5715
5/26/22,1:19:00 PM,5720
5/26/22,1:19:01 PM,5725
5/26/22,1:19:02 PM,5725
5/26/22,1:19:03 PM,5730
5/26/22,1:19:04 PM,5730
5/26/22,1:19:05 PM,5735
5/26/22,1:19:06 PM,5740
5/26/22,1:19:07 PM,5740
5/26/22,1:19:08 PM,5740
5/26/22,1:19:09 PM,5750
5/26/22,1:19:10 PM,5750
5/26/22,1:19:11 PM,5755
5/26/22,1:19:12 PM,5755
5/26/22,1:19:13 PM,5760
5/26/22,1:19:14 PM,5765
5/26/22,1:19:15 PM,5765
5/26/22,1:19:16 PM,5770
5/26/22,1:19:17 PM,5775
5/26/22,1:19:18 PM,5780
5/26/22,1:19:19 PM,5785
5/26/22,1:19:20 PM,5785
5/26/22,1:19:21 PM,5790
5/26/22,1:19:22 PM,5795
5/26/22,1:19:23 PM,5800
5/26/22,1:19:24 PM,5805
5/26/22,1:19:25 PM,5805
5/26/22,1:19:26 PM,5810
5/26/22,1:19:27 PM,5815
5/26/22,1:19:28 PM,5815
5/26/22,1:19:29 PM,5820
5/26/22,1:19:30 PM,5825
5/26/22,1:19:31 PM,5830
5/26/22,1:19:32 PM,5830
5/26/22,1:19:33 PM,5841
5/26/22,1:19:34 PM,5841
5/26/22,1:19:35 PM,5851
5/26/22,1:19:36 PM,5851
5/26/22,1:19:37 PM,5856
5/26/22,1:19:39 PM,5861
5/26/22,1:19:40 PM,5866
5/26/22,1:19:41 PM,5871
5/26/22,1:19:42 PM,5876
5/26/22,1:19:43 PM,5881
5/26/22,1:19:44 PM,5886
5/26/22,1:19:45 PM,5891
5/26/22,1:19:46 PM,5901
5/26/22,1:19:47 PM,5901
5/26/22,1:19:48 PM,5906
5/26/22,1:19:49 PM,5911
5/26/22,1:19:50 PM,5921
5/26/22,1:19:51 PM,5921
5/26/22,1:19:52 PM,5926
5/26/22,1:19:53 PM,5931
5/26/22,1:19:54 PM,5941
5/26/22,1:19:55 PM,5946
5/26/22,1:19:56 PM,5951
