Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R35852
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (ppm)
5/26/22,12:39:35 PM,4695.1
5/26/22,12:39:36 PM,4698.1
5/26/22,12:39:37 PM,4697.6
5/26/22,12:39:38 PM,4699.6
5/26/22,12:39:39 PM,4699.6
5/26/22,12:39:40 PM,4702.1
5/26/22,12:39:41 PM,4702.1
5/26/22,12:39:42 PM,4705.1
5/26/22,12:39:43 PM,4705.1
5/26/22,12:39:44 PM,4707.6
5/26/22,12:39:45 PM,4707.6
5/26/22,12:39:46 PM,4712.7
5/26/22,12:39:47 PM,4713.2
5/26/22,12:39:48 PM,4718.7
5/26/22,12:39:49 PM,4718.7
5/26/22,12:39:50 PM,4726.2
5/26/22,12:39:51 PM,4725.7
5/26/22,12:39:52 PM,4730.2
5/26/22,12:39:53 PM,4730.7
5/26/22,12:39:54 PM,4732.7
5/26/22,12:39:55 PM,4733.2
5/26/22,12:39:56 PM,4735.2
5/26/22,12:39:57 PM,4735.2
5/26/22,12:39:58 PM,4737.2
5/26/22,12:39:59 PM,4738.7
5/26/22,12:40:00 PM,4742.8
5/26/22,12:40:01 PM,4743.8
5/26/22,12:40:02 PM,4745.3
5/26/22,12:40:03 PM,4746.8
5/26/22,12:40:04 PM,4748.3
5/26/22,12:40:05 PM,4749.8
5/26/22,12:40:06 PM,4751.3
5/26/22,12:40:07 PM,4753.3
5/26/22,12:40:08 PM,4753.3
5/26/22,12:40:09 PM,4755.3
5/26/22,12:40:10 PM,4755.3
5/26/22,12:40:11 PM,4761.8
5/26/22,12:40:12 PM,4762.8
5/26/22,12:40:13 PM,4765.3
5/26/22,12:40:14 PM,4765.3
5/26/22,12:40:15 PM,4769.3
5/26/22,12:40:16 PM,4769.8
5/26/22,12:40:17 PM,4774.4
5/26/22,12:40:18 PM,4775.4
5/26/22,12:40:19 PM,4777.9
5/26/22,12:40:20 PM,4777.9
5/26/22,12:40:21 PM,4777.9
5/26/22,12:40:22 PM,4777.9
5/26/22,12:40:23 PM,4780.9
5/26/22,12:40:24 PM,4781.4
5/26/22,12:40:25 PM,4781.4
5/26/22,12:40:26 PM,4781.4
5/26/22,12:40:27 PM,4783.4
5/26/22,12:40:28 PM,4783.4
5/26/22,12:40:29 PM,4787.9
5/26/22,12:40:30 PM,4787.9
5/26/22,12:40:31 PM,4795.4
5/26/22,12:40:32 PM,4795.4
5/26/22,12:40:33 PM,4802.5
5/26/22,12:40:34 PM,4802.5
5/26/22,12:40:35 PM,4805
5/26/22,12:40:36 PM,4805
5/26/22,12:40:37 PM,4810.5
5/26/22,12:40:38 PM,4810.5
5/26/22,12:40:39 PM,4811
5/26/22,12:40:40 PM,4811
5/26/22,12:40:41 PM,4813.5
5/26/22,12:40:42 PM,4814
5/26/22,12:40:43 PM,4816.5
5/26/22,12:40:44 PM,4816.5
5/26/22,12:40:45 PM,4816
5/26/22,12:40:46 PM,4816
5/26/22,12:40:47 PM,4818
5/26/22,12:40:48 PM,4818
5/26/22,12:40:49 PM,4823
5/26/22,12:40:50 PM,4823
5/26/22,12:40:51 PM,4825.5
5/26/22,12:40:52 PM,4825
5/26/22,12:40:53 PM,4827.5
5/26/22,12:40:54 PM,4827.5
5/26/22,12:40:55 PM,4830.5
5/26/22,12:40:56 PM,4830.5
5/26/22,12:40:57 PM,4833.6
5/26/22,12:40:58 PM,4833.6
5/26/22,12:40:59 PM,4835.6
5/26/22,12:41:00 PM,4836.1
5/26/22,12:41:01 PM,4839.1
5/26/22,12:41:02 PM,4839.1
5/26/22,12:41:03 PM,4844.1
5/26/22,12:41:04 PM,4843.6
5/26/22,12:41:05 PM,4846.1
5/26/22,12:41:06 PM,4846.1
5/26/22,12:41:07 PM,4850.6
5/26/22,12:41:08 PM,4850.6
5/26/22,12:41:09 PM,4853.1
5/26/22,12:41:10 PM,4852.6
5/26/22,12:41:11 PM,4855.1
5/26/22,12:41:12 PM,4855.1
5/26/22,12:41:13 PM,4858.1
5/26/22,12:41:14 PM,4858.1
5/26/22,12:41:15 PM,4860.6
5/26/22,12:41:16 PM,4860.6
5/26/22,12:41:17 PM,4865.7
5/26/22,12:41:18 PM,4866.2
5/26/22,12:41:19 PM,4871.7
5/26/22,12:41:20 PM,4871.7
5/26/22,12:41:21 PM,4876.7
5/26/22,12:41:22 PM,4876.7
5/26/22,12:41:23 PM,4878.7
5/26/22,12:41:24 PM,4878.7
5/26/22,12:41:25 PM,4883.2
5/26/22,12:41:26 PM,4884.2
5/26/22,12:41:27 PM,4888.2
5/26/22,12:41:28 PM,4888.7
5/26/22,12:41:29 PM,4892.8
5/26/22,12:41:30 PM,4893.3
5/26/22,12:41:31 PM,4895.8
5/26/22,12:41:32 PM,4896.8
5/26/22,12:41:33 PM,4898.3
5/26/22,12:41:34 PM,4899.8
5/26/22,12:41:35 PM,4900.8
5/26/22,12:41:36 PM,4904.3
5/26/22,12:41:37 PM,4906.3
5/26/22,12:41:38 PM,4908.3
5/26/22,12:41:39 PM,4909.3
5/26/22,12:41:40 PM,4912.8
5/26/22,12:41:41 PM,4913.8
5/26/22,12:41:42 PM,4917.8
5/26/22,12:41:43 PM,4918.8
5/26/22,12:41:44 PM,4920.8
5/26/22,12:41:45 PM,4921.3
5/26/22,12:41:46 PM,4925.4
5/26/22,12:41:47 PM,4925.4
5/26/22,12:41:48 PM,4929.9
5/26/22,12:41:49 PM,4930.9
5/26/22,12:41:50 PM,4935.4
5/26/22,12:41:51 PM,4935.9
5/26/22,12:41:52 PM,4940.9
5/26/22,12:41:53 PM,4941.4
5/26/22,12:41:54 PM,4945.9
5/26/22,12:41:55 PM,4946.4
5/26/22,12:41:56 PM,4948.9
5/26/22,12:41:57 PM,4949.9
5/26/22,12:41:58 PM,4954.5
5/26/22,12:41:59 PM,4954
5/26/22,12:42:00 PM,4956.5
5/26/22,12:42:01 PM,4956.5
5/26/22,12:42:02 PM,4961.5
5/26/22,12:42:03 PM,4961.5
5/26/22,12:42:04 PM,4963.5
5/26/22,12:42:05 PM,4963.5
5/26/22,12:42:06 PM,4965.5
5/26/22,12:42:07 PM,4965.5
5/26/22,12:42:08 PM,4970.5
5/26/22,12:42:09 PM,4971
5/26/22,12:42:10 PM,4973.5
5/26/22,12:42:11 PM,4974
5/26/22,12:42:12 PM,4976.5
5/26/22,12:42:13 PM,4976.5
5/26/22,12:42:14 PM,4977
5/26/22,12:42:15 PM,4977
5/26/22,12:42:16 PM,4979.5
5/26/22,12:42:17 PM,4979.5
5/26/22,12:42:18 PM,4979
5/26/22,12:42:19 PM,4979
5/26/22,12:42:20 PM,4981.5
5/26/22,12:42:21 PM,4981.5
5/26/22,12:42:22 PM,4981.5
5/26/22,12:42:23 PM,4981
5/26/22,12:42:24 PM,4983.1
5/26/22,12:42:25 PM,4983.1
5/26/22,12:42:26 PM,4986.1
5/26/22,12:42:27 PM,4986.1
5/26/22,12:42:28 PM,4989.1
5/26/22,12:42:29 PM,4988.6
5/26/22,12:42:30 PM,4991.6
5/26/22,12:42:31 PM,4991.6
5/26/22,12:42:32 PM,4994.1
5/26/22,12:42:33 PM,4994.6
5/26/22,12:42:34 PM,4997.6
5/26/22,12:42:35 PM,4997.1
5/26/22,12:42:36 PM,4999.6
5/26/22,12:42:37 PM,4999.1
5/26/22,12:42:38 PM,5004.1
5/26/22,12:42:39 PM,5004.1
5/26/22,12:42:40 PM,5009.1
5/26/22,12:42:41 PM,5008.6
5/26/22,12:42:42 PM,5011.1
5/26/22,12:42:43 PM,5010.6
5/26/22,12:42:44 PM,5015.7
5/26/22,12:42:45 PM,5016.2
5/26/22,12:42:46 PM,5021.7
5/26/22,12:42:47 PM,5021.7
5/26/22,12:42:48 PM,5024.2
