"","Site","Date","mean","sd","n"
"1","1",2022-07-07,NA,NA,3
"2","1",2022-07-14,349.453933333333,24.9642845145486,3
"3","1",2022-07-25,408.491533333333,46.2100593150813,3
"4","2",2022-07-07,NA,NA,3
"5","2",2022-07-14,306.711833333333,41.2591101553746,3
"6","2",2022-07-25,304.502833333333,22.8911673053895,3
"7","3",2022-07-07,NA,NA,3
"8","3",2022-07-14,382.089133333333,33.9289315741497,3
"9","3",2022-07-25,520.8345,28.7944000005209,3
"10","4",2022-06-29,588.9661,NA,1
"11","4",2022-07-15,637.384166666667,38.2869287311392,3
"12","4",2022-07-22,460.265533333333,55.8025206206972,3
"13","5",2022-06-28,702.4493,46.9529245009296,3
"14","5",2022-07-19,459.2203,NA,1
"15","5",2022-07-27,726.757066666667,104.442211766236,3
"16","6",2022-06-30,442.4407,NA,1
"17","6",2022-07-11,430.7458,NA,1
"18","6",2022-07-19,407.3559,23.856971675592,3
"19","7",2022-06-30,587.3051,289.921537344658,3
"20","7",2022-07-11,245.000033333333,22.20001207327,3
"21","7",2022-07-19,465.152533333333,22.531393863304,3
"22","8",2022-07-05,6760.87566666667,3094.36844940714,3
"23","8",2022-07-08,8126.79633333333,2145.70906721073,3
"24","8",2022-07-18,4860.277,486.869087057291,3
"25","9",2022-07-05,4119.288,NA,1
"26","9",2022-07-08,2890.763,NA,1
"27","9",2022-07-18,3202.695,NA,1
"28","10",2022-07-05,1948.22033333333,740.697270139653,3
"29","10",2022-07-08,1860.98866666667,427.338384611461,3
"30","10",2022-07-18,2323.68366666667,657.50595514895,3
"31","11",2022-07-11,271.0169,NA,1
"32","11",2022-07-19,453.6271,NA,1
"33","11",2022-07-22,456.5085,NA,1
"34","12",2022-07-06,1133.38433333333,20.4727246436163,3
"35","12",2022-07-22,1312.07343333333,420.083439928502,3
"36","12",2022-07-27,1424.904,29.9125739280323,3
