"DateTime","AirPress_kpa","AirTemp_C","Stn01_WL_m","Stn01_WLTemp_C","Stn01_EC_uS","Stn01_ECTemp_C","Stn01_DO_mg.L","Stn01_DOTemp_C","Stn02_DO_mg.L","Stn02_DOTemp_C","Stn03_WL_m","Stn03_WLTemp_C","Stn04_DO_mg.L","Stn04_DOTemp_C","Stn01_CO2_ppm","Stn02_CO2_ppm","Stn03_CO2_ppm","Stn04_CO2_ppm"
2019-07-12 12:00:00,62.4589,14.445,-0.0052,8.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-12 12:15:00,62.4537,9.196,-0.0053,8.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-12 12:30:00,62.4312,7.776,-0.0036,9.033,NA,NA,NA,NA,NA,NA,0.183773938,11.169,NA,NA,NA,NA,NA,NA
2019-07-12 12:45:00,62.4272,7.179,0.1678,11.336,NA,NA,NA,NA,NA,NA,0.189963639,11.537,NA,NA,4061.45004586509,4099.54995248671,4682.47852379756,NA
2019-07-12 13:00:00,62.4094,6.879,0.1674,12.025,NA,NA,NA,NA,NA,NA,0.195296774,11.942,NA,NA,3958.24779828646,3904.86102644059,3481.58019251978,796.988236841878
2019-07-12 13:15:00,62.4052,6.719,0.1691,12.121,NA,NA,NA,NA,NA,NA,0.191758346,12.033,NA,NA,7045.99151280361,6794.07632328842,4240.57235683901,736.661084491385
2019-07-12 13:30:00,62.3852,6.626,0.1699,12.122,NA,NA,NA,NA,NA,NA,0.195388549,12.125,NA,NA,6756.42721508133,6557.93330819759,5485.30277292196,751.986531848035
2019-07-12 13:45:00,62.3634,6.582,0.171,12.436,NA,NA,NA,NA,NA,NA,0.197183256,12.197,NA,NA,6460.74481833041,6300.37172000306,5349.58835134806,798.047084533721
2019-07-12 14:00:00,62.3492,6.558,0.1699,12.687,NA,NA,NA,NA,NA,NA,0.200793065,12.486,NA,NA,6205.30445242469,5998.97043738102,5139.24537469902,798.589058224607
2019-07-12 14:15:00,62.3541,6.539,0.1697,12.729,NA,NA,NA,NA,NA,NA,0.204035775,12.7,NA,NA,6015.28596883389,5770.70000822056,4956.68735805435,798.72602762788
2019-07-12 14:30:00,62.3493,6.527,0.1699,12.804,NA,NA,NA,NA,NA,NA,0.203423943,12.713,NA,NA,6085.38707222869,5917.19798229273,4820.1464183922,783.608259928946
