"Plot Title: DO_01"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20645539, SEN S/N: 20645539)","Temp, °F (LGR S/N: 20645539, SEN S/N: 20645539)","Expired Sensor Cap (LGR S/N: 20645539)","Coupler Attached (LGR S/N: 20645539)","Host Connected (LGR S/N: 20645539)","Stopped (LGR S/N: 20645539)","End Of File (LGR S/N: 20645539)"
1,08/14/19 12:30:00 PM,7.54,41.90,,,,,
2,08/14/19 12:45:00 PM,6.91,39.63,,,,,
3,08/14/19 01:00:00 PM,6.93,36.93,,,,,
4,08/14/19 01:15:00 PM,7.01,36.75,,,,,
5,08/14/19 01:30:00 PM,7.06,36.75,,,,,
6,08/14/19 01:45:00 PM,7.11,36.79,,,,,
7,08/14/19 02:00:00 PM,7.15,37.00,,,,,
8,08/14/19 02:15:00 PM,7.21,37.08,,,,,
9,08/14/19 02:30:00 PM,7.25,37.26,,,,,
10,08/14/19 02:45:00 PM,7.26,37.33,,,,,
11,08/14/19 03:00:00 PM,7.28,37.26,,,,,
12,08/14/19 03:15:00 PM,7.28,37.15,,,,,
13,08/14/19 03:30:00 PM,7.28,37.08,,,,,
14,08/14/19 03:45:00 PM,7.27,37.04,,,,,
15,08/14/19 04:00:00 PM,7.31,36.97,,,,,
16,08/14/19 04:15:00 PM,7.35,37.11,,,,,
17,08/14/19 04:30:00 PM,7.38,37.29,,,,,
18,08/14/19 04:45:00 PM,7.37,37.29,,,,,
19,08/14/19 05:00:00 PM,7.35,37.18,,,,,
20,08/14/19 05:15:00 PM,7.34,37.00,,,,,
21,08/14/19 05:30:00 PM,7.32,36.90,,,,,
22,08/14/19 05:45:00 PM,7.33,36.79,,,,,
23,08/14/19 06:00:00 PM,7.29,36.64,,,,,
24,08/14/19 06:15:00 PM,7.23,36.50,,,,,
25,08/14/19 06:30:00 PM,7.16,36.43,,,,,
26,08/14/19 06:45:00 PM,7.11,36.36,,,,,
27,08/14/19 07:00:00 PM,7.06,36.25,,,,,
28,08/14/19 07:15:00 PM,7.02,36.10,,,,,
29,08/14/19 07:30:00 PM,6.99,35.96,,,,,
30,08/14/19 07:45:00 PM,6.95,35.85,,,,,
31,08/14/19 08:00:00 PM,6.91,35.74,,,,,
32,08/14/19 08:15:00 PM,6.89,35.56,,,,,
33,08/14/19 08:30:00 PM,6.87,35.42,,,,,
34,08/14/19 08:45:00 PM,6.84,35.24,,,,,
35,08/14/19 09:00:00 PM,6.83,35.10,,,,,
36,08/14/19 09:15:00 PM,6.82,35.06,,,,,
37,08/14/19 09:30:00 PM,6.80,35.06,,,,,
38,08/14/19 09:45:00 PM,6.79,35.06,,,,,
39,08/14/19 10:00:00 PM,6.76,35.10,,,,,
40,08/14/19 10:15:00 PM,6.74,35.10,,,,,
41,08/14/19 10:30:00 PM,6.73,35.02,,,,,
42,08/14/19 10:45:00 PM,6.72,34.77,,,,,
43,08/14/19 11:00:00 PM,6.72,34.52,,,,,
44,08/14/19 11:15:00 PM,6.71,34.27,,,,,
45,08/14/19 11:30:00 PM,6.75,33.98,,,,,
46,08/14/19 11:45:00 PM,6.73,33.94,,,,,
47,08/15/19 12:00:00 AM,6.73,34.02,,,,,
48,08/15/19 12:15:00 AM,6.72,34.12,,,,,
49,08/15/19 12:30:00 AM,6.68,34.23,,,,,
50,08/15/19 12:45:00 AM,6.65,34.34,,,,,
51,08/15/19 01:00:00 AM,6.63,34.38,,,,,
52,08/15/19 01:15:00 AM,6.61,34.45,,,,,
53,08/15/19 01:30:00 AM,6.58,34.48,,,,,
54,08/15/19 01:45:00 AM,6.55,34.48,,,,,
55,08/15/19 02:00:00 AM,6.55,34.52,,,,,
56,08/15/19 02:15:00 AM,6.53,34.52,,,,,
57,08/15/19 02:30:00 AM,6.51,34.52,,,,,
58,08/15/19 02:45:00 AM,6.49,34.52,,,,,
59,08/15/19 03:00:00 AM,6.47,34.45,,,,,
60,08/15/19 03:15:00 AM,6.48,34.12,,,,,
61,08/15/19 03:30:00 AM,6.49,33.73,,,,,
62,08/15/19 03:45:00 AM,6.52,33.48,,,,,
63,08/15/19 04:00:00 AM,6.54,33.15,,,,,
64,08/15/19 04:15:00 AM,6.58,32.97,,,,,
65,08/15/19 04:30:00 AM,6.58,32.90,,,,,
66,08/15/19 04:45:00 AM,6.58,32.83,,,,,
67,08/15/19 05:00:00 AM,6.58,32.76,,,,,
68,08/15/19 05:15:00 AM,6.57,32.61,,,,,
69,08/15/19 05:30:00 AM,6.53,32.54,,,,,
70,08/15/19 05:45:00 AM,6.47,32.54,,,,,
71,08/15/19 06:00:00 AM,6.40,32.43,,,,,
72,08/15/19 06:15:00 AM,6.36,32.47,,,,,
73,08/15/19 06:30:00 AM,6.30,32.58,,,,,
74,08/15/19 06:45:00 AM,6.26,32.65,,,,,
75,08/15/19 07:00:00 AM,6.21,32.72,,,,,
76,08/15/19 07:15:00 AM,6.18,32.76,,,,,
77,08/15/19 07:30:00 AM,6.17,32.76,,,,,
78,08/15/19 07:45:00 AM,6.15,32.79,,,,,
79,08/15/19 08:00:00 AM,6.15,32.83,,,,,
80,08/15/19 08:15:00 AM,6.16,32.86,,,,,
81,08/15/19 08:30:00 AM,6.18,32.90,,,,,
82,08/15/19 08:45:00 AM,6.22,32.94,,,,,
83,08/15/19 09:00:00 AM,6.29,33.01,,,,,
84,08/15/19 09:15:00 AM,6.35,33.12,,,,,
85,08/15/19 09:30:00 AM,6.42,33.26,,,,,
86,08/15/19 09:45:00 AM,6.50,33.40,,,,,
87,08/15/19 10:00:00 AM,6.56,33.51,,,,,
88,08/15/19 10:15:00 AM,6.65,33.69,,,,,
89,08/15/19 10:30:00 AM,6.72,33.87,,,,,
90,08/15/19 10:45:00 AM,6.80,34.16,,,,,
91,08/15/19 11:00:00 AM,6.85,34.30,,,,,
92,08/15/19 11:15:00 AM,6.92,34.45,,,,,
93,08/15/19 11:30:00 AM,6.98,34.59,,,,,
94,08/15/19 11:45:00 AM,7.05,34.81,,,,,
95,08/15/19 12:00:00 PM,7.08,35.06,,,,,
96,08/15/19 12:15:00 PM,7.14,35.28,,,,,
97,08/15/19 12:30:00 PM,7.18,35.38,,,,,
98,08/15/19 12:45:00 PM,7.24,35.74,,,,,
99,08/15/19 01:00:00 PM,7.30,36.43,,,,,
100,08/15/19 01:15:00 PM,7.27,36.68,,,,,
101,08/15/19 01:30:00 PM,7.29,36.64,,,,,
102,08/15/19 01:45:00 PM,7.32,36.68,,,,,
103,08/15/19 02:00:00 PM,7.38,37.04,,,,,
104,08/15/19 02:15:00 PM,7.42,38.16,,,,,
105,08/15/19 02:30:00 PM,7.36,39.24,,,,,
106,08/15/19 02:45:00 PM,7.33,39.16,,,,,
107,08/15/19 03:00:00 PM,7.32,38.91,,,,,
108,08/15/19 03:15:00 PM,7.33,38.48,,,,,
109,08/15/19 03:30:00 PM,7.32,38.30,,,,,
110,08/15/19 03:45:00 PM,7.31,37.80,,,,,
111,08/15/19 04:00:00 PM,7.37,37.11,,,,,
112,08/15/19 04:15:00 PM,7.41,36.50,,,,,
