Time ,11:32,,
Date,7/22/2022,,
,,,
distance upstream (m),width (cm),x (cm),depth (cm)
0,65,65,12
0,65,80,34
0,65,90,32
0,65,100,30
3,60,65,10
3,60,77,24
3,60,89,48
3,60,101,32
3,60,113,4
5,65,45,10
5,65,58,28
5,65,71,74
5,65,84,80
5,65,97,8
7,40,65,4
7,40,73,12
7,40,81,14
7,40,89,8
7,40,97,4
9,65,55,4
9,65,68,6
9,65,81,42
9,65,94,44
9,65,107,2
11,40,40,6
11,40,48,8
11,40,56,10
11,40,64,10
11,40,72,2
12,60,45,4
12,60,57,8
12,60,69,20
12,60,81,6
12,60,93,6
13,65,40,2
13,65,53,4
13,65,66,16
13,65,79,12
13,65,92,4
