Bottle_no,Date_1,Time_1,Date_2,Time_2,Notes,Notes2
166,16-Feb,9:48,24-Feb,11:30,evak 13ml,
210,16-Feb,9:51,24-Feb,11:39,evak 13ml,
233,16-Feb,9:55,21-Feb,15:24,evak 13ml,
143,16-Feb,10:01,24-Feb,11:43,evak 13ml,
Tedlar Blank 1,16-Feb,10:02,NA,NA,15 ml n2,
211,16-Feb,10:04,24-Feb,10:52,evak 13ml,
190,16-Feb,10:07,24-Feb,11:36,evak 13ml,
260,16-Feb,10:12,24-Feb,11:48,evak 13ml,
217,16-Feb,10:14,24-Feb,11:50,evak 13ml,
185,16-Feb,10:16,24-Feb,11:52,evak 13ml,
257,16-Feb,10:19,24-Feb,12:27,evak 13ml,
187,16-Feb,10:22,24-Feb,10:48,evak 13ml,
215,16-Feb,10:26,24-Feb,11:24,evak 13ml,
Tedlar Blank 2,16-Feb,10:31,NA,NA,12 m1 n2,
269,16-Feb,10:32,21-Feb,12:20,overpressure,
175,16-Feb,10:35,21-Feb,11:36,overpressure,LOTS of sedmaterials and invertebrates!
201,16-Feb,10:39,21-Feb,12:18,overpressure,
Tedlar Blank 3,16-Feb,10:42,NA,NA,12 ml n2,
146,16-Feb,10:44,21-Feb,15:10,****evak 14ml,
184,16-Feb,11:17,24-Feb,11:10,evak 13ml,
189,16-Feb,11:19,21-Feb,15:21,evak 13ml,
241,16-Feb,11:24,24-Feb,11:54,evak 13ml,
290,16-Feb,11:29,24-Feb,11:01,evak 13ml,
237,16-Feb,11:32,24-Feb,11:56,evak 13ml,
Tedlar blank 4,16-Feb,11:34,NA,NA,12 ml n2,
186,16-Feb,11:39,21-Feb,15:16,evak 13ml,
197,16-Feb,11:42,24-Feb,11:22,evak 13ml,
204,16-Feb,11:44,24-Feb,12:01,evak 13ml,
225,16-Feb,11:47,24-Feb,12:04,evak 13ml,
243,16-Feb,11:50,24-Feb,12:06,evak 13ml,
261,16-Feb,11:53,21-Feb,15:28,evak 13ml,
147,16-Feb,11:55,24-Feb,11:20,evak 13ml,
167,16-Feb,11:58,21-Feb,15:14,evak 13ml,
253,16-Feb,12:00,21-Feb,15:27,evak 13ml,
227,16-Feb,12:03,24-Feb,10:58,evak 13ml,
Tedlar blank 5,16-Feb,12:05,NA,NA,12 ml n2,
274,16-Feb,12:50,21-Feb,11:23,overpressure,
149,16-Feb,12:52,21-Feb,11:20,overpressure,
183,16-Feb,12:56,21-Feb,11:15,overpressure,
276,16-Feb,13:00,21-Feb,11:18,overpressure,
224,16-Feb,13:02,21-Feb,11:10,overpressure,
152,16-Feb,13:05,21-Feb,11:04,overpressure,"gas leak, probably bad"
209,16-Feb,13:09,21-Feb,11:02,overpressure,
159,16-Feb,13:12,21-Feb,11:08,overpressure,
256,16-Feb,13:14,21-Feb,10:58,overpressure,
275,16-Feb,13:15,21-Feb,10:57,overpressure,
230,16-Feb,13:17,21-Feb,10:54,overpressure,
Tedlar Blank 6,16-Feb,13:20,NA,NA,12 ml n2,
231,16-Feb,13:24,21-Feb,10:32,overpressure,
292,16-Feb,13:26,24-Feb,11:04,evak 13ml,
156,16-Feb,13:28,21-Feb,10:48,overpressure,
188,16-Feb,13:30,21-Feb,10:25,overpressure,
258,16-Feb,13:31,21-Feb,10:35,overpressure,
178,16-Feb,13:34,21-Feb,10:29,overpressure,
200,16-Feb,13:36,21-Feb,10:21,overpressure,
182,16-Feb,13:38,21-Feb,10:17,overpressure,
172,16-Feb,13:40,21-Feb,10:38,overpressure,
245,16-Feb,13:43,21-Feb,10:12,overpressure,
Tedlar Bag 7,16-Feb,13:45,NA,NA,12 m1 n2,
150,16-Feb,13:47,24-Feb,11:07,evak 13ml,
148,16-Feb,13:49,24-Feb,11:14,evak 13ml,
266,16-Feb,13:52,21-Feb,10:07,overpressure,
162,16-Feb,13:55,24-Feb,11:16,evak 13ml,
151,16-Feb,13:57,21-Feb,10:03,overpressure,
Blank7,21-Feb,NA,NA,NA,12ml N2,
Blank9,21-Feb,NA,NA,NA,12ml N2,
Blank10,21-Feb,NA,NA,NA,12ml N2,
Tedlar Blank 7,24-Feb,10:54,NA,NA,15ml N2,
Tedlar Blank 8,24-Feb,11:26,NA,NA,15ml N2,
Tedlar Blank 9,24-Feb,12:07,NA,NA,15ml N2,
