Date,Time,Barometric pressure (mb),Temperature c,
7/29/22,6am - 12pm,1031,15.5,
7/29/22,12:00-18:00,1028,16,
7/29/22,18:-- 24:00,1029,11,
7/30/22,0:00 - 6:00,1031,6,
7/30/22,6am - 12pm,1032,11.5,
7/30/22,12:00-18:00,1028,15,
7/30/22,18:-- 24:00,1030,9.5,
7/31/22,0:00 - 6:00,1031,6,
7/31/22,6am - 12pm,1031,11.5,
7/31/22,12:00-18:00,1027,16.5,
7/31/22,18:-- 24:00,1030,12,
,,,,
,,,,
Earliest headspace introduced,,,,
7/29/22,11:30,,Ave baropressure,Ave temp
Latest sample collected,,,1.01653069,10.8125
7/31/22,8:00,,,
