started inverting samples before procedure @ 18:50 7/29,,,,,,,,,,,,
Removed 3-way guage from tedlar @21:23 7/29,,,,,,,,,,,,
Methane std 100ppb,,,,,,,,,,,,
realized was using tedlar bag wrong SO BAD @21:36 7/30/2022,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Vial_n0_9ml,Sample ID,Date headspace introduced,Time headspace introduced,Notes1,Extract Headspace Date,Extract Headspace time,Notes2,headspace_ml,Field blank Date,Field Blank time,Fieil blank vol,Field blank vol
1,1,7/30/21,5:26,,,,,15,,,,
2,2,7/30/21,5:22,,,,,15,,,,
3,3,7/30/21,5:17,,,,,15,,,,
4,4,7/30/21,5:14,,7/31/22,7:53,,15,,,,
5,5,7/30/21,5:10,,7/31/22,7:50,,15,,,,
6,6,7/30/21,5:05,,7/31/22,7:44,moisture got in (but still able to analyze),15,,,,
7,7,7/30/21,5:02,,7/31/22,7:41,,15,,,,
8,8,7/30/21,4:58,,7/31/22,7:38,,15,,,,
9,9,7/30/21,4:54,,7/31/22,7:35,,15,,,,
10,10,7/30/21,4:51,,7/31/22,7:32,,15,,,,
11,11,7/30/21,4:47,,7/31/22,7:27,,15,,,,
12,12,7/30/21,4:43,,7/31/22,7:25,,15,,,,
13,13,7/29/21,11:19,,7/31/22,6:25,,15,,,,
14,14,7/30/21,4:39,,,,,15,,,,
15,15,7/30/21,4:35,,7/31/22,7:22,lost some gas,15,,,,
16,16,7/30/21,4:32,,,,,15,,,,
17,17,7/30/21,4:28,,7/31/22,7:01,,15,,,,
18,18,7/30/21,4:24,,7/31/22,6:58,,15,,,,
19,19,7/30/21,4:20,,7/31/22,6:55,,15,,,,
20,20,7/30/21,4:16,,7/31/22,6:53,,15,,,,
21,21,7/30/21,4:43,,7/31/22,6:50,,15,,,,
22,22,7/30/21,4:09,,,,,15,,,,
23,23,7/30/21,4:04,,,,,15,,,,
24,24,7/30/21,4:01,,7/31/22,6:41,,15,,,,
25,25,7/30/21,3:57,,7/31/22,6:35,,15,,,,
26,26,7/30/21,3:51,,7/31/22,6:32,,15,,,,
27,27,7/30/21,3:54,,7/31/22,6:30,,15,,,,
28,28,7/30/21,3:48,,7/31/22,6:27,,15,,,,
29,29,7/30/21,3:45,,7/31/22,6:24,,15,,,,
30,30,7/30/21,3:26,,,,,15,,,,
