Date,Time_Start,Time_End,Site,Site2,Lat,Lon,Altitude,Bottle_no1,Bottle_no2,notes,Watertemp_c,AirPress_kpa,AirTemp_C
11/28/22,11:16,12:20,Chakanas,Resotered outlet,,,,185,,,,,
11/28/22,11:16,12:20,Chakanas,Resotered outlet,,,,187,,,,,
11/28/22,12:30,,Chakanas, Not restored outle,,,,292,,,,,
11/28/22,12:30,,Chakanas, Not restored outle,,,,217,,,,,
11/29/22,9:11,10:30,Gavilan,Waypt01,-0.327926748,-78.20042241,4098.258771,256,,,,,
11/29/22,9:11,10:30,Gavilan,Waypt01,-0.327926748,-78.20042241,4098.258771,257,,,,,
11/29/22,,,Gavilan,Waypoint2,-0.327066346,-78.20043809,4092.135001,,,"no sample collected, and very litle water, but it was flagged so kept in case it helps with geolocation",,,
11/29/22,12:18,13:18,Gavilan,Waypt03,-0.326281381,-78.20010507,4103.039883,175,,"start time, uknown. Used 1 hr previous to end time",,,
11/29/22,12:18,13:18,Gavilan,Waypt03,-0.326281381,-78.20010507,4103.039883,266,,"start time, uknown. Used 1 hr previous to end time",,,
11/29/22,13:30,14:30,Gavilan,waypy04,-0.326323835,-78.19988681,4107.051113,200,,"end time, unknown, used 1 hr after start time ",,,
11/29/22,13:30,14:30,Gavilan,waypy04,-0.326323835,-78.19988681,4107.051113,188,,"end time, unknown, used 1 hr after start time ",,,
12/1/22,8:54,11:02,Gavilan,waypt05,-0.326476721,-78.19944416,4108.667812,178,,,,,
12/1/22,8:54,11:02,Gavilan,waypt05,-0.326476721,-78.19944416,4108.667812,205,,,,,
11/29/22,13:40,14:41,Gavilan,waypt06,-0.326784505,-78.19940108,4103.089687,231,,,,,
11/29/22,13:40,14:41,Gavilan,waypt06,-0.326784505,-78.19940108,4103.089687,182,,,,,
11/30/22,12:28,13:30,Gavilan,waypt07,-0.327040656,-78.19938566,4103.813554,258,,,,,
11/30/22,12:28,13:30,Gavilan,waypt07,-0.327040656,-78.19938566,4103.813554,172,,,,,
11/30/22,11:37,12:25,Gavilan,waypt08,-0.327188387,-78.19932849,4102.629565,156,,,,,
11/30/22,11:37,12:25,Gavilan,waypt08,-0.327188387,-78.19932849,4102.629565,275,,,,,
12/1/22,11:14,12:14,Gavilan,waypt09,-0.327248527,-78.19988463,4106.289473,245,,"end time, unknown, used 1 hr after start time ",,,
12/1/22,11:14,12:14,Gavilan,waypt09,-0.327248527,-78.19988463,4106.289473,276,,"end time, unknown, used 1 hr after start time ",,,
11/29/22,10:50,11:21,Gavilan,waypt10,-0.328094093,-78.20023206,4096.003262,183,,,,,
11/29/22,10:50,11:21,Gavilan,waypt10,-0.328094093,-78.20023206,4096.003262,230,,,,,
11/29/22,11:43,12:30,Gavilan,waypt11,-0.326712588,-78.19979796,4103.777187,201,,,,,
11/29/22,11:43,12:30,Gavilan,waypt11,-0.326712588,-78.19979796,4103.777187,224,,,,,
11/30/22,8:53,9:46,Gavilan,waypt12,-0.328265587,-78.20016811,4105.854963,159,,,,,
11/30/22,8:53,9:46,Gavilan,waypt12,-0.328265587,-78.20016811,4105.854963,209,,,,,
11/30/22,9:51,10:42,Gavilan,waypt13,-0.328201926,-78.19985798,4108.324963,269,,,,,
11/30/22,9:51,10:42,Gavilan,waypt13,-0.328201926,-78.19985798,4108.324963,152,,,,,
11/30/22,10:47,11:32,Gavilan,waypt14,-0.328201926,-78.19985798,4108.324963,149,,,,,
11/30/22,10:47,11:32,Gavilan,waypt14,-0.328201926,-78.19985798,4108.324963,274,,,,,
