"Plot Title: GasSample_prep"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20957326, SEN S/N: 20957326)","Temp, °C (LGR S/N: 20957326, SEN S/N: 20957326)","Coupler Detached (LGR S/N: 20957326)","Coupler Attached (LGR S/N: 20957326)","Host Connected (LGR S/N: 20957326)","Stopped (LGR S/N: 20957326)","End Of File (LGR S/N: 20957326)"
1,01/19/24 05:44:49 PM,99.645,23.388,,,,,
2,01/19/24 05:45:00 PM,,,Logged,,,,
3,01/19/24 05:49:49 PM,99.664,23.388,,,,,
4,01/19/24 05:54:49 PM,99.674,22.812,,,,,
5,01/19/24 05:59:49 PM,99.679,22.142,,,,,
6,01/19/24 06:04:49 PM,99.678,21.569,,,,,
7,01/19/24 06:09:49 PM,99.673,21.187,,,,,
8,01/19/24 06:14:49 PM,99.682,20.901,,,,,
9,01/19/24 06:19:49 PM,99.691,20.615,,,,,
10,01/19/24 06:24:49 PM,99.687,20.519,,,,,
11,01/19/24 06:29:49 PM,99.689,20.329,,,,,
12,01/19/24 06:34:49 PM,99.676,20.234,,,,,
13,01/19/24 06:39:49 PM,99.699,20.329,,,,,
14,01/19/24 06:44:49 PM,99.713,20.424,,,,,
15,01/19/24 06:49:49 PM,99.716,20.519,,,,,
16,01/19/24 06:54:49 PM,99.739,20.615,,,,,
17,01/19/24 06:59:49 PM,99.759,20.615,,,,,
18,01/19/24 07:04:49 PM,99.772,20.710,,,,,
19,01/19/24 07:09:49 PM,99.805,20.805,,,,,
20,01/19/24 07:14:49 PM,99.805,20.805,,,,,
21,01/19/24 07:19:49 PM,99.815,20.805,,,,,
22,01/19/24 07:24:49 PM,99.828,20.901,,,,,
23,01/19/24 07:29:49 PM,99.838,20.901,,,,,
24,01/19/24 07:34:49 PM,99.858,20.901,,,,,
25,01/19/24 07:39:49 PM,99.871,20.996,,,,,
26,01/19/24 07:44:49 PM,99.891,20.996,,,,,
27,01/19/24 07:49:49 PM,99.891,20.996,,,,,
28,01/19/24 07:54:49 PM,99.891,20.996,,,,,
29,01/19/24 07:59:49 PM,99.904,21.091,,,,,
30,01/19/24 08:04:49 PM,99.914,21.091,,,,,
31,01/19/24 08:09:49 PM,99.914,21.091,,,,,
32,01/19/24 08:14:49 PM,99.923,21.091,,,,,
33,01/19/24 08:19:49 PM,99.933,21.091,,,,,
34,01/19/24 08:24:49 PM,99.943,21.091,,,,,
35,01/19/24 08:29:49 PM,99.943,21.091,,,,,
36,01/19/24 08:34:49 PM,99.949,20.996,,,,,
37,01/19/24 08:39:49 PM,99.939,20.996,,,,,
38,01/19/24 08:44:49 PM,99.959,20.996,,,,,
39,01/19/24 08:49:49 PM,99.949,20.996,,,,,
40,01/19/24 08:54:49 PM,99.955,20.901,,,,,
41,01/19/24 08:59:49 PM,99.965,20.901,,,,,
