"Vial_no","Glass_weight_g","Filles_with_water","Water_Weight","Zinc_Chloride","Wetland","Location","Time","Date","Rep","Exsist","Sample_Collected","Sample","CH4.ppm.NOT.CORRECTED","N20.ppm.NOT.CORRECTED","Sample.ID","Date.headspace.introduced","Time.headspace.introduced","Notes1","Extract.Headspace.Date","Extract.Headspace.time","headspace_ml","Time_Baro","AirPress_kpa","AirTemp_C"
2,69.8,140.45,70.65,0.3636,11,3,"11:25",2022-07-19,"B","YES","YES",2,321.1159,0.183780839,"2","7/30/21","5:22","","","",15,"11:01",62.74875,10.48571
3,69.45,140.75,71.3,0.3698,6,2,"12:39",2022-07-19,"C","YES","YES",3,8.9078,0.268561677,"3","7/30/21","5:17","","","",15,"12:34",62.60229,8.528594
4,69.42,140.63,71.21,0.3948,3,1,"13:02",2022-07-07,"A","YES","YES",4,2.5248,0.30629312,"4","7/30/21","5:14","","7/31/22","7:53",15,"12:56",61.66913,11.88605
5,69.9,140.21,70.31,0.3711,6,3,"13:07",2022-07-19,"C","YES","YES",5,18.0451,0.262961697,"5","7/30/21","5:10","","7/31/22","7:50",15,"12:34",62.60229,8.528594
7,69.37,140.8,71.43,0.3842,3,2,"12:44",2022-07-14,"B","YES","YES",7,3.3373,0.285176673,"7","7/30/21","5:02","","7/31/22","7:41",15,"12:36",61.90788,9.848541
8,70.14,140.67,70.53,0.3708,3,3,"13:33",2022-07-07,"A","YES","YES",8,1.8904,0.27607058,"8","7/30/21","4:58","","7/31/22","7:38",15,"12:56",61.66913,11.88605
9,69.22,140.22,71,0.3814,11,1,"12:04",2022-07-22,"C","YES","YES",9,37.1335,0.264123587,"9","7/30/21","4:54","","7/31/22","7:35",15,"12:02",62.68232,7.519318
10,69.72,140.96,71.24,0.3706,11,3,"12:16",2022-07-22,"C","YES","YES",10,19.5907,0.34786088,"10","7/30/21","4:51","","7/31/22","7:32",15,"12:02",62.68232,7.519318
11,70.25,140.69,70.44,0.3646,8,1,"10:25",2022-07-08,"B","YES","YES",11,38.5051,0.381290307,"11","7/30/21","4:47","","7/31/22","7:27",15,"10:07",63.84128,7.988405
12,69.56,140.54,70.98,0.3848,11,2,"12:15",2022-07-22,"C","YES","YES",12,8.7518,0.428699075,"12","7/30/21","4:43","","7/31/22","7:25",15,"12:02",62.68232,7.519318
