"","Site","Site2","Date","time","Sample.Name","Lat","Lon","ppm_NOTcorrected","DateTime","Watertemp_c","AirPress_kpa","AirTemp_C","viasala_type","Flux_mean","CH4_umol.L","CH4_sat","CO2_ppm","KH_mol.L.atm","CO2_umol.L","air_pressure_atm","VaporPressure_atm","TotalAir_atm","Total_air_MolperL","CO2_air_MolesPerLiter","CO2_air_gCO2asCPerLiter","WaterTemp_K","CO2_water_gCO2asCPerLiter","deltaCO2_gCO2asCperM3","Flux_gCO2asCperM2perDay","k_m.d","Sc","K600.effective"
"1","Chakanas","Resotered outlet","11/28/22","12:20",185,NA,NA,2035.256477,2022-11-28 12:15:00,7.638,62.3749,6.872,"NewV",NA,0.294,12632.3125,4938.90224508186,0.0575746540871795,284.355588330983,0.62043144348059,0.00992449136152061,0.610506952119069,0.0265693474420793,1.10459405055701e-05,0.000132551286066841,280.788,0.00341226705997179,0.188828501186844,NA,NA,1191.99110892006,NA
"2","Chakanas","Resotered outlet","11/28/22","12:20",187,NA,NA,2035.256477,2022-11-28 12:15:00,7.638,62.3749,6.872,"NewV",NA,0.3164,13595.4039,4938.90224508186,0.0575746540871795,284.355588330983,0.62043144348059,0.00992449136152061,0.610506952119069,0.0265693474420793,1.10459405055701e-05,0.000132551286066841,280.788,0.00341226705997179,0.188828501186844,NA,NA,1191.99110892006,NA
"3","Chakanas"," Not restored outle","11/28/22","15:08",292,NA,NA,856.1830961,2022-11-28 15:15:00,7.602,62.2103,6.856,"NewV",NA,0.0884,3800.1171,2077.88792196808,0.0576377907602976,119.764869269745,0.61880696822259,0.00991359108999305,0.608893377132597,0.0265006386375488,1.10173755071745e-05,0.000132208506086094,280.752,0.00143717843123695,0.075215583494326,NA,NA,1194.60789594289,NA
"4","Chakanas"," Not restored outle","11/28/22","15:08",217,NA,NA,856.1830961,2022-11-28 15:15:00,7.602,62.2103,6.856,"NewV",NA,0.0868,3728.3222,2077.88792196808,0.0576377907602976,119.764869269745,0.61880696822259,0.00991359108999305,0.608893377132597,0.0265006386375488,1.10173755071745e-05,0.000132208506086094,280.752,0.00143717843123695,0.075215583494326,NA,NA,1194.60789594289,NA
"5","Gavilan","Waypt01","11/29/22","10:30",256,-0.327926748,-78.20042241,4306,2022-11-29 10:30:00,7.356,62.3881,6.743,"NewV",NA,5.2388,223897.2836,10449.169322947,0.0580715189081715,606.799133912203,0.62056171731659,0.00983690833064126,0.610724808985949,0.0265910785304744,1.10549749882594e-05,0.000132659699859113,280.506,0.00728158960694643,0.415149218272614,NA,NA,1212.66402430886,NA
"6","Gavilan","Waypt01","11/29/22","10:30",257,-0.327926748,-78.20042241,4306,2022-11-29 10:30:00,7.356,62.3881,6.743,"NewV",NA,2.2586,96529.4305,10449.169322947,0.0580715189081715,606.799133912203,0.62056171731659,0.00983690833064126,0.610724808985949,0.0265910785304744,1.10549749882594e-05,0.000132659699859113,280.506,0.00728158960694643,0.415149218272614,NA,NA,1212.66402430886,NA
"7","Gavilan","waypt10","11/29/22","11:21",183,-0.328094093,-78.20023206,5659,2022-11-29 11:15:00,7.334,62.3653,6.741,"NewV",NA,0.2985,12751.5812,13732.6248426205,0.0581105034644095,798.009743492535,0.62033669887259,0.00983555584282335,0.610501143029767,0.0265815300113234,1.10510052869076e-05,0.000132612063442891,280.484,0.00957611692191042,0.548766821794145,NA,NA,1214.29372629791,NA
"8","Gavilan","waypt10","11/29/22","11:21",230,-0.328094093,-78.20023206,5659,2022-11-29 11:15:00,7.334,62.3653,6.741,"NewV",NA,0.3024,12919.1698,13732.6248426205,0.0581105034644095,798.009743492535,0.62033669887259,0.00983555584282335,0.610501143029767,0.0265815300113234,1.10510052869076e-05,0.000132612063442891,280.484,0.00957611692191042,0.548766821794145,NA,NA,1214.29372629791,NA
"9","Gavilan","waypt11","11/29/22","12:30",201,-0.326712588,-78.19979796,4953.3,2022-11-29 12:30:00,7.304,62.2956,6.737,"NewV",NA,0.8299,35457.1804,12020.6293064534,0.0581637162719826,699.164472391231,0.61964881354159,0.00983285135964639,0.609815962181944,0.0265520763521107,1.10387602226265e-05,0.000132465122671518,280.454,0.00838997366869477,0.480287384184368,NA,NA,1216.52001568843,NA
"10","Gavilan","waypt11","11/29/22","12:30",224,-0.326712588,-78.19979796,4953.3,2022-11-29 12:30:00,7.304,62.2956,6.737,"NewV",NA,0.8543,36495.7128,12020.6293064534,0.0581637162719826,699.164472391231,0.61964881354159,0.00983285135964639,0.609815962181944,0.0265520763521107,1.10387602226265e-05,0.000132465122671518,280.454,0.00838997366869477,0.480287384184368,NA,NA,1216.52001568843,NA
"11","Gavilan","Waypt03","11/29/22","13:18",175,-0.326281381,-78.20010507,3161,2022-11-29 13:15:00,7.291,62.2576,6.73,"NewV",NA,0.3492,14924.0301,7671.2700035195,0.0581867938240069,446.366606063078,0.61927378280159,0.00982812009370204,0.609445662707888,0.026536616777673,1.10323330591498e-05,0.000132387996709797,280.441,0.00535639927275694,0.303968467053642,NA,NA,1217.48616463687,NA
"12","Gavilan","Waypt03","11/29/22","13:18",266,-0.326281381,-78.20010507,3161,2022-11-29 13:15:00,7.291,62.2576,6.73,"NewV",NA,0.2214,9459.775,7671.2700035195,0.0581867938240069,446.366606063078,0.61927378280159,0.00982812009370204,0.609445662707888,0.026536616777673,1.10323330591498e-05,0.000132387996709797,280.441,0.00535639927275694,0.303968467053642,NA,NA,1217.48616463687,NA
"13","Gavilan","waypy04","11/29/22","14:30",200,-0.326323835,-78.19988681,604.6,2022-11-29 14:30:00,7.278,62.1824,6.725,"NewV",NA,0,0,1467.3411644377,0.0582098826734039,85.4137570237745,0.61853161670559,0.00982474184855471,0.608706874857035,0.0265049218200634,1.10191561974732e-05,0.000132229874369678,280.428,0.00102496508428529,0.0519660118276046,NA,NA,1218.4531751161,NA
"14","Gavilan","waypy04","11/29/22","14:30",188,-0.326323835,-78.19988681,604.6,2022-11-29 14:30:00,7.278,62.1824,6.725,"NewV",NA,0,0,1467.3411644377,0.0582098826734039,85.4137570237745,0.61853161670559,0.00982474184855471,0.608706874857035,0.0265049218200634,1.10191561974732e-05,0.000132229874369678,280.428,0.00102496508428529,0.0519660118276046,NA,NA,1218.4531751161,NA
"15","Gavilan","Waypoint2","11/29/22","",NA,-0.327066346,-78.20043809,NA,NA,NA,NA,NA,"NewV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Gavilan","waypt12","11/30/22","9:46",159,-0.328265587,-78.20016811,2313,2022-11-30 09:45:00,7.538,62.3872,6.724,"NewV",NA,9.6714,414985.9361,5612.8523199435,0.0577502448249331,324.143595642931,0.62055283500959,0.00982406632255015,0.61072876868704,0.0265930561553021,1.10557971660053e-05,0.000132669565992064,280.688,0.00388972314771517,0.216970764164901,NA,NA,1199.27603544469,NA
"17","Gavilan","waypt12","11/30/22","9:46",209,-0.328265587,-78.20016811,2313,2022-11-30 09:45:00,7.538,62.3872,6.724,"NewV",NA,8.2002,351859.4234,5612.8523199435,0.0577502448249331,324.143595642931,0.62055283500959,0.00982406632255015,0.61072876868704,0.0265930561553021,1.10557971660053e-05,0.000132669565992064,280.688,0.00388972314771517,0.216970764164901,NA,NA,1199.27603544469,NA
"18","Gavilan","waypt13","11/30/22","10:42",269,-0.328201926,-78.19985798,5196,2022-11-30 10:45:00,7.507,62.3582,6.739,"NewV",NA,2.555,109546.7525,12609.123844602,0.0578048120838935,728.868034379759,0.62026662733959,0.00983420351916409,0.610432423820426,0.0265787278640171,1.10498403221865e-05,0.000132598083866238,280.657,0.0087464164125571,0.497920149814773,NA,NA,1201.54457786283,NA
"19","Gavilan","waypt13","11/30/22","10:42",152,-0.328201926,-78.19985798,5196,2022-11-30 10:45:00,7.507,62.3582,6.739,"NewV",NA,2.5151,107835.4148,12609.123844602,0.0578048120838935,728.868034379759,0.62026662733959,0.00983420351916409,0.610432423820426,0.0265787278640171,1.10498403221865e-05,0.000132598083866238,280.657,0.0087464164125571,0.497920149814773,NA,NA,1201.54457786283,NA
"20","Gavilan","waypt14","11/30/22","11:32",149,-0.328201926,-78.19985798,2830,2022-11-30 11:30:00,7.486,62.3242,6.743,"NewV",NA,0.1893,8116.4834,6867.700234585,0.0578418131493238,397.240233734433,0.61993107351959,0.00983690833064126,0.610094165188949,0.0265636201752806,1.10435594516712e-05,0.000132522713420054,280.636,0.00476688280481319,0.268059790473045,NA,NA,1203.08408612138,NA
"21","Gavilan","waypt14","11/30/22","11:32",274,-0.328201926,-78.19985798,2830,2022-11-30 11:30:00,7.486,62.3242,6.743,"NewV",NA,0.1789,7668.8159,6867.700234585,0.0578418131493238,397.240233734433,0.61993107351959,0.00983690833064126,0.610094165188949,0.0265636201752806,1.10435594516712e-05,0.000132522713420054,280.636,0.00476688280481319,0.268059790473045,NA,NA,1203.08408612138,NA
"22","Gavilan","waypt08","11/30/22","12:25",156,-0.327188387,-78.19932849,776,2022-11-30 12:30:00,7.464,62.2761,6.748,"NewV",NA,1.2702,54459.1484,1883.213367212,0.057880607519379,109.001533782846,0.61945636355659,0.00984029026849232,0.609616073288098,0.0265423298083378,1.10347081945183e-05,0.00013241649833422,280.614,0.00130801840539415,0.0680445525815694,NA,NA,1204.69929273583,NA
"23","Gavilan","waypt08","11/30/22","12:25",275,-0.327188387,-78.19932849,776,2022-11-30 12:30:00,7.464,62.2761,6.748,"NewV",NA,1.5216,65237.7957,1883.213367212,0.057880607519379,109.001533782846,0.61945636355659,0.00984029026849232,0.609616073288098,0.0265423298083378,1.10347081945183e-05,0.00013241649833422,280.614,0.00130801840539415,0.0680445525815694,NA,NA,1204.69929273583,NA
"24","Gavilan","waypt07","11/30/22","13:30",258,-0.327040656,-78.19938566,917,2022-11-30 13:30:00,7.451,62.227,6.745,"NewV",NA,3.6229,155376.7667,2225.4627145415,0.0579035465557938,128.862183899637,0.61897178436359,0.00983826098263491,0.609133523380955,0.0265216041292096,1.10260917006776e-05,0.000132313100408131,280.601,0.00154634620679564,0.0818775318071431,NA,NA,1205.65488283426,NA
"25","Gavilan","waypt07","11/30/22","13:30",172,-0.327040656,-78.19938566,917,2022-11-30 13:30:00,7.451,62.227,6.745,"NewV",NA,3.8544,165307.8096,2225.4627145415,0.0579035465557938,128.862183899637,0.61897178436359,0.00983826098263491,0.609133523380955,0.0265216041292096,1.10260917006776e-05,0.000132313100408131,280.601,0.00154634620679564,0.0818775318071431,NA,NA,1205.65488283426,NA
"26","Gavilan","waypt06","11/30/22","14:41",231,-0.326784505,-78.19940108,1781,2022-11-30 14:45:00,7.454,62.1573,6.736,"NewV",NA,0.8845,37824.5423,4322.4861976595,0.0578982519365619,250.264394864401,0.61828389903259,0.00983217534143524,0.608451723691155,0.0264927705212734,1.10141044165142e-05,0.00013216925299817,280.604,0.00300317273837281,0.166226083106968,NA,NA,1205.43428618992,NA
"27","Gavilan","waypt06","11/30/22","14:41",182,-0.326784505,-78.19940108,1781,2022-11-30 14:45:00,7.454,62.1573,6.736,"NewV",NA,0.9108,38952.6758,4322.4861976595,0.0578982519365619,250.264394864401,0.61828389903259,0.00983217534143524,0.608451723691155,0.0264927705212734,1.10141044165142e-05,0.00013216925299817,280.604,0.00300317273837281,0.166226083106968,NA,NA,1205.43428618992,NA
"28","Gavilan","waypt05","12/1/22","11:02",178,-0.326476721,-78.19944416,4957.9,2022-12-01 11:00:00,8.234,62.3281,6.864,"NewV",NA,20.0253,872465.0007,12031.5508524861,0.0565416892257556,680.284209205142,0.61996956351659,0.00991903990405026,0.61005052361254,0.0265502421287613,1.10379976626112e-05,0.000132455971951335,281.384,0.0081634105104617,0.454083735702625,NA,NA,1149.60393002193,NA
"29","Gavilan","waypt05","12/1/22","11:02",205,-0.326476721,-78.19944416,4957.9,2022-12-01 11:00:00,8.234,62.3281,6.864,"NewV",NA,16.7675,730525.3403,12031.5508524861,0.0565416892257556,680.284209205142,0.61996956351659,0.00991903990405026,0.61005052361254,0.0265502421287613,1.10379976626112e-05,0.000132455971951335,281.384,0.0081634105104617,0.454083735702625,NA,NA,1149.60393002193,NA
"30","Gavilan","waypt09","12/1/22","14:23",245,-0.327248527,-78.19988463,7431.9,2022-12-01 14:30:00,8.182,62.1925,6.863,"NewV",NA,1.7017,74065.9065,18036.825547609,0.0566308979258602,1021.4416264932,0.61863129592859,0.00991835865775402,0.608712937270836,0.0264921231320699,1.10138352709268e-05,0.000132166023251121,281.332,0.0122572995179183,0.686657197273928,NA,NA,1153.23258604605,NA
"31","Gavilan","waypt09","12/1/22","14:23",276,-0.327248527,-78.19988463,7431.9,2022-12-01 14:30:00,8.182,62.1925,6.863,"NewV",NA,1.65,71814.7042,18036.825547609,0.0566308979258602,1021.4416264932,0.61863129592859,0.00991835865775402,0.608712937270836,0.0264921231320699,1.10138352709268e-05,0.000132166023251121,281.332,0.0122572995179183,0.686657197273928,NA,NA,1153.23258604605,NA
"32","Wetland_06","1","10/15/22","11:32",162,NA,NA,274.1695,2022-10-15 11:30:00,7.949167,62.5518,6.904,"NewV",-0.04,1.1832,51018.502,665.247013185015,0.0570324721317907,37.9406817402314,0.62217731026759,0.0099463236475512,0.612230986620039,0.0266413331786917,1.10758678557093e-05,0.000132910414268511,281.099167,0.000455288180882776,0.018386000990337,-0.041472,-2.25562916165382,1169.64231328803,-3.1493331964824
"33","Wetland_06","2","10/15/22","11:41",253,NA,NA,270.2203,2022-10-15 11:45:00,7.949167,62.5518,6.904,"NewV",-0.04,2.2364,96453.7815,655.66464350323,0.0570324721317907,37.3941755083984,0.62217731026759,0.0099463236475512,0.612230986620039,0.0266413331786917,1.10758678557093e-05,0.000132910414268511,281.099167,0.000448730106100781,0.0180119777730946,-0.041472,-2.30246786457558,1169.64231328803,-3.21472988690448
"34","Wetland_06","2","10/15/22","11:45",192,NA,NA,270.2203,2022-10-15 11:45:00,7.949167,62.5518,6.904,"NewV",-0.04,2.7439,118318.5057,655.66464350323,0.0570324721317907,37.3941755083984,0.62217731026759,0.0099463236475512,0.612230986620039,0.0266413331786917,1.10758678557093e-05,0.000132910414268511,281.099167,0.000448730106100781,0.0180119777730946,-0.041472,-2.30246786457558,1169.64231328803,-3.21472988690448
"35","Wetland_06",NA,"10/15/22","11:45",666,NA,NA,270.2203,2022-10-15 11:45:00,7.949167,62.5518,6.904,"NewV",-0.04,NA,NA,655.66464350323,0.0570324721317907,37.3941755083984,0.62217731026759,0.0099463236475512,0.612230986620039,0.0266413331786917,1.10758678557093e-05,0.000132910414268511,281.099167,0.000448730106100781,0.0180119777730946,-0.041472,-2.30246786457558,1169.64231328803,-3.21472988690448
"36","Wetland_07","1","10/15/22","12:32",148,NA,NA,386.7797,2022-10-15 12:30:00,7.848667,62.5118,6.899,"NewV",-0.043333333,0.0089,381.5679,938.50848755027,0.0572068931966822,53.689154811468,0.62178254106759,0.00994290956086788,0.611839631506722,0.026624778646666,1.10689854745649e-05,0.000132827825694779,280.998667,0.000644269857737616,0.0292580097033687,-0.0449279996544,-1.5355794912197,1176.80787741078,-2.15054958949301
"37","Wetland_07","1","10/15/22","12:35",186,NA,NA,386.7797,2022-10-15 12:30:00,7.848667,62.5118,6.899,"NewV",-0.043333333,0.0146,630.3261,938.50848755027,0.0572068931966822,53.689154811468,0.62178254106759,0.00994290956086788,0.611839631506722,0.026624778646666,1.10689854745649e-05,0.000132827825694779,280.998667,0.000644269857737616,0.0292580097033687,-0.0449279996544,-1.5355794912197,1176.80787741078,-2.15054958949301
