"","Site","Date","DOC_mg.L","TDN_mg.L","AirTemp_c","WaterTemp_c_ave3","WaterTemp_c_yearly","Elevation_m","depth_ave_m","WaterLevel_m","surface_area_m2","Volumn_m3","SA_to_Vol_ratio","WS_area_minus_pond","percentpond","percent_DTW","PrecipAccuDay_mm","PrecipAccu_mm_PreviousDay","precip_mm_ave2","Precip_mm_ave7","solarrad_W_m2","solarrad_Wm2_daymean","windspeed_m_s","winddirecion"
"1","S1","2022-07-07",7.074,0.2504,3.662639,5.26394444444444,8.18434433879718,4274.088379,0.76464139511624,0.428425168104841,5328.372,4074.29379977831,1.30780259398326,11457.74234,31.43629519,22.71368324,0,5.3,2.65,17.1571428571429,471,182.097222222222,6.3,113
"2","S2","2022-07-07",6.991,0.2181,8.465256,4.05852711988304,7.83147657267723,4263.513184,0.686318498694352,0.624909497694352,4751.01170971892,3260.70722389358,1.45704946304434,16631.75398,17.46928081,24.8508019,0,5.3,2.65,17.1571428571429,649.666666666667,182.097222222222,6.73333333333333,115.666666666667
"3","S2","2022-07-14",6.991,0.2181,7.014243,6.69777233187135,7.83147657267723,4263.513184,0.726047736190757,0.664638735190757,4793.61456351846,3480.39300201362,1.37731990632812,16631.75398,17.46928081,24.8508019,0.1,0,0.05,7.18571428571429,122.333333333333,126.711805555556,2.86666666666667,105
"4","S2","2022-07-25",6.991,0.2181,17.12641,6.68607919621749,7.83147657267723,4263.513184,0.720643091459469,0.659234090459469,4787.98892105067,3450.43113793964,1.3876494645564,16631.75398,17.46928081,24.8508019,2.3,23.8,13.05,3.43333333333333,180.411,196.926579861111,2.51033333333333,125.666666666667
"5","S3","2022-07-07",3.964,0.2119,11.88605,3.96710405701754,7.85976418972102,4263.466797,0.236880049292174,0.184492136751787,840.904,199.193380969986,4.22154589628008,24376.74081,3.221982649,48.35886128,0,5.3,2.65,17.1571428571429,602,182.097222222222,6.1,116.666666666667
"6","S3","2022-07-25",3.964,0.2119,11.20151,7.14622222222222,7.85976418972102,4263.466797,0.234667204185213,0.182279291644826,840.904,197.332590668162,4.26135387546844,24376.74081,3.221982649,48.35886128,2.3,23.8,13.05,3.43333333333333,415.87,196.926579861111,3.26833333333333,94.6666666666667
"7","S4","2022-06-29",9.574,0.3256,5.3432,7.17837859195402,8.09324925589837,4187.8125,0.298907445634632,0.442436454634632,464.308027870811,138.785126598518,3.34551719806386,3815.402457,10.83713388,39.43372057,0.7,0.8,0.75,14.9428571428571,191.333333333333,140.454861111111,5.1,92.6666666666667
"8","S4","2022-07-22",9.574,0.3256,8.4494,6.45264583333333,8.09324925589837,4187.8125,0.316498034618538,0.460027043618538,488.03188111913,154.461131205393,3.1595772820683,3815.402457,10.83713388,39.43372057,4,0.7,2.35,5.45,179.923333333333,86.4243923611111,4.18233333333333,101.666666666667
"9","S8","2022-06-28",4.017,0.1357,19.50581,6.7782817251462,9.35054123010704,4135.197754,0.485892537987173,0.486479210473177,597.502617951434,290.322063490402,2.05806823900308,18433.6216,3.217019649,17.21070603,1.5,0.7,1.1,15.8428571428571,823,259.572916666667,3.33333333333333,97.3333333333333
"10","S8","2022-07-19",4.017,0.1357,11.40702,7.69540182748538,9.35054123010704,4135.197754,0.593536745125789,0.594123417611793,653.72960437252,388.012541571635,1.68481565499044,18433.6216,3.217019649,17.21070603,3.2,6.1,4.65,5.27142857142857,313.666666666667,90.7118055555556,6.03333333333333,108
