"","Site","Location","Date","Time","ppm_NOTcorrected_review","Watertemp_c","AirPress_kpa","pCO2_air_ppm","air_pressure_atm","water_pressure_atm","pCO2_air_atm","pCO2_air_uatm","ppm_Corrected","pCO2_w_atm","pCO2_w_uatm","KH_mol.l.atm","KH_mol.m3.atm","CO2_sat_mol.L","CO2_mol.L","CO2_umol.L","CO2_sat_precent","New.Name"
"1","Wetland01","edge",2022-07-07,"",NA,5.037,61.64864,418.53,0.608574925962488,0.609542766962488,0.00025470686376308,254.70686376308,NA,NA,NA,0.0631910167487104,63.1910167487104,1.60951856940643e-05,NA,NA,NA,"S1"
"2","Wetland01","middle",2022-07-07,"10:38-10:39",245,5.037,61.64864,418.53,0.608574925962488,0.609542766962488,0.00025470686376308,254.70686376308,366.641371444974,0.000223483596033491,223.483596033491,0.0631910167487104,63.1910167487104,1.60951856940643e-05,1.41221556600143e-05,14.1221556600143,87.7414894642838,"S1"
"3","Wetland01","edge",2022-07-07,"10:52",244,5.037,61.64864,418.53,0.608574925962488,0.609542766962488,0.00025470686376308,254.70686376308,365.144876051321,0.000222571418090497,222.571418090497,0.0631910167487104,63.1910167487104,1.60951856940643e-05,1.40645142083408e-05,14.0645142083408,87.3833609358582,"S1"
"4","Wetland01","edge",2022-07-14,"10:18",376.8703,6.268,61.89142,418.53,0.610971569595262,0.611939410595262,0.000255709931022705,255.709931022705,564.904823652683,0.000345687524828443,345.687524828443,0.0608343065697903,60.8343065697903,1.55559363367751e-05,2.10296608627655e-05,21.0296608627655,135.187367751372,"S1"
"5","Wetland01","middle",2022-07-14,"10:48",312,6.268,61.89142,418.53,0.610971569595262,0.611939410595262,0.000255709931022705,255.709931022705,467.668333056856,0.000286184684084881,286.184684084881,0.0608343065697903,60.8343065697903,1.55559363367751e-05,1.74098468071982e-05,17.4098468071982,111.917704150282,"S1"
"6","Wetland01","edge",2022-07-14,"10:58",316,6.268,61.89142,418.53,0.610971569595262,0.611939410595262,0.000255709931022705,255.709931022705,473.664080916559,0.000289853718496225,289.853718496225,0.0608343065697903,60.8343065697903,1.55559363367751e-05,1.76330499713931e-05,17.6330499713931,113.352546511183,"S1"
"7","Wetland01","edge",2022-07-25,"10:04-10:05",461.8475,6.877,61.83665,418.53,0.610430898321816,0.611398739321816,0.00025548364387463,255.48364387463,693.979196056524,0.000424298005584526,424.298005584526,0.0597084765177927,59.7084765177927,1.52545391509684e-05,2.53341875029899e-05,25.3341875029899,166.076387180675,"S1"
"8","Wetland01","middle",2022-07-25,"10:18-10:19",381.339,6.877,61.83665,418.53,0.610430898321816,0.611398739321816,0.00025548364387463,255.48364387463,573.005878877765,0.000350335071969855,350.335071969855,0.0597084765177927,59.7084765177927,1.52545391509684e-05,2.09179734180713e-05,20.9179734180713,137.126223290353,"S1"
"9","Wetland01","edge",2022-07-25,"10:32-10:33",382.2881,6.877,61.83665,418.53,0.610430898321816,0.611398739321816,0.00025548364387463,255.48364387463,574.432011215771,0.000351207007483418,351.207007483418,0.0597084765177927,59.7084765177927,1.52545391509684e-05,2.09700353592079e-05,20.9700353592079,137.467511484125,"S1"
"10","Wetland02","edge",2022-07-07,"12:13",227.2034,4.5814,61.7099,418.53,0.609179664363277,0.610147505363277,0.000254959964925962,254.959964925962,339.318524181551,0.000207034351052922,207.034351052922,0.0640916858969392,64.0916858969392,1.63408139883294e-05,1.32691805975605e-05,13.2691805975605,81.2026904353562,"S2"
"11","Wetland02","middle",2022-07-07,"12:27",224.2373,4.5814,61.7099,418.53,0.609179664363277,0.610147505363277,0.000254959964925962,254.959964925962,334.888781164611,0.000204331554401736,204.331554401736,0.0640916858969392,64.0916858969392,1.63408139883294e-05,1.30959538035494e-05,13.0959538035494,80.1426037460711,"S2"
"12","Wetland02","edge",2022-07-07,"",NA,4.5814,61.7099,418.53,0.609179664363277,0.610147505363277,0.000254959964925962,254.959964925962,NA,NA,NA,0.0640916858969392,64.0916858969392,1.63408139883294e-05,NA,NA,NA,"S2"
"13","Wetland02","edge",2022-07-14,"10:36-37",261.3559,7.0384,61.92754,418.53,0.611328134254689,0.612295975254689,0.000255859164029615,255.859164029615,392.581384553069,0.000240376001721757,240.376001721757,0.059414421168314,59.414421168314,1.52017241314283e-05,1.42818010050519e-05,14.2818010050519,93.9485605815294,"S2"
"14","Wetland02","middle",2022-07-14,"11:57-58",316.7627,7.0384,61.92754,418.53,0.611328134254689,0.612295975254689,0.000255859164029615,255.859164029615,475.807660514909,0.000291335115528628,291.335115528628,0.059414421168314,59.414421168314,1.52017241314283e-05,1.73095072551373e-05,17.3095072551373,113.865421484339,"S2"
"15","Wetland02","edge",2022-07-14,"12:10-11",342.0169,7.0384,61.92754,418.53,0.611328134254689,0.612295975254689,0.000255859164029615,255.859164029615,513.741867478593,0.000314562077776971,314.562077776971,0.059414421168314,59.414421168314,1.52017241314283e-05,1.86895237726209e-05,18.6895237726209,122.94344780262,"S2"
"16","Wetland02","edge",2022-07-25,"11:18-19",290.4068,7.1794,61.90392,418.53,0.611094965449161,0.612062806449161,0.000255761575889437,255.761575889437,436.511015496241,0.000267172157190602,267.172157190602,0.0591589933379447,59.1589933379447,1.51305973641455e-05,1.58056358673232e-05,15.8056358673232,104.461413432211,"S2"
"17","Wetland02","middle",2022-07-25,"11:33",330.9153,7.1794,61.90392,418.53,0.611094965449161,0.612062806449161,0.000255761575889437,255.761575889437,497.399419181104,0.000304439684430169,304.439684430169,0.0591589933379447,59.1589933379447,1.51305973641455e-05,1.80103452630104e-05,18.0103452630104,119.032612061233,"S2"
"18","Wetland02","edge",2022-07-25,"11:49",292.1864,7.1794,61.90392,418.53,0.611094965449161,0.612062806449161,0.000255761575889437,255.761575889437,439.185935653679,0.000268809376329191,268.809376329191,0.0591589933379447,59.1589933379447,1.51305973641455e-05,1.59024921034357e-05,15.9024921034357,105.101548344148,"S2"
"19","Wetland03","edge",2022-07-07,"13:06",276.0508,4.2688,61.66913,418.53,0.608777196446199,0.609745037446199,0.000254791520028628,254.791520028628,412.016483149856,0.00025122500594666,251.22500594666,0.0647188153332527,64.7188153332527,1.64898053332115e-05,1.62589847669572e-05,16.2589847669572,98.6002226127594,"S3"
