"","Station","DateTime","ppm","WL_Pressure","Temp","adjusted_ppm"
"1","xn10m",2022-06-06 13:00:10,3666.5,646.08,12.787,5752.6960128658
"2","xn10m",2022-06-06 13:00:20,3666.5,645.98,12.787,5753.2462848523
"3","xn10m",2022-06-06 13:00:30,3664.5,645.98,12.787,5750.1435502799
"4","xn10m",2022-06-06 13:00:40,3664.5,646.18,12.787,5749.0436066309
"5","xn10m",2022-06-06 13:00:50,3665,646.08,12.787,5750.369187058
"6","xn10m",2022-06-06 13:01:00,3664.5,646.08,12.787,5749.5935784554
"7","xn10m",2022-06-06 13:01:10,3664.5,646.08,12.787,5749.5935784554
"8","xn10m",2022-06-06 13:01:20,3664.5,646.08,12.787,5749.5935784554
"9","xn10m",2022-06-06 13:01:30,3664,646.08,12.787,5748.8179698528
"10","xn10m",2022-06-06 13:01:40,3674,646.08,12.787,5764.3301419048
"11","xn10m",2022-06-06 13:01:50,3676.5,645.98,12.787,5768.7599577143
"12","xn10m",2022-06-06 13:02:00,3676,646.08,12.787,5767.4325763152
"13","xn10m",2022-06-06 13:02:10,3676,646.18,12.787,5766.8808785592
"14","xn10m",2022-06-06 13:02:20,3676,646.08,12.787,5767.4325763152
"15","xn10m",2022-06-06 13:02:30,3676.5,646.16,12.69,5767.7667666806
"16","xn10m",2022-06-06 13:02:40,3676.5,646.06,12.69,5768.3185394771
"17","xn10m",2022-06-06 13:02:50,3676.5,646.16,12.69,5767.7667666806
"18","xn10m",2022-06-06 13:03:00,3677,645.96,12.69,5769.6460109248
"19","xn10m",2022-06-06 13:03:10,3677,646.16,12.69,5768.5423152508
"20","xn10m",2022-06-06 13:03:20,3679.5,646.16,12.69,5772.4200581018
"21","xn10m",2022-06-06 13:03:30,3680,646.26,12.69,5772.643308592
"22","xn10m",2022-06-06 13:03:40,3677.5,646.16,12.69,5769.317863821
"23","xn10m",2022-06-06 13:03:50,3677,646.16,12.69,5768.5423152508
"24","xn10m",2022-06-06 13:04:00,3674.5,646.16,12.69,5764.6645723998
"25","xn10m",2022-06-06 13:04:10,3671.5,646.16,12.69,5760.0112809786
"26","xn10m",2022-06-06 13:04:20,3671.5,646.16,12.69,5760.0112809786
"27","xn10m",2022-06-06 13:04:30,3669,646.16,12.69,5756.1335381276
"28","xn10m",2022-06-06 13:04:40,3668.5,646.16,12.69,5755.3579895574
