Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,S02591
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (ppm)
5/27/2022,6:20:19 PM,405.4
5/27/2022,6:20:34 PM,406.4
5/27/2022,6:20:49 PM,406.9
5/27/2022,6:21:04 PM,406.4
5/27/2022,6:21:19 PM,408.4
5/27/2022,6:21:34 PM,408.9
5/27/2022,6:21:49 PM,408.9
5/27/2022,6:22:04 PM,407.9
5/27/2022,6:22:19 PM,408.9
5/27/2022,6:22:34 PM,409.4
5/27/2022,6:22:49 PM,411.4
5/27/2022,6:23:04 PM,410.9
5/27/2022,6:23:19 PM,411.4
5/27/2022,6:23:34 PM,411.4
5/27/2022,6:23:49 PM,410.9
5/27/2022,6:24:04 PM,411.4
5/27/2022,6:24:19 PM,414.4
5/27/2022,6:24:34 PM,411.4
5/27/2022,6:24:49 PM,410.4
5/27/2022,6:25:04 PM,411.4
5/27/2022,6:25:19 PM,412.4
5/27/2022,6:25:34 PM,411.4
5/27/2022,6:25:49 PM,410.4
5/27/2022,6:26:04 PM,411.4
5/27/2022,6:26:19 PM,411.9
5/27/2022,6:26:34 PM,411.4
5/27/2022,6:26:49 PM,410.9
5/27/2022,6:27:04 PM,411.9
5/27/2022,6:27:19 PM,413.9
5/27/2022,6:27:34 PM,412.9
5/27/2022,6:27:49 PM,413.9
5/27/2022,6:28:04 PM,416.9
5/27/2022,6:28:19 PM,436.5
5/27/2022,6:28:34 PM,481.1
5/27/2022,6:28:49 PM,464
5/27/2022,6:29:04 PM,437
5/27/2022,6:29:19 PM,415.9
5/27/2022,6:29:34 PM,390.9
5/27/2022,6:29:49 PM,371.3
5/27/2022,6:30:04 PM,353.3
5/27/2022,6:30:19 PM,334.7
5/27/2022,6:30:34 PM,315.2
5/27/2022,6:30:49 PM,472.5
5/27/2022,6:31:04 PM,283.1
5/27/2022,6:31:19 PM,269.6
5/27/2022,6:31:34 PM,254.1
5/27/2022,6:31:49 PM,244.5
5/27/2022,6:32:04 PM,234.5
5/27/2022,6:32:19 PM,211
5/27/2022,6:32:34 PM,196.4
5/27/2022,6:32:49 PM,186.9
5/27/2022,6:33:04 PM,171.4
5/27/2022,6:33:19 PM,165.4
5/27/2022,6:33:34 PM,160.9
5/27/2022,6:33:49 PM,153.8
5/27/2022,6:34:04 PM,142.8
5/27/2022,6:34:19 PM,138.3
5/27/2022,6:34:34 PM,131.3
5/27/2022,6:34:49 PM,118.3
5/27/2022,6:35:04 PM,104.7
5/27/2022,6:35:19 PM,105.7
5/27/2022,6:35:34 PM,98.7
5/27/2022,6:35:49 PM,92.7
5/27/2022,6:36:04 PM,92.7
5/27/2022,6:36:19 PM,93.2
5/27/2022,6:36:34 PM,85.2
5/27/2022,6:36:49 PM,84.7
5/27/2022,6:37:04 PM,82.7
5/27/2022,6:37:19 PM,81.2
5/27/2022,6:37:34 PM,77.7
5/27/2022,6:37:49 PM,72.2
5/27/2022,6:38:04 PM,70.2
5/27/2022,6:38:19 PM,70.2
5/27/2022,6:38:34 PM,67.1
5/27/2022,6:38:49 PM,65.1
5/27/2022,6:39:04 PM,60.6
5/27/2022,6:39:19 PM,55.1
5/27/2022,6:39:34 PM,51.6
5/27/2022,6:39:49 PM,52.6
5/27/2022,6:40:04 PM,53.1
5/27/2022,6:40:19 PM,49.6
5/27/2022,6:40:34 PM,44.6
5/27/2022,6:40:49 PM,45.1
5/27/2022,6:41:04 PM,42.6
5/27/2022,6:41:19 PM,36.6
5/27/2022,6:41:34 PM,37.1
5/27/2022,6:41:49 PM,35.1
5/27/2022,6:42:04 PM,34.6
5/27/2022,6:42:19 PM,32.1
5/27/2022,6:42:34 PM,32.6
5/27/2022,6:42:49 PM,27.1
5/27/2022,6:43:04 PM,26.1
5/27/2022,6:43:19 PM,27.1
5/27/2022,6:43:34 PM,25.1
5/27/2022,6:43:49 PM,27.1
5/27/2022,6:44:04 PM,24.1
5/27/2022,6:44:19 PM,20
5/27/2022,6:44:34 PM,17
5/27/2022,6:44:49 PM,16
5/27/2022,6:45:04 PM,17
5/27/2022,6:45:19 PM,12.5
5/27/2022,6:45:34 PM,9.5
5/27/2022,6:45:49 PM,5
5/27/2022,6:46:04 PM,5.5
5/27/2022,6:46:19 PM,5.5
5/27/2022,6:46:34 PM,9
5/27/2022,6:46:49 PM,9.5
5/27/2022,6:47:04 PM,10.5
5/27/2022,6:47:19 PM,5.5
5/27/2022,6:47:34 PM,5
5/27/2022,6:47:49 PM,5.5
5/27/2022,6:48:04 PM,5.5
5/27/2022,6:48:19 PM,4.5
5/27/2022,6:48:34 PM,5.5
5/27/2022,6:48:49 PM,6
5/27/2022,6:49:04 PM,5.5
5/27/2022,6:49:19 PM,5
5/27/2022,6:49:34 PM,5.5
5/27/2022,6:49:49 PM,5.5
5/27/2022,6:50:04 PM,5
5/27/2022,6:50:19 PM,5.5
5/27/2022,6:50:34 PM,6
5/27/2022,6:50:49 PM,5.5
5/27/2022,6:51:04 PM,4.5
5/27/2022,6:51:19 PM,5.5
5/27/2022,6:51:34 PM,6
5/27/2022,6:51:49 PM,5.5
5/27/2022,6:52:04 PM,5
5/27/2022,6:52:19 PM,5.5
5/27/2022,6:52:34 PM,5.5
5/27/2022,6:52:49 PM,5
5/27/2022,6:53:04 PM,5.5
5/27/2022,6:53:19 PM,6
5/27/2022,6:53:34 PM,5.5
5/27/2022,6:53:49 PM,4.5
5/27/2022,6:54:04 PM,5.5
5/27/2022,6:54:19 PM,6
5/27/2022,6:54:34 PM,5.5
5/27/2022,6:54:49 PM,4.5
5/27/2022,6:55:04 PM,5.5
5/27/2022,6:55:19 PM,6
5/27/2022,6:55:34 PM,5.5
5/27/2022,6:55:49 PM,5
5/27/2022,6:56:04 PM,6
5/27/2022,6:56:19 PM,5.5
5/27/2022,6:56:34 PM,4.5
5/27/2022,6:56:49 PM,5.5
5/27/2022,6:57:04 PM,6
5/27/2022,6:57:19 PM,5.5
5/27/2022,6:57:34 PM,5
5/27/2022,6:57:49 PM,5.5
5/27/2022,6:58:04 PM,5.5
5/27/2022,6:58:19 PM,4.5
5/27/2022,6:58:34 PM,5.5
5/27/2022,6:58:49 PM,6
5/27/2022,6:59:04 PM,5.5
5/27/2022,6:59:19 PM,4.5
5/27/2022,6:59:34 PM,5.5
5/27/2022,6:59:49 PM,6
5/27/2022,7:00:04 PM,5
