Calibrated Vaisala,,,,,,
,,,,,,
Omega name (current),Actual box/Vaisala,Vaisala Type,Location of vaisala (2021),Location of vaisala (2022),Correction_intecept,Correction_slope
Station3,Station 2,new,stn 2,100m,-13.68636,0.948723
Box 3,Box 3,new,x,50m,-6.27667,1.05036
Box 1,Box 1,new,x,0m,65.15813,1.00054
Stn 2,Box 4,new,x,Dead,,
K600,K600,old,x,-10,-105.52898,1.06933
unnamed,2 - old,old,x,station 2,-601.89562,0.94919
Riveros 4,Riveros 4,old,x,Station 3,-231.66433,1.08208
Station 1, Station 1 (riveros 1),old,stn 1,Station 1,-569.69971,0.94351
Station 4,Station 4 (riveros 3),old,stn 4,Station 4,-771.61642,1.01746
Box 6,Box 6,old,,Dead,-252.9031,0.99484
