Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,S02591
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/3/2022,7:59:02 PM,371.8
6/3/2022,7:59:03 PM,371.8
6/3/2022,7:59:04 PM,371.3
6/3/2022,7:59:05 PM,371.3
6/3/2022,7:59:06 PM,371.8
6/3/2022,7:59:07 PM,371.8
6/3/2022,7:59:08 PM,371.8
6/3/2022,7:59:09 PM,372.3
6/3/2022,7:59:10 PM,372.8
6/3/2022,7:59:11 PM,372.8
6/3/2022,7:59:12 PM,372.3
6/3/2022,7:59:13 PM,372.3
6/3/2022,7:59:14 PM,371.8
6/3/2022,7:59:15 PM,371.8
6/3/2022,7:59:16 PM,371.3
6/3/2022,7:59:17 PM,371.3
6/3/2022,7:59:18 PM,371.8
6/3/2022,7:59:19 PM,371.8
6/3/2022,7:59:20 PM,371.8
6/3/2022,7:59:21 PM,372.3
6/3/2022,7:59:22 PM,372.8
6/3/2022,7:59:23 PM,372.8
6/3/2022,7:59:24 PM,372.3
6/3/2022,7:59:25 PM,372.3
6/3/2022,7:59:26 PM,371.8
6/3/2022,7:59:27 PM,371.8
6/3/2022,7:59:28 PM,371.3
6/3/2022,7:59:29 PM,371.3
6/3/2022,7:59:30 PM,371.8
6/3/2022,7:59:31 PM,371.8
6/3/2022,7:59:32 PM,371.8
6/3/2022,7:59:33 PM,372.3
6/3/2022,7:59:34 PM,372.8
6/3/2022,7:59:35 PM,372.8
6/3/2022,7:59:36 PM,372.3
6/3/2022,7:59:37 PM,371.8
6/3/2022,7:59:38 PM,371.8
6/3/2022,7:59:39 PM,371.8
6/3/2022,7:59:40 PM,371.3
6/3/2022,7:59:41 PM,371.3
6/3/2022,7:59:42 PM,371.8
6/3/2022,7:59:43 PM,371.8
6/3/2022,7:59:44 PM,371.8
6/3/2022,7:59:45 PM,372.3
6/3/2022,7:59:46 PM,372.8
6/3/2022,7:59:47 PM,372.8
6/3/2022,7:59:48 PM,372.3
6/3/2022,7:59:49 PM,372.3
6/3/2022,7:59:50 PM,371.8
6/3/2022,7:59:51 PM,371.8
6/3/2022,7:59:52 PM,371.3
6/3/2022,7:59:53 PM,371.3
6/3/2022,7:59:54 PM,371.8
6/3/2022,7:59:55 PM,371.8
6/3/2022,7:59:56 PM,371.8
6/3/2022,7:59:57 PM,372.3
6/3/2022,7:59:58 PM,372.8
6/3/2022,7:59:59 PM,372.8
6/3/2022,8:00:00 PM,372.3
6/3/2022,8:00:01 PM,372.3
6/3/2022,8:00:02 PM,371.8
6/3/2022,8:00:03 PM,371.8
6/3/2022,8:00:04 PM,371.3
6/3/2022,8:00:05 PM,371.3
6/3/2022,8:00:06 PM,371.8
6/3/2022,8:00:07 PM,371.8
6/3/2022,8:00:08 PM,371.8
6/3/2022,8:00:09 PM,372.3
6/3/2022,8:00:10 PM,372.8
6/3/2022,8:00:11 PM,372.8
6/3/2022,8:00:12 PM,372.3
6/3/2022,8:00:13 PM,372.3
6/3/2022,8:00:14 PM,371.8
6/3/2022,8:00:15 PM,371.8
6/3/2022,8:00:16 PM,371.3
6/3/2022,8:00:17 PM,371.3
6/3/2022,8:00:18 PM,371.8
6/3/2022,8:00:19 PM,371.8
6/3/2022,8:00:20 PM,371.8
6/3/2022,8:00:21 PM,372.3
6/3/2022,8:00:22 PM,372.8
6/3/2022,8:00:23 PM,372.8
6/3/2022,8:00:24 PM,372.3
6/3/2022,8:00:25 PM,371.8
6/3/2022,8:00:26 PM,371.8
6/3/2022,8:00:27 PM,371.8
6/3/2022,8:00:28 PM,371.3
6/3/2022,8:00:29 PM,371.3
6/3/2022,8:00:30 PM,371.8
6/3/2022,8:00:31 PM,371.8
6/3/2022,8:00:32 PM,371.8
6/3/2022,8:00:33 PM,372.3
6/3/2022,8:00:34 PM,372.8
6/3/2022,8:00:35 PM,372.8
6/3/2022,8:00:36 PM,372.3
6/3/2022,8:00:37 PM,372.3
6/3/2022,8:00:38 PM,371.8
6/3/2022,8:00:39 PM,371.8
6/3/2022,8:00:40 PM,371.3
6/3/2022,8:00:41 PM,371.3
6/3/2022,8:00:42 PM,371.8
6/3/2022,8:00:43 PM,371.8
6/3/2022,8:00:44 PM,371.8
6/3/2022,8:00:45 PM,372.3
6/3/2022,8:00:46 PM,372.8
6/3/2022,8:00:47 PM,372.8
6/3/2022,8:00:48 PM,372.3
6/3/2022,8:00:49 PM,372.3
6/3/2022,8:00:50 PM,371.8
6/3/2022,8:00:51 PM,371.8
6/3/2022,8:00:52 PM,371.3
6/3/2022,8:00:53 PM,371.3
6/3/2022,8:00:54 PM,371.8
6/3/2022,8:00:55 PM,371.8
6/3/2022,8:00:56 PM,372.3
6/3/2022,8:00:57 PM,372.3
6/3/2022,8:00:58 PM,372.8
6/3/2022,8:00:59 PM,372.8
6/3/2022,8:01:00 PM,372.3
6/3/2022,8:01:01 PM,371.8
6/3/2022,8:01:02 PM,371.8
6/3/2022,8:01:03 PM,371.3
6/3/2022,8:01:04 PM,370.8
6/3/2022,8:01:05 PM,371.3
6/3/2022,8:01:06 PM,371.8
6/3/2022,8:01:07 PM,371.8
6/3/2022,8:01:08 PM,372.3
6/3/2022,8:01:09 PM,372.3
6/3/2022,8:01:10 PM,372.8
6/3/2022,8:01:11 PM,372.3
6/3/2022,8:01:12 PM,372.3
6/3/2022,8:01:13 PM,374.3
6/3/2022,8:01:14 PM,374.3
6/3/2022,8:01:15 PM,373.8
6/3/2022,8:01:16 PM,373.3
6/3/2022,8:01:17 PM,374.3
6/3/2022,8:01:18 PM,374.3
6/3/2022,8:01:19 PM,374.3
6/3/2022,8:01:20 PM,374.8
6/3/2022,8:01:21 PM,375.3
6/3/2022,8:01:22 PM,375.3
6/3/2022,8:01:23 PM,374.8
6/3/2022,8:01:24 PM,374.8
6/3/2022,8:01:25 PM,374.3
6/3/2022,8:01:26 PM,374.3
6/3/2022,8:01:27 PM,373.8
6/3/2022,8:01:28 PM,373.8
6/3/2022,8:01:29 PM,374.3
6/3/2022,8:01:30 PM,374.3
6/3/2022,8:01:31 PM,374.3
6/3/2022,8:01:32 PM,374.8
6/3/2022,8:01:33 PM,377.8
6/3/2022,8:01:34 PM,377.8
6/3/2022,8:01:35 PM,377.3
6/3/2022,8:01:36 PM,377.3
6/3/2022,8:01:37 PM,376.8
6/3/2022,8:01:38 PM,376.8
