Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R98459
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (ppm)
5/27/2022,6:19:25 PM,428
5/27/2022,6:19:40 PM,430
5/27/2022,6:19:55 PM,429
5/27/2022,6:20:10 PM,429.5
5/27/2022,6:20:25 PM,430.5
5/27/2022,6:20:40 PM,430
5/27/2022,6:20:55 PM,426.5
5/27/2022,6:21:10 PM,427
5/27/2022,6:21:25 PM,428
5/27/2022,6:21:40 PM,424.5
5/27/2022,6:21:55 PM,424
5/27/2022,6:22:10 PM,424.5
5/27/2022,6:22:25 PM,428
5/27/2022,6:22:40 PM,427
5/27/2022,6:22:55 PM,427
5/27/2022,6:23:10 PM,427.5
5/27/2022,6:23:25 PM,430
5/27/2022,6:23:40 PM,429
5/27/2022,6:23:55 PM,429.5
5/27/2022,6:24:10 PM,430.5
5/27/2022,6:24:25 PM,430
5/27/2022,6:24:40 PM,429
5/27/2022,6:24:55 PM,430
5/27/2022,6:25:10 PM,428
5/27/2022,6:25:25 PM,427
5/27/2022,6:25:40 PM,427
5/27/2022,6:25:55 PM,427.5
5/27/2022,6:26:10 PM,427.5
5/27/2022,6:26:25 PM,426.5
5/27/2022,6:26:40 PM,427
5/27/2022,6:26:55 PM,425.5
5/27/2022,6:27:10 PM,424.5
5/27/2022,6:27:25 PM,424
5/27/2022,6:27:40 PM,424.5
5/27/2022,6:27:55 PM,422.5
5/27/2022,6:28:10 PM,406.9
5/27/2022,6:28:25 PM,395.4
5/27/2022,6:28:40 PM,384.4
5/27/2022,6:28:55 PM,371.9
5/27/2022,6:29:10 PM,363.3
5/27/2022,6:29:25 PM,353.8
5/27/2022,6:29:40 PM,344.8
5/27/2022,6:29:55 PM,338.8
5/27/2022,6:30:10 PM,323.3
5/27/2022,6:30:25 PM,313.7
5/27/2022,6:30:40 PM,303.7
5/27/2022,6:30:55 PM,300.2
5/27/2022,6:31:10 PM,295.7
5/27/2022,6:31:25 PM,289.2
5/27/2022,6:31:40 PM,285.7
5/27/2022,6:31:55 PM,282.7
5/27/2022,6:32:10 PM,275.6
5/27/2022,6:32:25 PM,264.1
5/27/2022,6:32:40 PM,255.1
5/27/2022,6:32:55 PM,248.1
5/27/2022,6:33:10 PM,238.6
5/27/2022,6:33:25 PM,230.5
5/27/2022,6:33:40 PM,224.5
5/27/2022,6:33:55 PM,215
5/27/2022,6:34:10 PM,208.5
5/27/2022,6:34:25 PM,200.5
5/27/2022,6:34:40 PM,191.4
5/27/2022,6:34:55 PM,184.9
5/27/2022,6:35:10 PM,180.9
5/27/2022,6:35:25 PM,177.4
5/27/2022,6:35:40 PM,168.9
5/27/2022,6:35:55 PM,164.9
5/27/2022,6:36:10 PM,162.9
5/27/2022,6:36:25 PM,159.9
5/27/2022,6:36:40 PM,153.9
5/27/2022,6:36:55 PM,154.9
5/27/2022,6:37:10 PM,150.3
5/27/2022,6:37:25 PM,144.3
5/27/2022,6:37:40 PM,143.8
5/27/2022,6:37:55 PM,142.3
5/27/2022,6:38:10 PM,137.3
5/27/2022,6:38:25 PM,131.8
5/27/2022,6:38:40 PM,128.8
5/27/2022,6:38:55 PM,126.8
5/27/2022,6:39:10 PM,127.3
5/27/2022,6:39:25 PM,124.3
5/27/2022,6:39:40 PM,121.3
5/27/2022,6:39:55 PM,121.8
5/27/2022,6:40:10 PM,119.8
5/27/2022,6:40:25 PM,116.8
5/27/2022,6:40:40 PM,114.3
5/27/2022,6:40:55 PM,114.8
5/27/2022,6:41:10 PM,111.8
5/27/2022,6:41:25 PM,111.3
5/27/2022,6:41:40 PM,109.3
5/27/2022,6:41:55 PM,107.2
5/27/2022,6:42:10 PM,104.2
5/27/2022,6:42:25 PM,101.2
5/27/2022,6:42:40 PM,99.2
5/27/2022,6:42:55 PM,99.7
5/27/2022,6:43:10 PM,99.2
5/27/2022,6:43:25 PM,96.2
5/27/2022,6:43:40 PM,91.7
5/27/2022,6:43:55 PM,92.2
5/27/2022,6:44:10 PM,91.7
5/27/2022,6:44:25 PM,91.2
5/27/2022,6:44:40 PM,91.7
5/27/2022,6:44:55 PM,92.2
5/27/2022,6:45:10 PM,91.7
5/27/2022,6:45:25 PM,91.2
5/27/2022,6:45:40 PM,88.7
5/27/2022,6:45:55 PM,89.7
5/27/2022,6:46:10 PM,89.2
5/27/2022,6:46:25 PM,85.7
5/27/2022,6:46:40 PM,86.7
5/27/2022,6:46:55 PM,87.2
5/27/2022,6:47:10 PM,84.2
5/27/2022,6:47:25 PM,83.2
5/27/2022,6:47:40 PM,81.7
5/27/2022,6:47:55 PM,79.7
5/27/2022,6:48:10 PM,79.2
5/27/2022,6:48:25 PM,78.2
5/27/2022,6:48:40 PM,74.2
5/27/2022,6:48:55 PM,74.7
5/27/2022,6:49:10 PM,74.2
5/27/2022,6:49:25 PM,73.2
5/27/2022,6:49:40 PM,73.7
5/27/2022,6:49:55 PM,74.7
5/27/2022,6:50:10 PM,71.2
5/27/2022,6:50:25 PM,70.7
5/27/2022,6:50:40 PM,71.2
5/27/2022,6:50:55 PM,72.2
5/27/2022,6:51:10 PM,74.2
5/27/2022,6:51:25 PM,70.7
5/27/2022,6:51:40 PM,71.7
5/27/2022,6:51:55 PM,74.7
5/27/2022,6:52:10 PM,71.2
5/27/2022,6:52:25 PM,68.2
5/27/2022,6:52:40 PM,69.2
5/27/2022,6:52:55 PM,69.2
5/27/2022,6:53:10 PM,66.2
5/27/2022,6:53:25 PM,63.6
5/27/2022,6:53:40 PM,64.1
5/27/2022,6:53:55 PM,64.1
5/27/2022,6:54:10 PM,63.6
5/27/2022,6:54:25 PM,63.6
5/27/2022,6:54:40 PM,64.1
5/27/2022,6:54:55 PM,61.6
5/27/2022,6:55:10 PM,58.6
5/27/2022,6:55:25 PM,61.1
5/27/2022,6:55:40 PM,61.6
5/27/2022,6:55:55 PM,61.6
5/27/2022,6:56:10 PM,60.6
5/27/2022,6:56:25 PM,58.6
5/27/2022,6:56:40 PM,62.1
5/27/2022,6:56:55 PM,56.1
5/27/2022,6:57:10 PM,58.1
5/27/2022,6:57:25 PM,58.6
5/27/2022,6:57:40 PM,59.6
5/27/2022,6:57:55 PM,56.1
5/27/2022,6:58:10 PM,55.6
5/27/2022,6:58:25 PM,56.1
5/27/2022,6:58:40 PM,54.6
5/27/2022,6:58:55 PM,56.1
5/27/2022,6:59:10 PM,53.1
5/27/2022,6:59:25 PM,51.1
5/27/2022,6:59:40 PM,54.6
5/27/2022,6:59:55 PM,53.6
5/27/2022,7:00:10 PM,53.1
5/27/2022,7:00:25 PM,51.1
5/27/2022,7:00:40 PM,49.1
5/27/2022,7:00:55 PM,48.6
5/27/2022,7:01:10 PM,53.1
5/27/2022,7:01:25 PM,53.6
5/27/2022,7:01:40 PM,51.6
5/27/2022,7:01:55 PM,48.6
5/27/2022,7:02:10 PM,51.1
5/27/2022,7:02:25 PM,49.1
5/27/2022,7:02:40 PM,51.1
5/27/2022,7:02:55 PM,53.1
5/27/2022,7:03:10 PM,51.1
5/27/2022,7:03:25 PM,51.6
5/27/2022,7:03:40 PM,51.1
5/27/2022,7:03:55 PM,50.1
5/27/2022,7:04:10 PM,46.1
5/27/2022,7:04:25 PM,47.1
5/27/2022,7:04:40 PM,46.1
5/27/2022,7:04:55 PM,45.6
5/27/2022,7:05:10 PM,46.1
5/27/2022,7:05:25 PM,46.6
5/27/2022,7:05:40 PM,43.6
5/27/2022,7:05:55 PM,43.6
5/27/2022,7:06:10 PM,44.1
5/27/2022,7:06:25 PM,43.6
5/27/2022,7:06:40 PM,43.1
5/27/2022,7:06:55 PM,43.6
5/27/2022,7:07:10 PM,47.1
5/27/2022,7:07:25 PM,46.1
5/27/2022,7:07:40 PM,45.1
5/27/2022,7:07:55 PM,46.1
5/27/2022,7:08:10 PM,44.6
5/27/2022,7:08:25 PM,43.6
5/27/2022,7:08:40 PM,42.6
5/27/2022,7:08:55 PM,43.6
5/27/2022,7:09:10 PM,42.1
5/27/2022,7:09:25 PM,41.1
5/27/2022,7:09:40 PM,40.6
5/27/2022,7:09:55 PM,41.1
5/27/2022,7:10:10 PM,39.1
5/27/2022,7:10:25 PM,38.6
5/27/2022,7:10:40 PM,38.1
5/27/2022,7:10:55 PM,36.1
5/27/2022,7:11:10 PM,36.1
5/27/2022,7:11:25 PM,36.1
5/27/2022,7:11:40 PM,36.1
5/27/2022,7:11:55 PM,36.6
5/27/2022,7:12:10 PM,36.1
5/27/2022,7:12:25 PM,38.1
5/27/2022,7:12:40 PM,38.6
5/27/2022,7:12:55 PM,37.1
5/27/2022,7:13:10 PM,36.1
5/27/2022,7:13:25 PM,35.1
5/27/2022,7:13:40 PM,36.1
5/27/2022,7:13:55 PM,37.1
5/27/2022,7:14:10 PM,36.1
5/27/2022,7:14:25 PM,32.6
5/27/2022,7:14:40 PM,36.1
5/27/2022,7:14:55 PM,36.6
5/27/2022,7:15:10 PM,33.6
5/27/2022,7:15:25 PM,30.6
5/27/2022,7:15:40 PM,31.1
5/27/2022,7:15:55 PM,31.6
5/27/2022,7:16:10 PM,28.6
5/27/2022,7:16:25 PM,28.1
5/27/2022,7:16:40 PM,28.6
5/27/2022,7:16:55 PM,28.6
5/27/2022,7:17:10 PM,28.1
5/27/2022,7:17:25 PM,28.1
5/27/2022,7:17:40 PM,29.1
5/27/2022,7:17:55 PM,28.6
5/27/2022,7:18:10 PM,30.6
5/27/2022,7:18:25 PM,33.6
5/27/2022,7:18:40 PM,31.6
5/27/2022,7:18:55 PM,31.1
5/27/2022,7:19:10 PM,30.1
5/27/2022,7:19:25 PM,31.1
5/27/2022,7:19:40 PM,32.1
5/27/2022,7:19:55 PM,31.1
5/27/2022,7:20:10 PM,25.1
5/27/2022,7:20:25 PM,28.6
5/27/2022,7:20:40 PM,31.6
5/27/2022,7:20:55 PM,28.6
5/27/2022,7:21:10 PM,20.5
5/27/2022,7:21:25 PM,23.6
5/27/2022,7:21:40 PM,26.1
5/27/2022,7:21:55 PM,25.6
5/27/2022,7:22:10 PM,21
5/27/2022,7:22:25 PM,24.1
5/27/2022,7:22:40 PM,26.1
5/27/2022,7:22:55 PM,25.6
5/27/2022,7:23:10 PM,23.6
5/27/2022,7:23:25 PM,24.6
5/27/2022,7:23:40 PM,26.1
5/27/2022,7:23:55 PM,25.1
5/27/2022,7:24:10 PM,26.1
5/27/2022,7:24:25 PM,21.6
5/27/2022,7:24:40 PM,21
5/27/2022,7:24:55 PM,23.1
5/27/2022,7:25:10 PM,23.6
5/27/2022,7:25:25 PM,24.1
5/27/2022,7:25:40 PM,23.6
5/27/2022,7:25:55 PM,23.1
5/27/2022,7:26:10 PM,18.5
5/27/2022,7:26:25 PM,18.5
5/27/2022,7:26:40 PM,15.5
5/27/2022,7:26:55 PM,15.5
5/27/2022,7:27:10 PM,21.6
5/27/2022,7:27:25 PM,21
5/27/2022,7:27:40 PM,20
5/27/2022,7:27:55 PM,21
5/27/2022,7:28:10 PM,16.5
5/27/2022,7:28:25 PM,16
5/27/2022,7:28:40 PM,17.5
5/27/2022,7:28:55 PM,18.5
5/27/2022,7:29:10 PM,19
5/27/2022,7:29:25 PM,18.5
5/27/2022,7:29:40 PM,15
5/27/2022,7:29:55 PM,18.5
5/27/2022,7:30:10 PM,19
5/27/2022,7:30:25 PM,18.5
5/27/2022,7:30:40 PM,15.5
5/27/2022,7:30:55 PM,18.5
5/27/2022,7:31:10 PM,16
5/27/2022,7:31:25 PM,15.5
5/27/2022,7:31:40 PM,15.5
5/27/2022,7:31:55 PM,16
5/27/2022,7:32:10 PM,13.5
5/27/2022,7:32:25 PM,12.5
5/27/2022,7:32:40 PM,13.5
5/27/2022,7:32:55 PM,14
5/27/2022,7:33:10 PM,13.5
5/27/2022,7:33:25 PM,12.5
5/27/2022,7:33:40 PM,13.5
5/27/2022,7:33:55 PM,12
5/27/2022,7:34:10 PM,13.5
5/27/2022,7:34:25 PM,10
5/27/2022,7:34:40 PM,13.5
5/27/2022,7:34:55 PM,13.5
5/27/2022,7:35:10 PM,13
5/27/2022,7:35:25 PM,13
5/27/2022,7:35:40 PM,11
5/27/2022,7:35:55 PM,13.5
5/27/2022,7:36:10 PM,15.5
5/27/2022,7:36:25 PM,10.5
5/27/2022,7:36:40 PM,11.5
5/27/2022,7:36:55 PM,16
5/27/2022,7:37:10 PM,12.5
5/27/2022,7:37:25 PM,10.5
5/27/2022,7:37:40 PM,9
5/27/2022,7:37:55 PM,8.5
5/27/2022,7:38:10 PM,12.5
5/27/2022,7:38:25 PM,6
5/27/2022,7:38:40 PM,44.6
5/27/2022,7:38:55 PM,1100.6
5/27/2022,7:39:10 PM,2712.8
5/27/2022,7:39:25 PM,4726.5
5/27/2022,7:39:40 PM,7075.9
5/27/2022,7:39:55 PM,9737.6
5/27/2022,7:40:10 PM,6
