Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,Q98478
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (ppm)
5/27/2022,6:21:27 PM,424
5/27/2022,6:21:42 PM,426.5
5/27/2022,6:21:57 PM,429
5/27/2022,6:22:12 PM,429.5
5/27/2022,6:22:27 PM,428.5
5/27/2022,6:22:42 PM,431.5
5/27/2022,6:22:57 PM,431.5
5/27/2022,6:23:12 PM,431
5/27/2022,6:23:27 PM,432
5/27/2022,6:23:42 PM,431.5
5/27/2022,6:23:57 PM,431.5
5/27/2022,6:24:12 PM,432
5/27/2022,6:24:27 PM,431
5/27/2022,6:24:42 PM,432
5/27/2022,6:24:57 PM,431.5
5/27/2022,6:25:12 PM,431.5
5/27/2022,6:25:27 PM,429.5
5/27/2022,6:25:42 PM,428
5/27/2022,6:25:57 PM,431.5
5/27/2022,6:26:12 PM,431.5
5/27/2022,6:26:27 PM,431.5
5/27/2022,6:26:42 PM,432.5
5/27/2022,6:26:57 PM,431
5/27/2022,6:27:12 PM,431.5
5/27/2022,6:27:27 PM,431.5
5/27/2022,6:27:42 PM,431
5/27/2022,6:27:57 PM,432
5/27/2022,6:28:12 PM,434
5/27/2022,6:28:27 PM,434
5/27/2022,6:28:42 PM,437
5/27/2022,6:28:57 PM,446.1
5/27/2022,6:29:12 PM,447.1
5/27/2022,6:29:27 PM,444.1
5/27/2022,6:29:42 PM,426
5/27/2022,6:29:57 PM,417
5/27/2022,6:30:12 PM,406
5/27/2022,6:30:27 PM,406.5
5/27/2022,6:30:42 PM,475.6
5/27/2022,6:30:57 PM,436.5
5/27/2022,6:31:12 PM,432
5/27/2022,6:31:27 PM,428.5
5/27/2022,6:31:42 PM,429
5/27/2022,6:31:57 PM,426.5
5/27/2022,6:32:12 PM,426.5
5/27/2022,6:32:27 PM,419.5
5/27/2022,6:32:42 PM,403.5
5/27/2022,6:32:57 PM,386.4
5/27/2022,6:33:12 PM,373.4
5/27/2022,6:33:27 PM,350.8
5/27/2022,6:33:42 PM,333.8
5/27/2022,6:33:57 PM,312.2
5/27/2022,6:34:12 PM,305.2
5/27/2022,6:34:27 PM,292.7
5/27/2022,6:34:42 PM,284.7
5/27/2022,6:34:57 PM,273.1
5/27/2022,6:35:12 PM,259.6
5/27/2022,6:35:27 PM,252.6
5/27/2022,6:35:42 PM,247.6
5/27/2022,6:35:57 PM,239.1
5/27/2022,6:36:12 PM,240.1
5/27/2022,6:36:27 PM,229.5
5/27/2022,6:36:42 PM,227
5/27/2022,6:36:57 PM,222.5
5/27/2022,6:37:12 PM,219
5/27/2022,6:37:27 PM,214.5
5/27/2022,6:37:42 PM,212
5/27/2022,6:37:57 PM,206.5
5/27/2022,6:38:12 PM,202.5
5/27/2022,6:38:27 PM,194
5/27/2022,6:38:42 PM,192
5/27/2022,6:38:57 PM,186.9
5/27/2022,6:39:12 PM,180.9
5/27/2022,6:39:27 PM,177.4
5/27/2022,6:39:42 PM,173.9
5/27/2022,6:39:57 PM,169.4
5/27/2022,6:40:12 PM,164.4
5/27/2022,6:40:27 PM,163.4
5/27/2022,6:40:42 PM,161.9
5/27/2022,6:40:57 PM,158.9
5/27/2022,6:41:12 PM,153.9
5/27/2022,6:41:27 PM,154.4
5/27/2022,6:41:42 PM,150.9
5/27/2022,6:41:57 PM,148.9
5/27/2022,6:42:12 PM,148.9
5/27/2022,6:42:27 PM,146.3
5/27/2022,6:42:42 PM,147.3
5/27/2022,6:42:57 PM,143.8
5/27/2022,6:43:12 PM,143.8
5/27/2022,6:43:27 PM,141.3
5/27/2022,6:43:42 PM,138.3
5/27/2022,6:43:57 PM,136.8
5/27/2022,6:44:12 PM,133.8
5/27/2022,6:44:27 PM,133.8
5/27/2022,6:44:42 PM,129.3
5/27/2022,6:44:57 PM,125.3
5/27/2022,6:45:12 PM,123.8
