Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R35852
Device ID:,,Box 3 newV
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/9/2022,9:32:12 PM,1779.4
6/9/2022,9:32:13 PM,1779.4
6/9/2022,9:32:14 PM,1779.9
6/9/2022,9:32:15 PM,1780.4
6/9/2022,9:32:16 PM,1780.9
6/9/2022,9:32:17 PM,1780.9
6/9/2022,9:32:18 PM,1780.4
6/9/2022,9:32:19 PM,1780.4
6/9/2022,9:32:20 PM,1779.9
6/9/2022,9:32:21 PM,1779.9
6/9/2022,9:32:22 PM,1779.9
6/9/2022,9:32:23 PM,1779.9
6/9/2022,9:32:24 PM,1779.9
6/9/2022,9:32:25 PM,1779.4
6/9/2022,9:32:26 PM,1778.9
6/9/2022,9:32:27 PM,1779.4
6/9/2022,9:32:28 PM,1779.4
6/9/2022,9:32:29 PM,1779.9
6/9/2022,9:32:30 PM,1779.9
6/9/2022,9:32:31 PM,1779.9
6/9/2022,9:32:32 PM,1779.9
6/9/2022,9:32:33 PM,1779.9
6/9/2022,9:32:34 PM,1780.4
6/9/2022,9:32:35 PM,1780.9
6/9/2022,9:32:36 PM,1780.9
6/9/2022,9:32:37 PM,1780.4
6/9/2022,9:32:38 PM,1780.4
6/9/2022,9:32:39 PM,1780.4
6/9/2022,9:32:40 PM,1779.9
6/9/2022,9:32:41 PM,1779.9
6/9/2022,9:32:42 PM,1779.9
6/9/2022,9:32:43 PM,1779.9
6/9/2022,9:32:44 PM,1779.4
6/9/2022,9:32:45 PM,1778.9
6/9/2022,9:32:46 PM,1778.9
6/9/2022,9:32:47 PM,1779.4
6/9/2022,9:32:48 PM,1779.4
6/9/2022,9:32:49 PM,1779.9
6/9/2022,9:32:50 PM,1779.9
6/9/2022,9:32:51 PM,1779.9
6/9/2022,9:32:52 PM,1779.9
6/9/2022,9:32:53 PM,1779.9
6/9/2022,9:32:54 PM,1780.4
6/9/2022,9:32:55 PM,1783.4
6/9/2022,9:32:56 PM,1782.9
6/9/2022,9:32:57 PM,1782.9
6/9/2022,9:32:58 PM,1782.9
6/9/2022,9:32:59 PM,1782.4
6/9/2022,9:33:00 PM,1782.4
6/9/2022,9:33:01 PM,1782.4
6/9/2022,9:33:02 PM,1782.4
6/9/2022,9:33:03 PM,1782.4
6/9/2022,9:33:04 PM,1781.4
6/9/2022,9:33:05 PM,1783.9
6/9/2022,9:33:06 PM,1784.4
6/9/2022,9:33:07 PM,1784.4
6/9/2022,9:33:08 PM,1784.9
6/9/2022,9:33:09 PM,1784.9
6/9/2022,9:33:10 PM,1784.9
6/9/2022,9:33:11 PM,1784.9
6/9/2022,9:33:12 PM,1784.9
6/9/2022,9:33:13 PM,1785.4
6/9/2022,9:33:14 PM,1785.4
6/9/2022,9:33:15 PM,1785.9
6/9/2022,9:33:16 PM,1785.9
6/9/2022,9:33:17 PM,1785.4
6/9/2022,9:33:18 PM,1785.4
6/9/2022,9:33:19 PM,1787.4
6/9/2022,9:33:20 PM,1787.4
6/9/2022,9:33:21 PM,1787.4
6/9/2022,9:33:22 PM,1787.4
6/9/2022,9:33:23 PM,1786.9
6/9/2022,9:33:24 PM,1786.4
6/9/2022,9:33:25 PM,1786.9
6/9/2022,9:33:26 PM,1786.9
6/9/2022,9:33:27 PM,1786.9
6/9/2022,9:33:28 PM,1787.4
6/9/2022,9:33:29 PM,1787.4
6/9/2022,9:33:30 PM,1787.4
6/9/2022,9:33:31 PM,1789.9
6/9/2022,9:33:32 PM,1790.4
6/9/2022,9:33:33 PM,1790.4
6/9/2022,9:33:34 PM,1790.9
6/9/2022,9:33:35 PM,1790.9
6/9/2022,9:33:36 PM,1790.4
6/9/2022,9:33:37 PM,1790.4
6/9/2022,9:33:38 PM,1789.9
6/9/2022,9:33:39 PM,1789.9
6/9/2022,9:33:40 PM,1789.9
6/9/2022,9:33:41 PM,1789.9
6/9/2022,9:33:42 PM,1789.9
6/9/2022,9:33:43 PM,1789.4
6/9/2022,9:33:44 PM,1789.4
6/9/2022,9:33:45 PM,1788.9
6/9/2022,9:33:46 PM,1789.4
6/9/2022,9:33:47 PM,1789.9
6/9/2022,9:33:48 PM,1789.9
6/9/2022,9:33:49 PM,1789.9
6/9/2022,9:33:50 PM,1789.9
6/9/2022,9:33:51 PM,1789.9
6/9/2022,9:33:52 PM,1790.4
6/9/2022,9:33:53 PM,1790.4
6/9/2022,9:33:54 PM,1790.9
6/9/2022,9:33:55 PM,1790.9
6/9/2022,9:33:56 PM,1790.4
6/9/2022,9:33:57 PM,1789.9
6/9/2022,9:33:58 PM,1789.9
6/9/2022,9:33:59 PM,1789.9
6/9/2022,9:34:00 PM,1789.9
6/9/2022,9:34:01 PM,1789.9
6/9/2022,9:34:02 PM,1789.9
6/9/2022,9:34:03 PM,1792
6/9/2022,9:34:04 PM,1792
6/9/2022,9:34:05 PM,1791.5
6/9/2022,9:34:06 PM,1792
6/9/2022,9:34:07 PM,1792.5
6/9/2022,9:34:08 PM,1792.5
6/9/2022,9:34:09 PM,1792.5
6/9/2022,9:34:10 PM,1792.5
6/9/2022,9:34:11 PM,1792.5
6/9/2022,9:34:12 PM,1794.5
6/9/2022,9:34:13 PM,1796
6/9/2022,9:34:14 PM,1796
6/9/2022,9:34:15 PM,1796
6/9/2022,9:34:16 PM,1795.5
6/9/2022,9:34:17 PM,1795
6/9/2022,9:34:18 PM,1795
6/9/2022,9:34:19 PM,1795
6/9/2022,9:34:20 PM,1795
6/9/2022,9:34:21 PM,1795
6/9/2022,9:34:22 PM,1794.5
6/9/2022,9:34:23 PM,1794.5
6/9/2022,9:34:24 PM,1796.5
6/9/2022,9:34:25 PM,1797
6/9/2022,9:34:26 PM,1797.5
6/9/2022,9:34:27 PM,1797.5
6/9/2022,9:34:28 PM,1800
6/9/2022,9:34:29 PM,1800
6/9/2022,9:34:30 PM,1802.5
6/9/2022,9:34:31 PM,1802.5
6/9/2022,9:34:32 PM,1805.5
6/9/2022,9:34:33 PM,1806
6/9/2022,9:34:34 PM,1808.5
6/9/2022,9:34:35 PM,1808
6/9/2022,9:34:36 PM,1808
6/9/2022,9:34:37 PM,1807.5
6/9/2022,9:34:38 PM,1807.5
6/9/2022,9:34:39 PM,1807.5
6/9/2022,9:34:40 PM,1807.5
6/9/2022,9:34:41 PM,1807.5
6/9/2022,9:34:42 PM,1809.5
6/9/2022,9:34:43 PM,1809
6/9/2022,9:34:44 PM,1809.5
6/9/2022,9:34:45 PM,1809.5
6/9/2022,9:34:46 PM,1812.5
6/9/2022,9:34:47 PM,1812.5
6/9/2022,9:34:48 PM,1812.5
6/9/2022,9:34:49 PM,1812.5
6/9/2022,9:34:50 PM,1812.5
6/9/2022,9:34:51 PM,1813
6/9/2022,9:34:52 PM,1813
6/9/2022,9:34:53 PM,1813.5
6/9/2022,9:34:54 PM,1813
6/9/2022,9:34:55 PM,1813
6/9/2022,9:34:56 PM,1813
6/9/2022,9:34:57 PM,1812.5
6/9/2022,9:34:58 PM,1812.5
6/9/2022,9:34:59 PM,1812.5
6/9/2022,9:35:00 PM,1812.5
6/9/2022,9:35:01 PM,1812
6/9/2022,9:35:02 PM,1812
6/9/2022,9:35:03 PM,1811.5
6/9/2022,9:35:04 PM,1812
6/9/2022,9:35:05 PM,1812
6/9/2022,9:35:06 PM,1812.5
6/9/2022,9:35:07 PM,1812.5
6/9/2022,9:35:08 PM,1812.5
6/9/2022,9:35:09 PM,1812.5
6/9/2022,9:35:10 PM,1812.5
6/9/2022,9:35:11 PM,1813
6/9/2022,9:35:12 PM,1813.5
6/9/2022,9:35:13 PM,1813.5
6/9/2022,9:35:14 PM,1813
6/9/2022,9:35:15 PM,1813
6/9/2022,9:35:16 PM,1812.5
6/9/2022,9:35:17 PM,1812.5
