Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37301
Device ID:,,Station 3
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/9/2022,7:22:02 PM,4730.3
6/9/2022,7:22:03 PM,4729.8
6/9/2022,7:22:04 PM,4730.3
6/9/2022,7:22:05 PM,4730.8
6/9/2022,7:22:06 PM,4730.8
6/9/2022,7:22:07 PM,4730.8
6/9/2022,7:22:08 PM,4730.8
6/9/2022,7:22:09 PM,4732.8
6/9/2022,7:22:10 PM,4734.3
6/9/2022,7:22:11 PM,4733.8
6/9/2022,7:22:12 PM,4733.3
6/9/2022,7:22:13 PM,4733.3
6/9/2022,7:22:14 PM,4733.3
6/9/2022,7:22:15 PM,4733.3
6/9/2022,7:22:16 PM,4732.8
6/9/2022,7:22:17 PM,4734.8
6/9/2022,7:22:18 PM,4735.3
6/9/2022,7:22:19 PM,4735.3
6/9/2022,7:22:20 PM,4735.8
6/9/2022,7:22:21 PM,4737.8
6/9/2022,7:22:22 PM,4738.3
6/9/2022,7:22:23 PM,4738.8
6/9/2022,7:22:24 PM,4739.3
6/9/2022,7:22:25 PM,4738.8
6/9/2022,7:22:26 PM,4738.3
6/9/2022,7:22:27 PM,4738.3
6/9/2022,7:22:28 PM,4738.3
6/9/2022,7:22:29 PM,4738.3
6/9/2022,7:22:30 PM,4737.8
6/9/2022,7:22:31 PM,4737.3
6/9/2022,7:22:32 PM,4737.8
6/9/2022,7:22:33 PM,4738.3
6/9/2022,7:22:34 PM,4738.3
6/9/2022,7:22:35 PM,4738.3
6/9/2022,7:22:36 PM,4738.3
6/9/2022,7:22:37 PM,4738.8
6/9/2022,7:22:38 PM,4738.8
6/9/2022,7:22:39 PM,4738.8
6/9/2022,7:22:40 PM,4738.3
6/9/2022,7:22:41 PM,4738.3
6/9/2022,7:22:42 PM,4738.3
6/9/2022,7:22:43 PM,4737.8
6/9/2022,7:22:44 PM,4737.8
6/9/2022,7:22:45 PM,4737.3
6/9/2022,7:22:46 PM,4737.8
6/9/2022,7:22:47 PM,4738.3
6/9/2022,7:22:48 PM,4738.3
6/9/2022,7:22:49 PM,4738.3
6/9/2022,7:22:50 PM,4738.3
6/9/2022,7:22:51 PM,4738.8
6/9/2022,7:22:52 PM,4739.3
6/9/2022,7:22:53 PM,4738.8
6/9/2022,7:22:54 PM,4738.3
6/9/2022,7:22:55 PM,4738.3
6/9/2022,7:22:56 PM,4738.3
6/9/2022,7:22:57 PM,4738.3
6/9/2022,7:22:58 PM,4737.8
6/9/2022,7:22:59 PM,4737.3
