Serial_number:,,,,
2106253,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: kPa,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
10/12/2022,1:15:00 PM,0,62.5108,33.68
10/12/2022,1:30:00 PM,0,62.5181,17.124
10/12/2022,1:45:00 PM,0,62.4609,10.773
10/12/2022,2:00:00 PM,0,62.4404,8.604
10/12/2022,2:15:00 PM,0,62.4004,7.677
10/12/2022,2:30:00 PM,0,62.3688,7.235
10/12/2022,2:45:00 PM,0,62.3701,7.4
10/12/2022,3:00:00 PM,0,62.3514,6.87
10/12/2022,3:15:00 PM,0,62.3352,6.787
10/12/2022,3:30:00 PM,0,62.3217,6.733
10/12/2022,3:45:00 PM,0,62.3423,6.692
10/12/2022,4:00:00 PM,0,62.3377,6.663
10/12/2022,4:15:00 PM,0,62.3452,6.64
10/12/2022,4:30:00 PM,0,62.336,6.622
10/12/2022,4:45:00 PM,0,62.3471,6.608
10/12/2022,5:00:00 PM,0,62.3599,6.596
10/12/2022,5:15:00 PM,0,62.3602,6.586
10/12/2022,5:30:00 PM,0,62.3607,6.577
10/12/2022,5:45:00 PM,0,62.3553,6.566
10/12/2022,6:00:00 PM,0,62.365,6.549
10/12/2022,6:15:00 PM,0,62.3702,6.54
10/12/2022,6:30:00 PM,0,62.3809,6.538
10/12/2022,6:45:00 PM,0,62.3855,6.538
10/12/2022,7:00:00 PM,0,62.4059,6.538
10/12/2022,7:15:00 PM,0,62.4167,6.537
10/12/2022,7:30:00 PM,0,62.4392,6.535
10/12/2022,7:45:00 PM,0,62.4553,6.533
10/12/2022,8:00:00 PM,0,62.4467,6.532
10/12/2022,8:15:00 PM,0,62.452,6.528
10/12/2022,8:30:00 PM,0,62.4569,6.519
10/12/2022,8:45:00 PM,0,62.4707,6.514
10/12/2022,9:00:00 PM,0,62.486,6.497
10/12/2022,9:15:00 PM,0,62.4926,6.472
10/12/2022,9:30:00 PM,0,62.4969,6.456
10/12/2022,9:45:00 PM,0,62.5181,6.447
10/12/2022,10:00:00 PM,0,62.5218,6.47
10/12/2022,10:15:00 PM,0,62.5312,6.49
10/12/2022,10:30:00 PM,0,62.529,6.499
10/12/2022,10:45:00 PM,0,62.5326,6.505
10/12/2022,11:00:00 PM,0,62.5235,6.512
10/12/2022,11:15:00 PM,0,62.522,6.519
10/12/2022,11:30:00 PM,0,62.5156,6.512
10/12/2022,11:45:00 PM,0,62.4988,6.496
10/13/2022,12:00:00 AM,0,62.4923,6.47
10/13/2022,12:15:00 AM,0,62.4751,6.465
10/13/2022,12:30:00 AM,0,62.465,6.471
10/13/2022,12:45:00 AM,0,62.4494,6.481
10/13/2022,1:00:00 AM,0,62.429,6.48
10/13/2022,1:15:00 AM,0,62.4096,6.484
10/13/2022,1:30:00 AM,0,62.3915,6.484
10/13/2022,1:45:00 AM,0,62.386,6.481
10/13/2022,2:00:00 AM,0,62.3762,6.479
10/13/2022,2:15:00 AM,0,62.377,6.48
10/13/2022,2:30:00 AM,0,62.3755,6.466
10/13/2022,2:45:00 AM,0,62.3683,6.454
10/13/2022,3:00:00 AM,0,62.3599,6.443
10/13/2022,3:15:00 AM,0,62.3542,6.444
10/13/2022,3:30:00 AM,0,62.3497,6.45
10/13/2022,3:45:00 AM,0,62.3527,6.457
10/13/2022,4:00:00 AM,0,62.3465,6.457
10/13/2022,4:15:00 AM,0,62.3496,6.454
10/13/2022,4:30:00 AM,0,62.3443,6.449
10/13/2022,4:45:00 AM,0,62.3359,6.432
10/13/2022,5:00:00 AM,0,62.3452,6.417
10/13/2022,5:15:00 AM,0,62.3407,6.401
10/13/2022,5:30:00 AM,0,62.3442,6.4
10/13/2022,5:45:00 AM,0,62.3532,6.398
10/13/2022,6:00:00 AM,0,62.3537,6.389
10/13/2022,6:15:00 AM,0,62.3686,6.388
10/13/2022,6:30:00 AM,0,62.3813,6.38
10/13/2022,6:45:00 AM,0,62.3935,6.39
10/13/2022,7:00:00 AM,0,62.4082,6.409
10/13/2022,7:15:00 AM,0,62.4246,6.423
10/13/2022,7:30:00 AM,0,62.4374,6.455
10/13/2022,7:45:00 AM,0,62.4426,6.485
10/13/2022,8:00:00 AM,0,62.4571,6.508
10/13/2022,8:15:00 AM,0,62.4639,6.529
10/13/2022,8:30:00 AM,0,62.4753,6.545
10/13/2022,8:45:00 AM,0,62.4905,6.557
10/13/2022,9:00:00 AM,0,62.5062,6.569
10/13/2022,9:15:00 AM,0,62.5166,6.581
10/13/2022,9:30:00 AM,0,62.5169,6.59
10/13/2022,9:45:00 AM,0,62.5243,6.6
10/13/2022,10:00:00 AM,0,62.5356,6.602
10/13/2022,10:15:00 AM,0,62.5279,6.602
10/13/2022,10:30:00 AM,0,62.5263,6.609
10/13/2022,10:45:00 AM,0,62.5188,6.616
10/13/2022,11:00:00 AM,0,62.5055,6.617
10/13/2022,11:15:00 AM,0,62.4874,6.621
10/13/2022,11:30:00 AM,0,62.4703,6.625
10/13/2022,11:45:00 AM,0,62.4557,6.63
10/13/2022,12:00:00 PM,0,62.4452,6.635
10/13/2022,12:15:00 PM,0,62.4328,6.634
10/13/2022,12:30:00 PM,0,62.4092,6.628
10/13/2022,12:45:00 PM,0,62.386,6.629
10/13/2022,1:00:00 PM,0,62.3755,6.629
10/13/2022,1:15:00 PM,0,62.3579,6.626
10/13/2022,1:30:00 PM,0,62.3554,6.621
10/13/2022,1:45:00 PM,0,62.3391,6.617
10/13/2022,2:00:00 PM,0,62.3311,6.614
10/13/2022,2:15:00 PM,0,62.3152,6.613
10/13/2022,2:30:00 PM,0,62.2888,6.611
10/13/2022,2:45:00 PM,0,62.2887,6.61
10/13/2022,3:00:00 PM,0,62.2971,6.608
10/13/2022,3:15:00 PM,0,62.2896,6.607
10/13/2022,3:30:00 PM,0,62.3016,6.606
10/13/2022,3:45:00 PM,0,62.2971,6.603
10/13/2022,4:00:00 PM,0,62.2962,6.602
10/13/2022,4:15:00 PM,0,62.3011,6.601
10/13/2022,4:30:00 PM,0,62.3006,6.6
10/13/2022,4:45:00 PM,0,62.2927,6.6
10/13/2022,5:00:00 PM,0,62.2965,6.6
10/13/2022,5:15:00 PM,0,62.3008,6.601
10/13/2022,5:30:00 PM,0,62.3097,6.602
10/13/2022,5:45:00 PM,0,62.3096,6.601
10/13/2022,6:00:00 PM,0,62.3128,6.6
10/13/2022,6:15:00 PM,0,62.3144,6.598
10/13/2022,6:30:00 PM,0,62.316,6.597
10/13/2022,6:45:00 PM,0,62.3229,6.597
10/13/2022,7:00:00 PM,0,62.3359,6.598
10/13/2022,7:15:00 PM,0,62.3605,6.597
10/13/2022,7:30:00 PM,0,62.365,6.598
10/13/2022,7:45:00 PM,0,62.382,6.6
10/13/2022,8:00:00 PM,0,62.4072,6.602
10/13/2022,8:15:00 PM,0,62.4341,6.605
10/13/2022,8:30:00 PM,0,62.4498,6.607
10/13/2022,8:45:00 PM,0,62.4593,6.61
10/13/2022,9:00:00 PM,0,62.4689,6.613
10/13/2022,9:15:00 PM,0,62.4813,6.614
10/13/2022,9:30:00 PM,0,62.4886,6.613
10/13/2022,9:45:00 PM,0,62.4938,6.615
10/13/2022,10:00:00 PM,0,62.5051,6.618
10/13/2022,10:15:00 PM,0,62.5164,6.62
10/13/2022,10:30:00 PM,0,62.5241,6.618
10/13/2022,10:45:00 PM,0,62.5194,6.619
10/13/2022,11:00:00 PM,0,62.5085,6.617
10/13/2022,11:15:00 PM,0,62.5075,6.612
10/13/2022,11:30:00 PM,0,62.4995,6.603
10/13/2022,11:45:00 PM,0,62.5016,6.587
10/14/2022,12:00:00 AM,0,62.491,6.585
10/14/2022,12:15:00 AM,0,62.4783,6.579
10/14/2022,12:30:00 AM,0,62.4505,6.566
10/14/2022,12:45:00 AM,0,62.4295,6.553
10/14/2022,1:00:00 AM,0,62.409,6.548
10/14/2022,1:15:00 AM,0,62.3945,6.542
10/14/2022,1:30:00 AM,0,62.373,6.534
10/14/2022,1:45:00 AM,0,62.3547,6.527
10/14/2022,2:00:00 AM,0,62.3439,6.522
10/14/2022,2:15:00 AM,0,62.3507,6.514
