Serial_number:
2106253
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/30/2022,01:00:00 pm,0,62.4670,13.014
6/30/2022,01:15:00 pm,0,62.4356,8.920
6/30/2022,01:30:00 pm,0,62.4111,7.654
6/30/2022,01:45:00 pm,0,62.3919,7.106
6/30/2022,02:00:00 pm,0,62.3718,6.844
6/30/2022,02:15:00 pm,0,62.3486,6.707
6/30/2022,02:30:00 pm,0,62.3385,6.630
6/30/2022,02:45:00 pm,0,62.3245,6.585
6/30/2022,03:00:00 pm,0,62.3156,6.555
6/30/2022,03:15:00 pm,0,62.3097,6.535
6/30/2022,03:30:00 pm,0,62.2996,6.521
6/30/2022,03:45:00 pm,0,62.3032,6.510
6/30/2022,04:00:00 pm,0,62.2960,6.502
6/30/2022,04:15:00 pm,0,62.3013,6.496
6/30/2022,04:30:00 pm,0,62.2992,6.490
6/30/2022,04:45:00 pm,0,62.3008,6.484
6/30/2022,05:00:00 pm,0,62.3080,6.479
6/30/2022,05:15:00 pm,0,62.3190,6.475
6/30/2022,05:30:00 pm,0,62.3253,6.473
6/30/2022,05:45:00 pm,0,62.3257,6.470
6/30/2022,06:00:00 pm,0,62.3226,6.467
6/30/2022,06:15:00 pm,0,62.3306,6.464
6/30/2022,06:30:00 pm,0,62.3409,6.458
6/30/2022,06:45:00 pm,0,62.3467,6.454
6/30/2022,07:00:00 pm,0,62.3486,6.452
6/30/2022,07:15:00 pm,0,62.3477,6.444
6/30/2022,07:30:00 pm,0,62.3561,6.424
6/30/2022,07:45:00 pm,0,62.3679,6.418
6/30/2022,08:00:00 pm,0,62.3805,6.416
6/30/2022,08:15:00 pm,0,62.3905,6.417
6/30/2022,08:30:00 pm,0,62.4086,6.421
6/30/2022,08:45:00 pm,0,62.4063,6.428
6/30/2022,09:00:00 pm,0,62.4209,6.428
6/30/2022,09:15:00 pm,0,62.4304,6.429
6/30/2022,09:30:00 pm,0,62.4380,6.435
6/30/2022,09:45:00 pm,0,62.4352,6.441
6/30/2022,10:00:00 pm,0,62.4193,6.446
6/30/2022,10:15:00 pm,0,62.4347,6.448
6/30/2022,10:30:00 pm,0,62.4287,6.450
6/30/2022,10:45:00 pm,0,62.4434,6.452
6/30/2022,11:00:00 pm,0,62.4373,6.455
6/30/2022,11:15:00 pm,0,62.4382,6.457
6/30/2022,11:30:00 pm,0,62.4477,6.457
6/30/2022,11:45:00 pm,0,62.4404,6.457
7/1/2022,12:00:00 am,0,62.4292,6.460
7/1/2022,12:15:00 am,0,62.4289,6.461
7/1/2022,12:30:00 am,0,62.4194,6.455
7/1/2022,12:45:00 am,0,62.4080,6.450
7/1/2022,01:00:00 am,0,62.3987,6.448
7/1/2022,01:15:00 am,0,62.3746,6.452
7/1/2022,01:30:00 am,0,62.3619,6.453
7/1/2022,01:45:00 am,0,62.3573,6.455
7/1/2022,02:00:00 am,0,62.3514,6.459
7/1/2022,02:15:00 am,0,62.3411,6.465
7/1/2022,02:30:00 am,0,62.3297,6.470
7/1/2022,02:45:00 am,0,62.3231,6.474
7/1/2022,03:00:00 am,0,62.3034,6.476
7/1/2022,03:15:00 am,0,62.2985,6.479
7/1/2022,03:30:00 am,0,62.2878,6.481
7/1/2022,03:45:00 am,0,62.2946,6.483
7/1/2022,04:00:00 am,0,62.2923,6.484
7/1/2022,04:15:00 am,0,62.2853,6.486
7/1/2022,04:30:00 am,0,62.2806,6.487
7/1/2022,04:45:00 am,0,62.2833,6.488
7/1/2022,05:00:00 am,0,62.2882,6.489
7/1/2022,05:15:00 am,0,62.2847,6.490
7/1/2022,05:30:00 am,0,62.2939,6.491
7/1/2022,05:45:00 am,0,62.3074,6.491
7/1/2022,06:00:00 am,0,62.3185,6.492
7/1/2022,06:15:00 am,0,62.3157,6.493
7/1/2022,06:30:00 am,0,62.3241,6.494
7/1/2022,06:45:00 am,0,62.3270,6.496
7/1/2022,07:00:00 am,0,62.3388,6.497
7/1/2022,07:15:00 am,0,62.3469,6.499
7/1/2022,07:30:00 am,0,62.3674,6.500
7/1/2022,07:45:00 am,0,62.3790,6.502
