"Título de trazado: WL_02"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, kPa (LGR S/N: 20968506, SEN S/N: 20968506)","Temp, °C (LGR S/N: 20968506, SEN S/N: 20968506)","Acoplador separado (LGR S/N: 20968506)","Acoplador adjunto (LGR S/N: 20968506)","Host conectado (LGR S/N: 20968506)","Parado (LGR S/N: 20968506)","Final de archivo (LGR S/N: 20968506)"
1,10/12/22 01:45:00 PM,62.981,11.236,Registrado,,,,
2,10/12/22 02:00:00 PM,62.958,10.455,,,,,
3,10/12/22 02:15:00 PM,62.929,10.259,,,,,
4,10/12/22 02:30:00 PM,62.889,10.063,,,,,
5,10/12/22 02:45:00 PM,62.886,9.965,,,,,
6,10/12/22 03:00:00 PM,62.857,9.768,,,,,
7,10/12/22 03:15:00 PM,62.862,9.571,,,,,
8,10/12/22 03:30:00 PM,62.833,9.373,,,,,
9,10/12/22 03:45:00 PM,62.847,9.077,,,,,
10,10/12/22 04:00:00 PM,62.858,8.680,,,,,
11,10/12/22 04:15:00 PM,62.860,8.382,,,,,
12,10/12/22 04:30:00 PM,62.854,8.182,,,,,
13,10/12/22 04:45:00 PM,62.870,7.983,,,,,
14,10/12/22 05:00:00 PM,62.875,7.782,,,,,
15,10/12/22 05:15:00 PM,62.858,7.582,,,,,
16,10/12/22 05:30:00 PM,62.866,7.481,,,,,
17,10/12/22 05:45:00 PM,62.828,7.381,,,,,
18,10/12/22 06:00:00 PM,62.867,7.179,,,,,
19,10/12/22 06:15:00 PM,62.876,7.079,,,,,
20,10/12/22 06:30:00 PM,62.884,6.978,,,,,
21,10/12/22 06:45:00 PM,62.884,6.978,,,,,
22,10/12/22 07:00:00 PM,62.907,6.978,,,,,
23,10/12/22 07:15:00 PM,62.907,6.978,,,,,
24,10/12/22 07:30:00 PM,62.930,6.978,,,,,
25,10/12/22 07:45:00 PM,62.941,6.978,,,,,
26,10/12/22 08:00:00 PM,62.918,6.978,,,,,
27,10/12/22 08:15:00 PM,62.953,6.978,,,,,
28,10/12/22 08:30:00 PM,62.961,6.877,,,,,
29,10/12/22 08:45:00 PM,62.958,6.775,,,,,
30,10/12/22 09:00:00 PM,62.977,6.674,,,,,
31,10/12/22 09:15:00 PM,62.982,6.471,,,,,
32,10/12/22 09:30:00 PM,62.967,6.370,,,,,
33,10/12/22 09:45:00 PM,63.010,6.268,,,,,
34,10/12/22 10:00:00 PM,62.983,6.166,,,,,
35,10/12/22 10:15:00 PM,63.006,6.166,,,,,
36,10/12/22 10:30:00 PM,63.010,6.268,,,,,
37,10/12/22 10:45:00 PM,63.010,6.268,,,,,
38,10/12/22 11:00:00 PM,63.010,6.268,,,,,
39,10/12/22 11:15:00 PM,62.998,6.268,,,,,
40,10/12/22 11:30:00 PM,63.001,6.370,,,,,
41,10/12/22 11:45:00 PM,62.975,6.268,,,,,
42,10/13/22 12:00:00 AM,62.960,6.166,,,,,
43,10/13/22 12:15:00 AM,62.957,6.064,,,,,
44,10/13/22 12:30:00 AM,62.942,5.962,,,,,
45,10/13/22 12:45:00 AM,62.907,5.962,,,,,
46,10/13/22 01:00:00 AM,62.904,5.860,,,,,
47,10/13/22 01:15:00 AM,62.870,5.860,,,,,
48,10/13/22 01:30:00 AM,62.858,5.860,,,,,
49,10/13/22 01:45:00 AM,62.847,5.860,,,,,
50,10/13/22 02:00:00 AM,62.847,5.860,,,,,
51,10/13/22 02:15:00 AM,62.832,5.757,,,,,
52,10/13/22 02:30:00 AM,62.843,5.757,,,,,
53,10/13/22 02:45:00 AM,62.843,5.757,,,,,
54,10/13/22 03:00:00 AM,62.832,5.757,,,,,
55,10/13/22 03:15:00 AM,62.832,5.757,,,,,
56,10/13/22 03:30:00 AM,62.832,5.757,,,,,
57,10/13/22 03:45:00 AM,62.820,5.757,,,,,
58,10/13/22 04:00:00 AM,62.820,5.757,,,,,
59,10/13/22 04:15:00 AM,62.809,5.757,,,,,
60,10/13/22 04:30:00 AM,62.797,5.757,,,,,
61,10/13/22 04:45:00 AM,62.805,5.655,,,,,
62,10/13/22 05:00:00 AM,62.805,5.655,,,,,
63,10/13/22 05:15:00 AM,62.802,5.552,,,,,
64,10/13/22 05:30:00 AM,62.798,5.450,,,,,
65,10/13/22 05:45:00 AM,62.810,5.450,,,,,
66,10/13/22 06:00:00 AM,62.818,5.347,,,,,
67,10/13/22 06:15:00 AM,62.803,5.244,,,,,
68,10/13/22 06:30:00 AM,62.837,5.244,,,,,
69,10/13/22 06:45:00 AM,62.849,5.244,,,,,
70,10/13/22 07:00:00 AM,62.860,5.244,,,,,
71,10/13/22 07:15:00 AM,62.887,5.347,,,,,
72,10/13/22 07:30:00 AM,62.902,5.450,,,,,
73,10/13/22 07:45:00 AM,62.909,5.655,,,,,
74,10/13/22 08:00:00 AM,62.923,5.757,,,,,
75,10/13/22 08:15:00 AM,62.942,5.962,,,,,
76,10/13/22 08:30:00 AM,62.934,6.064,,,,,
77,10/13/22 08:45:00 AM,62.964,6.268,,,,,
78,10/13/22 09:00:00 AM,62.982,6.471,,,,,
79,10/13/22 09:15:00 AM,63.000,6.674,,,,,
80,10/13/22 09:30:00 AM,62.995,6.877,,,,,
81,10/13/22 09:45:00 AM,63.013,7.079,,,,,
82,10/13/22 10:00:00 AM,63.035,7.381,,,,,
83,10/13/22 10:15:00 AM,63.015,7.481,,,,,
84,10/13/22 10:30:00 AM,63.036,7.782,,,,,
85,10/13/22 10:45:00 AM,63.034,8.082,,,,,
86,10/13/22 11:00:00 AM,63.003,8.182,,,,,
87,10/13/22 11:15:00 AM,62.998,8.382,,,,,
88,10/13/22 11:30:00 AM,62.973,8.680,,,,,
89,10/13/22 11:45:00 AM,62.959,8.978,,,,,
90,10/13/22 12:00:00 PM,62.968,9.275,,,,,
91,10/13/22 12:15:00 PM,62.957,9.669,,,,,
92,10/13/22 12:30:00 PM,62.940,9.866,,,,,
93,10/13/22 12:45:00 PM,62.912,10.063,,,,,
94,10/13/22 01:00:00 PM,62.903,10.161,,,,,
95,10/13/22 01:15:00 PM,62.877,10.063,,,,,
96,10/13/22 01:30:00 PM,62.866,10.063,,,,,
97,10/13/22 01:45:00 PM,62.860,9.866,,,,,
98,10/13/22 02:00:00 PM,62.845,9.768,,,,,
99,10/13/22 02:15:00 PM,62.816,9.571,,,,,
100,10/13/22 02:30:00 PM,62.796,9.275,,,,,
101,10/13/22 02:45:00 PM,62.801,9.077,,,,,
102,10/13/22 03:00:00 PM,62.798,8.978,,,,,
103,10/13/22 03:15:00 PM,62.792,8.779,,,,,
104,10/13/22 03:30:00 PM,62.797,8.581,,,,,
105,10/13/22 03:45:00 PM,62.783,8.481,,,,,
106,10/13/22 04:00:00 PM,62.788,8.282,,,,,
107,10/13/22 04:15:00 PM,62.808,8.182,,,,,
108,10/13/22 04:30:00 PM,62.801,7.983,,,,,
109,10/13/22 04:45:00 PM,62.764,7.882,,,,,
110,10/13/22 05:00:00 PM,62.775,7.882,,,,,
111,10/13/22 05:15:00 PM,62.772,7.782,,,,,
112,10/13/22 05:30:00 PM,62.784,7.782,,,,,
113,10/13/22 05:45:00 PM,62.792,7.682,,,,,
114,10/13/22 06:00:00 PM,62.780,7.682,,,,,
115,10/13/22 06:15:00 PM,62.803,7.682,,,,,
116,10/13/22 06:30:00 PM,62.800,7.582,,,,,
117,10/13/22 06:45:00 PM,62.800,7.582,,,,,
118,10/13/22 07:00:00 PM,62.797,7.481,,,,,
119,10/13/22 07:15:00 PM,62.828,7.381,,,,,
120,10/13/22 07:30:00 PM,62.851,7.381,,,,,
121,10/13/22 07:45:00 PM,62.863,7.381,,,,,
122,10/13/22 08:00:00 PM,62.874,7.381,,,,,
123,10/13/22 08:15:00 PM,62.905,7.280,,,,,
124,10/13/22 08:30:00 PM,62.940,7.280,,,,,
125,10/13/22 08:45:00 PM,62.928,7.280,,,,,
126,10/13/22 09:00:00 PM,62.940,7.280,,,,,
127,10/13/22 09:15:00 PM,62.963,7.280,,,,,
128,10/13/22 09:30:00 PM,62.948,7.179,,,,,
129,10/13/22 09:45:00 PM,62.959,7.179,,,,,
