"Plot Title: WL_03"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20028184, SEN S/N: 20028184)","Temp, °C (LGR S/N: 20028184, SEN S/N: 20028184)","Coupler Detached (LGR S/N: 20028184)","Coupler Attached (LGR S/N: 20028184)","Host Connected (LGR S/N: 20028184)","Stopped (LGR S/N: 20028184)","End Of File (LGR S/N: 20028184)"
1,07/27/22 10:45:00 AM,65.026,7.079,Logged,,,,
2,07/27/22 11:00:00 AM,65.162,6.978,,,,,
3,07/27/22 11:15:00 AM,65.127,7.079,,,,,
4,07/27/22 11:30:00 AM,64.940,7.179,,,,,
5,07/27/22 11:45:00 AM,65.109,7.381,,,,,
6,07/27/22 12:00:00 PM,65.074,7.481,,,,,
7,07/27/22 12:15:00 PM,65.038,7.582,,,,,
8,07/27/22 12:30:00 PM,65.117,7.682,,,,,
9,07/27/22 12:45:00 PM,65.081,7.782,,,,,
10,07/27/22 01:00:00 PM,64.997,7.983,,,,,
11,07/27/22 01:15:00 PM,65.002,8.182,,,,,
12,07/27/22 01:30:00 PM,64.919,8.382,,,,,
13,07/27/22 01:45:00 PM,64.977,8.680,,,,,
14,07/27/22 02:00:00 PM,64.918,8.879,,,,,
15,07/27/22 02:15:00 PM,64.873,9.077,,,,,
16,07/27/22 02:30:00 PM,65.012,9.077,,,,,
17,07/27/22 02:45:00 PM,65.037,9.077,,,,,
18,07/27/22 03:00:00 PM,64.870,8.978,,,,,
19,07/27/22 03:15:00 PM,64.822,9.077,,,,,
20,07/27/22 03:30:00 PM,64.789,9.275,,,,,
21,07/27/22 03:45:00 PM,64.865,9.275,,,,,
22,07/27/22 04:00:00 PM,64.814,9.275,,,,,
23,07/27/22 04:15:00 PM,64.814,9.275,,,,,
24,07/27/22 04:30:00 PM,64.751,9.275,,,,,
25,07/27/22 04:45:00 PM,64.751,9.275,,,,,
26,07/27/22 05:00:00 PM,64.637,9.275,,,,,
27,07/27/22 05:15:00 PM,64.612,9.275,,,,,
28,07/27/22 05:30:00 PM,64.571,9.176,,,,,
29,07/27/22 05:45:00 PM,64.718,8.978,,,,,
30,07/27/22 06:00:00 PM,64.716,8.879,,,,,
31,07/27/22 06:15:00 PM,64.688,8.779,,,,,
32,07/27/22 06:30:00 PM,64.683,8.581,,,,,
33,07/27/22 06:45:00 PM,64.719,8.481,,,,,
34,07/27/22 07:00:00 PM,64.539,8.382,,,,,
35,07/27/22 07:15:00 PM,64.764,8.282,,,,,
36,07/27/22 07:30:00 PM,64.597,8.182,,,,,
37,07/27/22 07:45:00 PM,64.696,8.082,,,,,
38,07/27/22 08:00:00 PM,64.694,7.983,,,,,
39,07/27/22 08:15:00 PM,64.808,7.983,,,,,
40,07/27/22 08:30:00 PM,64.818,7.882,,,,,
41,07/27/22 08:45:00 PM,64.727,7.782,,,,,
42,07/27/22 09:00:00 PM,64.724,7.682,,,,,
43,07/27/22 09:15:00 PM,64.861,7.582,,,,,
44,07/27/22 09:30:00 PM,64.694,7.481,,,,,
45,07/27/22 09:45:00 PM,64.770,7.481,,,,,
46,07/27/22 10:00:00 PM,64.641,7.381,,,,,
