Serial_number:
2020430
Project ID:

Location:
Well_01
Well_01
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well_01,TEMPERATURE
3/15/2022,12:00:00 pm,0,65.8662,7.712
3/15/2022,12:15:00 pm,0,65.8576,7.670
3/15/2022,12:30:00 pm,0,65.8466,7.664
3/15/2022,12:45:00 pm,0,65.8360,7.665
3/15/2022,01:00:00 pm,0,65.8161,7.648
3/15/2022,01:15:00 pm,0,65.7962,7.653
3/15/2022,01:30:00 pm,0,65.7774,7.659
3/15/2022,01:45:00 pm,0,65.7625,7.664
3/15/2022,02:00:00 pm,0,65.7505,7.669
3/15/2022,02:15:00 pm,0,65.7376,7.676
3/15/2022,02:30:00 pm,0,65.7344,7.684
3/15/2022,02:45:00 pm,0,65.7198,7.691
3/15/2022,03:00:00 pm,0,65.7197,7.700
3/15/2022,03:15:00 pm,0,65.7041,7.707
3/15/2022,03:30:00 pm,0,65.6972,7.714
3/15/2022,03:45:00 pm,0,65.6873,7.723
3/15/2022,04:00:00 pm,0,65.6802,7.734
3/15/2022,04:15:00 pm,0,65.6807,7.742
3/15/2022,04:30:00 pm,0,65.6779,7.749
3/15/2022,04:45:00 pm,0,65.6759,7.756
3/15/2022,05:00:00 pm,0,65.6886,7.763
3/15/2022,05:15:00 pm,0,65.6960,7.769
3/15/2022,05:30:00 pm,0,65.6931,7.775
3/15/2022,05:45:00 pm,0,65.6981,7.781
3/15/2022,06:00:00 pm,0,65.7089,7.788
3/15/2022,06:15:00 pm,0,65.7263,7.793
3/15/2022,06:30:00 pm,0,65.7369,7.798
3/15/2022,06:45:00 pm,0,65.7435,7.802
3/15/2022,07:00:00 pm,0,65.7598,7.808
3/15/2022,07:15:00 pm,0,65.7673,7.812
3/15/2022,07:30:00 pm,0,65.7749,7.818
3/15/2022,07:45:00 pm,0,65.7905,7.825
3/15/2022,08:00:00 pm,0,65.8032,7.835
