Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
3/15/2022,10:15:00 am,0,70.6824,6.422
3/15/2022,10:30:00 am,0,70.6767,6.355
3/15/2022,10:45:00 am,0,70.6792,6.338
3/15/2022,11:00:00 am,0,70.6831,6.339
3/15/2022,11:15:00 am,0,70.6801,6.356
3/15/2022,11:30:00 am,0,70.6716,6.380
3/15/2022,11:45:00 am,0,70.6550,6.392
3/15/2022,12:00:00 pm,0,70.6388,6.400
3/15/2022,12:15:00 pm,0,70.6238,6.415
3/15/2022,12:30:00 pm,0,70.6031,6.431
3/15/2022,12:45:00 pm,0,70.5857,6.445
3/15/2022,01:00:00 pm,0,70.5631,6.459
3/15/2022,01:15:00 pm,0,70.5387,6.472
3/15/2022,01:30:00 pm,0,70.5061,6.487
3/15/2022,01:45:00 pm,0,70.4875,6.498
3/15/2022,02:00:00 pm,0,70.4613,6.506
3/15/2022,02:15:00 pm,0,70.4458,6.515
3/15/2022,02:30:00 pm,0,70.4339,6.526
3/15/2022,02:45:00 pm,0,70.4177,6.535
3/15/2022,03:00:00 pm,0,70.4222,6.544
3/15/2022,03:15:00 pm,0,70.4077,6.552
3/15/2022,03:30:00 pm,0,70.3974,6.559
3/15/2022,03:45:00 pm,0,70.3838,6.568
3/15/2022,04:00:00 pm,0,70.3776,6.575
3/15/2022,04:15:00 pm,0,70.3729,6.581
3/15/2022,04:30:00 pm,0,70.3670,6.589
3/15/2022,04:45:00 pm,0,70.3675,6.596
3/15/2022,05:00:00 pm,0,70.3793,6.604
3/15/2022,05:15:00 pm,0,70.3809,6.610
3/15/2022,05:30:00 pm,0,70.3809,6.618
3/15/2022,05:45:00 pm,0,70.3736,6.623
3/15/2022,06:00:00 pm,0,70.3861,6.629
3/15/2022,06:15:00 pm,0,70.4007,6.638
3/15/2022,06:30:00 pm,0,70.4023,6.644
3/15/2022,06:45:00 pm,0,70.4097,6.648
3/15/2022,07:00:00 pm,0,70.4260,6.657
3/15/2022,07:15:00 pm,0,70.4221,6.661
3/15/2022,07:30:00 pm,0,70.4287,6.668
3/15/2022,07:45:00 pm,0,70.4391,6.673
