Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
7/28/2022,01:04:51 pm,0,61.5170,9.925
7/28/2022,01:19:51 pm,0,70.5252,6.435
7/28/2022,01:34:51 pm,0,70.5494,6.336
7/28/2022,01:49:51 pm,0,70.5597,6.307
7/28/2022,02:04:51 pm,0,70.5584,6.294
7/28/2022,02:19:51 pm,0,70.5519,6.285
7/28/2022,02:34:51 pm,0,70.5355,6.278
7/28/2022,02:49:51 pm,0,70.5190,6.271
7/28/2022,03:04:51 pm,0,70.5019,6.266
7/28/2022,03:19:51 pm,0,70.4813,6.262
7/28/2022,03:34:51 pm,0,70.4665,6.260
7/28/2022,03:49:51 pm,0,70.4584,6.263
7/28/2022,04:04:51 pm,0,70.4537,6.263
7/28/2022,04:19:51 pm,0,70.4343,6.259
7/28/2022,04:34:51 pm,0,70.4336,6.257
7/28/2022,04:49:51 pm,0,70.4298,6.254
7/28/2022,05:04:51 pm,0,70.4202,6.248
7/28/2022,05:19:51 pm,0,70.4196,6.248
7/28/2022,05:34:51 pm,0,70.4249,6.252
7/28/2022,05:49:51 pm,0,70.4290,6.257
7/28/2022,06:04:51 pm,0,70.4252,6.255
7/28/2022,06:19:51 pm,0,70.4360,6.255
7/28/2022,06:34:51 pm,0,70.4428,6.256
7/28/2022,06:49:51 pm,0,70.4495,6.256
7/28/2022,07:04:51 pm,0,70.4626,6.256
7/28/2022,07:19:51 pm,0,70.4714,6.256
7/28/2022,07:34:51 pm,0,70.4801,6.258
7/28/2022,07:49:51 pm,0,70.4874,6.258
7/28/2022,08:04:51 pm,0,70.4919,6.258
7/28/2022,08:19:51 pm,0,70.4987,6.259
7/28/2022,08:34:51 pm,0,70.5036,6.260
7/28/2022,08:49:51 pm,0,70.5087,6.261
7/28/2022,09:04:51 pm,0,70.5195,6.263
7/28/2022,09:19:51 pm,0,70.5237,6.265
7/28/2022,09:34:51 pm,0,70.5416,6.265
7/28/2022,09:49:51 pm,0,70.5552,6.265
7/28/2022,10:04:51 pm,0,70.5501,6.267
7/28/2022,10:19:51 pm,0,70.5552,6.268
7/28/2022,10:34:51 pm,0,70.5540,6.270
7/28/2022,10:49:51 pm,0,70.5584,6.270
7/28/2022,11:04:51 pm,0,70.5605,6.271
7/28/2022,11:19:51 pm,0,70.5492,6.273
7/28/2022,11:34:51 pm,0,70.5404,6.273
7/28/2022,11:49:51 pm,0,70.5292,6.275
7/29/2022,12:04:51 am,0,70.5202,6.276
7/29/2022,12:19:51 am,0,70.5081,6.276
7/29/2022,12:34:51 am,0,70.5110,6.277
7/29/2022,12:49:51 am,0,70.4997,6.279
7/29/2022,01:04:51 am,0,70.4969,6.280
7/29/2022,01:19:51 am,0,70.4858,6.266
7/29/2022,01:34:51 am,0,70.4747,6.240
7/29/2022,01:49:51 am,0,70.4578,6.182
7/29/2022,02:04:51 am,0,70.4474,6.121
7/29/2022,02:19:51 am,0,70.4330,6.079
7/29/2022,02:34:51 am,0,70.4256,6.056
7/29/2022,02:49:51 am,0,70.4138,6.039
