Serial_number:
2020437
Project ID:

Location:
BelowLake_upstream
BelowLake_upstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_upstream,TEMPERATURE
7/28/2022,01:10:37 pm,0,61.5677,24.546
7/28/2022,01:25:37 pm,0,65.9948,11.166
7/28/2022,01:40:37 pm,0,65.8316,6.807
7/28/2022,01:55:37 pm,0,65.8183,6.416
7/28/2022,02:10:37 pm,0,65.8137,6.271
7/28/2022,02:25:37 pm,0,65.7931,6.194
7/28/2022,02:40:37 pm,0,65.7778,6.148
7/28/2022,02:55:37 pm,0,65.7578,6.115
7/28/2022,03:10:37 pm,0,65.7349,6.093
7/28/2022,03:25:37 pm,0,65.7190,6.076
7/28/2022,03:40:37 pm,0,65.7120,6.063
7/28/2022,03:55:37 pm,0,65.7067,6.052
7/28/2022,04:10:37 pm,0,65.6900,6.044
7/28/2022,04:25:37 pm,0,65.6822,6.037
7/28/2022,04:40:37 pm,0,65.6809,6.032
7/28/2022,04:55:37 pm,0,65.6756,6.029
7/28/2022,05:10:37 pm,0,65.6666,6.026
7/28/2022,05:25:37 pm,0,65.6697,6.023
7/28/2022,05:40:37 pm,0,65.6712,6.023
7/28/2022,05:55:37 pm,0,65.6766,6.022
7/28/2022,06:10:37 pm,0,65.6790,6.022
7/28/2022,06:25:37 pm,0,65.6904,6.023
7/28/2022,06:40:37 pm,0,65.6933,6.024
7/28/2022,06:55:37 pm,0,65.7065,6.025
7/28/2022,07:10:37 pm,0,65.7135,6.028
7/28/2022,07:25:37 pm,0,65.7203,6.030
7/28/2022,07:40:37 pm,0,65.7270,6.033
7/28/2022,07:55:37 pm,0,65.7316,6.037
7/28/2022,08:10:37 pm,0,65.7348,6.041
7/28/2022,08:25:37 pm,0,65.7456,6.045
7/28/2022,08:40:37 pm,0,65.7523,6.049
7/28/2022,08:55:37 pm,0,65.7549,6.053
7/28/2022,09:10:37 pm,0,65.7634,6.058
7/28/2022,09:25:37 pm,0,65.7730,6.063
7/28/2022,09:40:37 pm,0,65.7888,6.067
7/28/2022,09:55:37 pm,0,65.7883,6.072
7/28/2022,10:10:37 pm,0,65.7904,6.077
7/28/2022,10:25:37 pm,0,65.7910,6.082
7/28/2022,10:40:37 pm,0,65.7945,6.087
7/28/2022,10:55:37 pm,0,65.7929,6.092
7/28/2022,11:10:37 pm,0,65.7941,6.095
7/28/2022,11:25:37 pm,0,65.7832,6.100
7/28/2022,11:40:37 pm,0,65.7759,6.105
7/28/2022,11:55:37 pm,0,65.7634,6.108
7/29/2022,12:10:37 am,0,65.7535,6.113
7/29/2022,12:25:37 am,0,65.7473,6.116
7/29/2022,12:40:37 am,0,65.7430,6.120
7/29/2022,12:55:37 am,0,65.7279,6.124
7/29/2022,01:10:37 am,0,65.7293,6.126
7/29/2022,01:25:37 am,0,65.7160,6.128
7/29/2022,01:40:37 am,0,65.7065,6.132
7/29/2022,01:55:37 am,0,65.6894,6.133
7/29/2022,02:10:37 am,0,65.6734,6.136
7/29/2022,02:25:37 am,0,65.6595,6.138
7/29/2022,02:40:37 am,0,65.6542,6.140
7/29/2022,02:55:37 am,0,65.6460,6.141
7/29/2022,03:10:37 am,0,65.6409,6.142
7/29/2022,03:25:37 am,0,65.6312,6.144
7/29/2022,03:40:37 am,0,65.6286,6.145
7/29/2022,03:55:37 am,0,65.6186,6.146
7/29/2022,04:10:37 am,0,65.6137,6.146
7/29/2022,04:25:37 am,0,65.6172,6.146
7/29/2022,04:40:37 am,0,65.6158,6.146
7/29/2022,04:55:37 am,0,65.6154,6.146
7/29/2022,05:10:37 am,0,65.6246,6.145
7/29/2022,05:25:37 am,0,65.6300,6.145
7/29/2022,05:40:37 am,0,65.6377,6.145
7/29/2022,05:55:37 am,0,65.6419,6.144
7/29/2022,06:10:37 am,0,65.6395,6.143
7/29/2022,06:25:37 am,0,65.6511,6.143
7/29/2022,06:40:37 am,0,65.6543,6.141
7/29/2022,06:55:37 am,0,65.6655,6.139
7/29/2022,07:10:37 am,0,65.6749,6.138
7/29/2022,07:25:37 am,0,65.6915,6.136
7/29/2022,07:40:37 am,0,65.6988,6.133
7/29/2022,07:55:37 am,0,65.7145,6.132
7/29/2022,08:10:37 am,0,65.7335,6.130
7/29/2022,08:25:37 am,0,65.7391,6.128
7/29/2022,08:40:37 am,0,65.7445,6.125
7/29/2022,08:55:37 am,0,65.7540,6.123
7/29/2022,09:10:37 am,0,65.7582,6.120
7/29/2022,09:25:37 am,0,65.7590,6.117
7/29/2022,09:40:37 am,0,65.7572,6.114
7/29/2022,09:55:37 am,0,65.7586,6.111
7/29/2022,10:10:37 am,0,65.7637,6.108
7/29/2022,10:25:37 am,0,65.7531,6.106
7/29/2022,10:40:37 am,0,65.7484,6.102
7/29/2022,10:55:37 am,0,65.7510,6.099
7/29/2022,11:10:37 am,0,65.7499,6.096
7/29/2022,11:25:37 am,0,65.7377,6.094
7/29/2022,11:40:37 am,0,65.7344,6.090
7/29/2022,11:55:37 am,0,65.7277,6.088
7/29/2022,12:10:37 pm,0,65.7129,6.086
7/29/2022,12:25:37 pm,0,65.7031,6.084
7/29/2022,12:40:37 pm,0,65.7034,6.082
7/29/2022,12:55:37 pm,0,65.6916,6.080
7/29/2022,01:10:37 pm,0,65.6844,6.079
7/29/2022,01:25:37 pm,0,65.6805,6.078
7/29/2022,01:40:37 pm,0,65.6660,6.078
7/29/2022,01:55:37 pm,0,65.6529,6.078
7/29/2022,02:10:37 pm,0,65.6414,6.079
7/29/2022,02:25:37 pm,0,65.6275,6.080
7/29/2022,02:40:37 pm,0,65.6150,6.081
7/29/2022,02:55:37 pm,0,65.5896,6.083
7/29/2022,03:10:37 pm,0,65.5854,6.087
7/29/2022,03:25:37 pm,0,65.5748,6.090
7/29/2022,03:40:37 pm,0,65.5720,6.094
7/29/2022,03:55:37 pm,0,65.5630,6.097
7/29/2022,04:10:37 pm,0,65.5576,6.102
7/29/2022,04:25:37 pm,0,65.5535,6.107
7/29/2022,04:40:37 pm,0,65.5548,6.113
7/29/2022,04:55:37 pm,0,65.5463,6.119
7/29/2022,05:10:37 pm,0,65.5458,6.125
7/29/2022,05:25:37 pm,0,65.5444,6.131
7/29/2022,05:40:37 pm,0,65.5545,6.138
7/29/2022,05:55:37 pm,0,65.5507,6.146
7/29/2022,06:10:37 pm,0,65.5585,6.153
7/29/2022,06:25:37 pm,0,65.5512,6.159
7/29/2022,06:40:37 pm,0,65.5501,6.168
7/29/2022,06:55:37 pm,0,65.5549,6.176
7/29/2022,07:10:37 pm,0,65.5648,6.185
7/29/2022,07:25:37 pm,0,65.5632,6.193
7/29/2022,07:40:37 pm,0,65.5591,6.201
7/29/2022,07:55:37 pm,0,65.5556,6.211
7/29/2022,08:10:37 pm,0,65.5536,6.220
7/29/2022,08:25:37 pm,0,65.5581,6.229
7/29/2022,08:40:37 pm,0,65.5661,6.238
7/29/2022,08:55:37 pm,0,65.5735,6.247
7/29/2022,09:10:37 pm,0,65.5731,6.256
7/29/2022,09:25:37 pm,0,65.5931,6.264
7/29/2022,09:40:37 pm,0,65.6065,6.273
7/29/2022,09:55:37 pm,0,65.6206,6.282
7/29/2022,10:10:37 pm,0,65.6264,6.290
7/29/2022,10:25:37 pm,0,65.6190,6.298
7/29/2022,10:40:37 pm,0,65.6241,6.306
7/29/2022,10:55:37 pm,0,65.6259,6.315
7/29/2022,11:10:37 pm,0,65.6206,6.322
7/29/2022,11:25:37 pm,0,65.6374,6.329
