Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
6/9/2022,11:15:00 am,0,70.5161,6.863
6/9/2022,11:30:00 am,0,70.5504,6.720
6/9/2022,11:45:00 am,0,70.5519,6.716
6/9/2022,12:00:00 pm,0,70.5327,6.722
6/9/2022,12:15:00 pm,0,70.5317,6.732
6/9/2022,12:30:00 pm,0,70.5173,6.738
6/9/2022,12:45:00 pm,0,67.6109,6.733
6/9/2022,01:00:00 pm,0,69.8134,6.733
6/9/2022,01:15:00 pm,0,70.2823,6.740
6/9/2022,01:30:00 pm,0,70.3965,6.747
6/9/2022,01:45:00 pm,0,70.4259,6.753
6/9/2022,02:00:00 pm,0,70.4211,6.763
6/9/2022,02:15:00 pm,0,70.4145,6.769
6/9/2022,02:30:00 pm,0,70.3946,6.773
6/9/2022,02:45:00 pm,0,70.3809,6.780
6/9/2022,03:00:00 pm,0,70.3691,6.785
6/9/2022,03:15:00 pm,0,70.3540,6.786
6/9/2022,03:30:00 pm,0,70.3549,6.788
6/9/2022,03:45:00 pm,0,70.3691,6.789
6/9/2022,04:00:00 pm,0,70.3722,6.791
6/9/2022,04:15:00 pm,0,70.3703,6.794
6/9/2022,04:30:00 pm,0,70.3727,6.798
6/9/2022,04:45:00 pm,0,70.3715,6.802
6/9/2022,05:00:00 pm,0,70.3606,6.805
6/9/2022,05:15:00 pm,0,70.3485,6.806
6/9/2022,05:30:00 pm,0,70.3345,6.808
6/9/2022,05:45:00 pm,0,70.3493,6.808
6/9/2022,06:00:00 pm,0,70.3656,6.811
6/9/2022,06:15:00 pm,0,70.3777,6.816
6/9/2022,06:30:00 pm,0,70.3915,6.821
6/9/2022,06:45:00 pm,0,70.4044,6.823
6/9/2022,07:00:00 pm,0,70.4068,6.826
6/9/2022,07:15:00 pm,0,70.4040,6.828
6/9/2022,07:30:00 pm,0,70.4201,6.831
6/9/2022,07:45:00 pm,0,70.4269,6.833
6/9/2022,08:00:00 pm,0,70.4321,6.835
6/9/2022,08:15:00 pm,0,70.4417,6.838
6/9/2022,08:30:00 pm,0,70.4533,6.840
6/9/2022,08:45:00 pm,0,70.4666,6.842
6/9/2022,09:00:00 pm,0,70.4684,6.844
6/9/2022,09:15:00 pm,0,70.4714,6.847
6/9/2022,09:30:00 pm,0,70.4753,6.849
6/9/2022,09:45:00 pm,0,70.4768,6.851
6/9/2022,10:00:00 pm,0,70.4747,6.852
6/9/2022,10:15:00 pm,0,70.4745,6.853
6/9/2022,10:30:00 pm,0,70.4745,6.855
6/9/2022,10:45:00 pm,0,70.4770,6.856
6/9/2022,11:00:00 pm,0,70.4797,6.858
6/9/2022,11:15:00 pm,0,70.4744,6.859
6/9/2022,11:30:00 pm,0,70.4762,6.860
6/9/2022,11:45:00 pm,0,70.4623,6.861
6/10/2022,12:00:00 am,0,70.4569,6.863
6/10/2022,12:15:00 am,0,70.4441,6.863
6/10/2022,12:30:00 am,0,70.4380,6.865
6/10/2022,12:45:00 am,0,70.4412,6.866
6/10/2022,01:00:00 am,0,70.4377,6.867
6/10/2022,01:15:00 am,0,70.4319,6.868
6/10/2022,01:30:00 am,0,70.4258,6.868
6/10/2022,01:45:00 am,0,70.4143,6.870
6/10/2022,02:00:00 am,0,70.4056,6.871
6/10/2022,02:15:00 am,0,70.3968,6.872
6/10/2022,02:30:00 am,0,70.3791,6.873
6/10/2022,02:45:00 am,0,70.3680,6.872
6/10/2022,03:00:00 am,0,70.3600,6.873
6/10/2022,03:15:00 am,0,70.3478,6.874
6/10/2022,03:30:00 am,0,70.3500,6.868
6/10/2022,03:45:00 am,0,70.3532,6.847
6/10/2022,04:00:00 am,0,70.3593,6.840
6/10/2022,04:15:00 am,0,70.3584,6.825
6/10/2022,04:30:00 am,0,70.3456,6.810
6/10/2022,04:45:00 am,0,70.3441,6.789
6/10/2022,05:00:00 am,0,70.3490,6.763
6/10/2022,05:15:00 am,0,70.3567,6.720
