Serial_number:
2020437
Project ID:

Location:
BelowLake_upstream
BelowLake_upstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_upstream,TEMPERATURE
3/15/2022,10:45:00 am,0,64.9845,8.615
3/15/2022,11:00:00 am,0,64.9368,6.766
3/15/2022,11:15:00 am,0,64.9405,6.650
3/15/2022,11:30:00 am,0,64.9362,6.611
3/15/2022,11:45:00 am,0,64.9227,6.593
3/15/2022,12:00:00 pm,0,64.9069,6.582
3/15/2022,12:15:00 pm,0,64.9029,6.577
3/15/2022,12:30:00 pm,0,64.8898,6.572
3/15/2022,12:45:00 pm,0,64.8705,6.568
3/15/2022,01:00:00 pm,0,64.8572,6.565
3/15/2022,01:15:00 pm,0,64.8349,6.562
3/15/2022,01:30:00 pm,0,64.8087,6.561
3/15/2022,01:45:00 pm,0,64.7966,6.560
3/15/2022,02:00:00 pm,0,64.7809,6.558
3/15/2022,02:15:00 pm,0,64.7633,6.557
3/15/2022,02:30:00 pm,0,64.7568,6.556
3/15/2022,02:45:00 pm,0,64.7461,6.555
3/15/2022,03:00:00 pm,0,64.7474,6.554
3/15/2022,03:15:00 pm,0,64.7361,6.554
3/15/2022,03:30:00 pm,0,64.7229,6.555
3/15/2022,03:45:00 pm,0,64.7158,6.555
3/15/2022,04:00:00 pm,0,64.7109,6.556
3/15/2022,04:15:00 pm,0,64.7115,6.558
3/15/2022,04:30:00 pm,0,64.7107,6.561
3/15/2022,04:45:00 pm,0,64.7098,6.563
3/15/2022,05:00:00 pm,0,64.7205,6.566
3/15/2022,05:15:00 pm,0,64.7252,6.569
3/15/2022,05:30:00 pm,0,64.7288,6.573
3/15/2022,05:45:00 pm,0,64.7293,6.578
3/15/2022,06:00:00 pm,0,64.7386,6.584
3/15/2022,06:15:00 pm,0,64.7518,6.589
3/15/2022,06:30:00 pm,0,64.7645,6.595
3/15/2022,06:45:00 pm,0,64.7745,6.601
3/15/2022,07:00:00 pm,0,64.7852,6.608
3/15/2022,07:15:00 pm,0,64.7926,6.614
3/15/2022,07:30:00 pm,0,64.8011,6.621
3/15/2022,07:45:00 pm,0,64.8158,6.629
3/15/2022,08:00:00 pm,0,64.8302,6.637
3/15/2022,08:15:00 pm,0,64.8518,6.644
3/15/2022,08:30:00 pm,0,64.8689,6.651
3/15/2022,08:45:00 pm,0,64.8788,6.660
3/15/2022,09:00:00 pm,0,64.8854,6.668
3/15/2022,09:15:00 pm,0,64.8962,6.676
3/15/2022,09:30:00 pm,0,64.9057,6.684
3/15/2022,09:45:00 pm,0,64.9230,6.692
3/15/2022,10:00:00 pm,0,64.9402,6.700
3/15/2022,10:15:00 pm,0,64.9488,6.707
3/15/2022,10:30:00 pm,0,64.9597,6.714
3/15/2022,10:45:00 pm,0,64.9607,6.722
3/15/2022,11:00:00 pm,0,64.9659,6.728
3/15/2022,11:15:00 pm,0,64.9624,6.734
3/15/2022,11:30:00 pm,0,64.9507,6.740
3/15/2022,11:45:00 pm,0,64.9370,6.745
3/16/2022,12:00:00 am,0,64.9264,6.749
3/16/2022,12:15:00 am,0,64.9185,6.753
3/16/2022,12:30:00 am,0,64.9093,6.756
3/16/2022,12:45:00 am,0,64.8997,6.759
3/16/2022,01:00:00 am,0,64.8898,6.762
3/16/2022,01:15:00 am,0,64.8819,6.764
3/16/2022,01:30:00 am,0,64.8627,6.767
3/16/2022,01:45:00 am,0,64.8496,6.767
3/16/2022,02:00:00 am,0,64.8280,6.769
3/16/2022,02:15:00 am,0,64.8088,6.769
3/16/2022,02:30:00 am,0,64.7919,6.770
3/16/2022,02:45:00 am,0,64.7792,6.770
3/16/2022,03:00:00 am,0,64.7700,6.771
3/16/2022,03:15:00 am,0,64.7559,6.769
3/16/2022,03:30:00 am,0,64.7475,6.769
3/16/2022,03:45:00 am,0,64.7509,6.769
3/16/2022,04:00:00 am,0,64.7490,6.768
3/16/2022,04:15:00 am,0,64.7501,6.767
3/16/2022,04:30:00 am,0,64.7519,6.765
3/16/2022,04:45:00 am,0,64.7457,6.764
3/16/2022,05:00:00 am,0,64.7488,6.763
3/16/2022,05:15:00 am,0,64.7507,6.762
3/16/2022,05:30:00 am,0,64.7583,6.760
3/16/2022,05:45:00 am,0,64.7653,6.758
3/16/2022,06:00:00 am,0,64.7716,6.756
3/16/2022,06:15:00 am,0,64.7884,6.753
3/16/2022,06:30:00 am,0,64.7950,6.749
3/16/2022,06:45:00 am,0,64.8038,6.746
3/16/2022,07:00:00 am,0,64.8082,6.743
3/16/2022,07:15:00 am,0,64.8140,6.739
3/16/2022,07:30:00 am,0,64.8209,6.735
3/16/2022,07:45:00 am,0,64.8319,6.731
3/16/2022,08:00:00 am,0,64.8462,6.727
3/16/2022,08:15:00 am,0,64.8610,6.723
3/16/2022,08:30:00 am,0,64.8755,6.721
3/16/2022,08:45:00 am,0,64.8896,6.718
3/16/2022,09:00:00 am,0,64.8972,6.714
3/16/2022,09:15:00 am,0,64.9035,6.713
3/16/2022,09:30:00 am,0,64.9142,6.711
3/16/2022,09:45:00 am,0,64.9152,6.709
3/16/2022,10:00:00 am,0,64.8992,6.709
3/16/2022,10:15:00 am,0,64.8823,6.708
3/16/2022,10:30:00 am,0,64.8698,6.707
3/16/2022,10:45:00 am,0,64.8543,6.706
3/16/2022,11:00:00 am,0,64.8471,6.705
3/16/2022,11:15:00 am,0,64.8314,6.704
3/16/2022,11:30:00 am,0,64.8266,6.702
3/16/2022,11:45:00 am,0,64.8195,6.702
3/16/2022,12:00:00 pm,0,64.8139,6.701
3/16/2022,12:15:00 pm,0,64.8084,6.700
