Serial_number:
2020433
Project ID:

Location:

Well02
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well02,TEMPERATURE
6/16/2022,04:00:00 pm,0,62.6073,13.652
6/16/2022,04:15:00 pm,0,62.4310,10.169
6/16/2022,04:30:00 pm,0,62.4003,9.120
6/16/2022,04:45:00 pm,0,62.3875,8.219
6/16/2022,05:00:00 pm,0,62.3778,7.826
6/16/2022,05:15:00 pm,0,62.3842,7.726
6/16/2022,05:30:00 pm,0,62.3885,7.566
6/16/2022,05:45:00 pm,0,62.3847,7.137
6/16/2022,06:00:00 pm,0,62.3919,6.929
6/16/2022,06:15:00 pm,0,62.3865,6.717
6/16/2022,06:30:00 pm,0,62.3934,6.491
6/16/2022,06:45:00 pm,0,62.4007,6.373
6/16/2022,07:00:00 pm,0,62.3945,6.280
6/16/2022,07:15:00 pm,0,62.3984,6.202
6/16/2022,07:30:00 pm,0,62.3995,6.088
6/16/2022,07:45:00 pm,0,62.4159,6.024
6/16/2022,08:00:00 pm,0,62.4133,5.961
6/16/2022,08:15:00 pm,0,62.4201,5.863
6/16/2022,08:30:00 pm,0,62.4271,5.820
6/16/2022,08:45:00 pm,0,62.4416,5.802
6/16/2022,09:00:00 pm,0,62.4432,5.744
6/16/2022,09:15:00 pm,0,62.4482,5.673
6/16/2022,09:30:00 pm,0,62.4589,5.635
6/16/2022,09:45:00 pm,0,62.4601,5.578
6/16/2022,10:00:00 pm,0,62.4570,5.536
6/16/2022,10:15:00 pm,0,62.4575,5.507
6/16/2022,10:30:00 pm,0,62.4553,5.398
6/16/2022,10:45:00 pm,0,62.4475,5.357
6/16/2022,11:00:00 pm,0,62.4392,5.136
6/16/2022,11:15:00 pm,0,62.4283,4.885
6/16/2022,11:30:00 pm,0,62.4251,4.672
6/16/2022,11:45:00 pm,0,62.4188,4.578
6/17/2022,12:00:00 am,0,62.4110,4.479
6/17/2022,12:15:00 am,0,62.3982,4.402
6/17/2022,12:30:00 am,0,62.3894,4.310
6/17/2022,12:45:00 am,0,62.3761,4.211
6/17/2022,01:00:00 am,0,62.3595,4.140
6/17/2022,01:15:00 am,0,62.3606,4.127
6/17/2022,01:30:00 am,0,62.3625,4.155
6/17/2022,01:45:00 am,0,62.3478,4.102
6/17/2022,02:00:00 am,0,62.3363,4.063
6/17/2022,02:15:00 am,0,62.3294,4.014
6/17/2022,02:30:00 am,0,62.3082,3.972
6/17/2022,02:45:00 am,0,62.3038,3.929
6/17/2022,03:00:00 am,0,62.3039,3.913
6/17/2022,03:15:00 am,0,62.2954,3.870
6/17/2022,03:30:00 am,0,62.3025,3.914
