Wetland,Location,Date,Time,ppm_NOTcorrected,ppm_Corrected
Wetland01,1,7/7/22,,NA,NA
Wetland01,2,7/7/22,10:38-10:39,NA,NA
Wetland01,3,7/7/22,10:52,238.8136,238.8136
Wetland01,1,7/14/22,10:18,376.8703,376.8703
Wetland01,2,7/14/22,10:48,343.4576,343.4576
Wetland01,3,7/14/22,10:58,328.0339,328.0339
Wetland01,1,7/25/22,10:04-10:05,461.8475,461.8475
Wetland01,2,7/25/22,10:18-10:19,381.339,381.339
Wetland01,3,7/25/22,10:32-10:33,382.2881,382.2881
Wetland02,1,7/7/22,12:13,227.2034,227.2034
Wetland02,2,7/7/22,12:27,224.2373,224.2373
Wetland02,3,7/7/22,,NA,NA
Wetland02,1,7/14/22,10:36-37,261.3559,261.3559
Wetland02,2,7/14/22,11:57-58,316.7627,316.7627
Wetland02,3,7/14/22,12:10-11,342.0169,342.0169
Wetland02,1,7/25/22,11:18-19,290.4068,290.4068
Wetland02,2,7/25/22,11:33,330.9153,330.9153
Wetland02,3,7/25/22,11:49,292.1864,292.1864
Wetland03,1,7/7/22,,NA,NA
Wetland03,2,7/7/22,13:26,263.2203,263.2203
Wetland03,3,7/7/22,13:33,275.5085,275.5085
Wetland03,1,7/14/22,12:43,342.9115,342.9115
Wetland03,2,7/14/22,13:01,401.7627,401.7627
Wetland03,3,7/14/22,13:11,401.5932,401.5932
Wetland03,1,7/25/22,12:10,487.6102,487.6102
Wetland03,2,7/25/22,12:31,536.339,536.339
Wetland03,3,7/25/22,12:43,538.5543,538.5543
Wetland04,1,6/29/22,11:58,588.9661,588.9661
Wetland04,1,7/15/22,12:58,593.6271,593.6271
Wetland04,2,7/15/22,13:10,664.7288,664.7288
Wetland04,3,7/15/22,13:26,653.7966,653.7966
Wetland04,1,7/22/22,10:55,395.8305,395.8305
Wetland04,2,7/22/22,11:12,492.6102,492.6102
Wetland04,3,7/22/22,11:18,492.3559,492.3559
Wetland05,1,6/28/22,10:38,756.207,756.207
Wetland05,2,6/28/22,10:59,681.6663,681.6663
Wetland05,3,6/28/22,11:26,669.4746,669.4746
Wetland05,1,7/19/22,10:15,459.2203,459.2203
Wetland05,1,7/27/22,11:22,843.4407,843.4407
Wetland05,2,7/27/22,11:42,694.8136,694.8136
Wetland05,3,7/27/22,11:55,642.0169,642.0169
Wetland06,1,6/30/22,12:15,442.4407,442.4407
Wetland06,1,7/11/22,13:46,430.7458,430.7458
Wetland06,1,7/19/22,12:42,394.0508,394.0508
Wetland06,2,7/19/22,12:53,434.8983,434.8983
Wetland06,3,7/19/22,13:12,393.1186,393.1186
Wetland07,1,6/30/22,10:57,728.7119,728.7119
Wetland07,2,6/30/22,11:12,779.3898,779.3898
Wetland07,3,6/30/22,11:25,253.8136,253.8136
Wetland07,1,7/11/22,12:15,268.9831,268.9831
Wetland07,2,7/11/22,12:29,225.1695,225.1695
Wetland07,3,7/11/22,12:47,240.8475,240.8475
Wetland07,1,7/19/22,11:46,452.1017,452.1017
Wetland07,2,7/19/22,12:01,491.1695,491.1695
Wetland07,3,7/19/22,12:12,452.1864,452.1864
Wetland08,1,7/5/22,9:52,9397.932,9397.932
Wetland08,2,7/5/22,10:08,7530.305,7530.305
Wetland08,3,7/5/22,10:19,3354.39,3354.39
Wetland08,1,7/8/22,10:14,10517.98,10517.98
Wetland08,2,7/8/22,10:30,7493.119,7493.119
Wetland08,3,7/8/22,10:41,6369.29,6369.29
Wetland08,1,7/18/22,10:16,5026.119,5026.119
Wetland08,2,7/18/22,10:27,5242.559,5242.559
Wetland08,3,7/18/22,10:42,4312.153,4312.153
Wetland09,1,7/5/22,11:04,4119.288,4119.288
Wetland09,1,7/8/22,11:13,2890.763,2890.763
Wetland09,1,7/18/22,9:54,3202.695,3202.695
Wetland10,1,7/5/22,11:32,1238.949,1238.949
Wetland10,2,7/5/22,11:48,1888.932,1888.932
Wetland10,3,7/5/22,12:00,2716.78,2716.78
Wetland10,1,7/8/22,11:49,1371.407,1371.407
Wetland10,2,7/8/22,12:01,2052.39,2052.39
Wetland10,3,7/8/22,12:09,2159.169,2159.169
Wetland10,1,7/18/22,11:02,1568.508,1568.508
Wetland10,2,7/18/22,11:16,2633.475,2633.475
Wetland10,3,7/18/22,11:28,2769.068,2769.068
Wetland11,1,7/11/22,11:18,271.0169,271.0169
Wetland11,1,7/19/22,12:11,453.6271,453.6271
Wetland11,1,7/22/22,12:23,456.5085,456.5085
Wetland12,1,7/6/22,12:26,1154.627,1154.627
Wetland12,2,7/6/22,12:46,1131.746,1131.746
Wetland12,3,7/6/22,13:01,1113.78,1113.78
Wetland12,1,7/22/22,9:38,834.7963,834.7963
Wetland12,2,7/22/22,9:54,1625.712,1625.712
Wetland12,3,7/22/22,10:09,1475.712,1475.712
Wetland12,1,7/27/22,9:42,1459.441,1459.441
Wetland12,2,7/27/22,10:04,1407.237,1407.237
Wetland12,3,7/27/22,10:18,1408.034,1408.034
